simulation_id,phase,sensor,rmse_K,bias_K,final_error_K,t90_error_s,shape_loss
E67,heating_train,T8,46.45593927340654,-0.606298059721653,11.063070127096353,-50.0,0.002187625599193507
E67,heating_train,T12_perim,178.23227842191318,-171.15311931987148,-171.88080970137946,100.0,0.0003279022100307165
E67,heating_train,T11_perim,137.08219305380794,-128.6004854788294,-160.3946717778805,-250.0,0.00011584611969247418
E67,heating_train,T9_core,148.91706153101651,-139.14264719437705,-146.17628962261165,50.0,0.0004496152176148576
E67,heating_train,T10_core,79.01486811138933,-64.60959759927411,-106.55256485584744,-600.0,0.000125949635336965
E67,heating_train,T3,98.15304531250469,-53.19868034763816,-131.4252892334447,-1300.0,0.0005924196243241161
E67,heating_train,T2,23.89230478928108,21.54824805796678,25.158929370493126,-600.0,0.00039817043114426346
E69,heating_train,T8,89.63621620786378,84.40693393676464,86.8754029928516,-100.0,0.001100463850520308
E69,heating_train,T12_perim,84.25161539232036,-82.88844549559154,-81.1556322789346,100.0,6.529442710464083e-5
E69,heating_train,T11_perim,48.7426760200505,-46.774865987151706,-62.04945512216693,-550.0,3.947716513309132e-5
E69,heating_train,T9_core,54.15987155661952,-50.59364943460657,-52.87836890989354,0.0,0.00015357416657032575
E69,heating_train,T10_core,21.098214821603253,2.9348530756666507,-17.040202546001183,-850.0,9.066225814002312e-5
E69,heating_train,T3,59.84869781518155,-25.47878122305611,-78.75136933512556,-1700.0,0.0005957178485630699
E69,heating_train,T2,35.47623791194031,27.014866408143277,42.50849177049622,-1300.0,0.0017105704728838434
E71,heating_train,T8,112.19507280102553,103.56723456902623,100.68109166632371,-150.0,0.0014795050262766786
E71,heating_train,T12_perim,35.335861720249184,32.52333578770527,23.7794258760091,-250.0,0.00014489125775878252
E71,heating_train,T11_perim,93.10380941718086,88.85508009558441,62.88379977773059,-1200.0,5.905890033924384e-5
E71,heating_train,T9_core,66.79654277684612,63.50996079747058,51.53688469024519,-300.0,0.00017897242200266134
E71,heating_train,T10_core,134.48666755765905,130.036603918331,99.67927891954184,-1450.0,9.419111425528101e-5
E71,heating_train,T3,81.46285868842068,39.08704655470915,-31.189052058276275,-2500.0,0.0003928330823268289
E71,heating_train,T2,66.48904680157185,62.09784401694055,71.52964393968017,-1400.0,0.00031442238432789326
E72,heating_train,T8,72.16999078955516,-58.81530770921646,-75.12709845332483,-200.0,0.001579426544079067
E72,heating_train,T12_perim,191.57479926914314,-185.4530350249502,-201.33010963117545,100.0,0.0003024094244224266
E72,heating_train,T11_perim,163.02541727159792,-156.2578022932973,-187.8264066225131,-200.0,0.0001902848899079225
E72,heating_train,T9_core,160.3058714364592,-151.8607302635543,-173.9734445163299,0.0,0.0004136626074642573
E72,heating_train,T10_core,107.48676988591154,-98.25977847397616,-137.6566003552549,-550.0,0.00014521984217241992
E72,heating_train,T3,108.74157495689445,-89.5535189084232,-148.6754948200928,-1050.0,0.00043764886281704704
E72,heating_train,T2,10.794498986221594,9.582781476844255,11.916949121192374,-450.0,0.0004549631392391867
E74,heating_train,T8,42.72585676242694,33.22836794346652,35.218051275738276,-50.0,0.0005765248185916091
E74,heating_train,T12_perim,113.33309959277243,-110.45974492862942,-117.01031468265694,50.0,3.730913001063927e-5
E74,heating_train,T11_perim,63.2370151503922,-56.40475345897763,-85.74942509502375,-750.0,1.887909742991307e-5
E74,heating_train,T9_core,83.81489725086793,-78.5443339993425,-88.72592903411805,-100.0,7.220746548214124e-5
E74,heating_train,T10_core,35.092943850727885,-14.80588201839202,-48.825330432461215,-1000.0,2.6634716552580972e-5
E74,heating_train,T3,70.99918125072429,-30.211696214444274,-93.52082865221621,-1950.0,0.00022477088211599045
E74,heating_train,T2,26.52136417172513,24.627577093408323,25.994578582083818,-1050.0,0.0001773882740017674
E76,heating_train,T8,143.5531184249297,142.05326896867544,138.19865564826864,-200.0,0.0004685266513970893
E76,heating_train,T12_perim,90.60411312974318,89.10677149138556,86.25214102360269,-350.0,2.302539283034593e-5
E76,heating_train,T11_perim,127.86900331281053,123.97575858699363,115.60271915588419,-1200.0,4.295836807413795e-5
E76,heating_train,T9_core,117.78144478756765,116.81275065171297,111.54432951576416,-450.0,5.994465094247921e-5
E76,heating_train,T10_core,156.69602727050594,152.96028421678153,141.5952573639836,-1400.0,6.712816863816689e-5
E76,heating_train,T3,65.66850591176224,42.39019778322479,-12.811066297595971,-2500.0,0.00024221912569080613
E76,heating_train,T2,56.35689104948124,52.17928246327962,64.05877032975894,-1400.0,0.0003593939435154718
E77,heating_train,T8,25.500170281164472,-7.980341869404092,-23.21187005594561,-500.0,0.0016928713596664436
E77,heating_train,T12_perim,115.52713972182114,-111.80555163384129,-128.76518754523835,-200.0,0.00018989530548805958
E77,heating_train,T11_perim,97.71400916764175,-94.44366405113907,-116.8063988774262,-350.0,0.0001337544633196707
E77,heating_train,T9_core,92.94099581324211,-88.20638143184928,-107.54320782653224,-300.0,0.000276012832595476
E77,heating_train,T10_core,65.39812899501116,-61.65182899221264,-86.02992398211279,-650.0,9.905738358456962e-5
E77,heating_train,T3,68.03602203111319,-59.314095373596174,-96.86620268889999,-1050.0,0.00043216139159087157
E77,heating_train,T2,5.927715722600517,-1.793940133226734,3.8371603662787948,-541.0,0.010397117751401513
E79,heating_train,T8,42.57249367842861,37.765154365349815,28.676275415666737,-350.0,0.0006759234737909514
E79,heating_train,T12_perim,88.43380525489994,-85.35377477757756,-100.33024995728351,-150.0,5.129995992528429e-5
E79,heating_train,T11_perim,60.28306020387707,-56.49733912379332,-80.55871698665453,-700.0,2.9080907944292564e-5
E79,heating_train,T9_core,64.97676879082188,-60.377771784248225,-77.75710342783611,-300.0,7.641668343688275e-5
E79,heating_train,T10_core,34.662477633295666,-27.899545322929153,-53.67742081555218,-950.0,2.5677193724444908e-5
E79,heating_train,T3,54.9791837159547,-37.7068931724143,-81.58977508344225,-1700.0,0.0001781009593330627
E79,heating_train,T2,11.54404592378533,9.7512642201215,12.664253309330377,-950.0,0.00038849185377006537
E81,heating_train,T8,112.48153247859591,111.65766858173976,109.6730277529631,-300.0,0.0004370396832285672
E81,heating_train,T12_perim,4.568482224583075,2.0486689576832315,-0.6137639954486076,-250.0,1.3114305771580687e-5
E81,heating_train,T11_perim,24.440464947343195,21.57964605710162,12.633883794010899,-850.0,1.9071472649712237e-5
E81,heating_train,T9_core,26.97078067981556,26.34768206322955,21.664084391562938,-350.0,3.9830991133311535e-5
E81,heating_train,T10_core,46.968872173824735,44.659705027642424,34.332379785121816,-1000.0,3.17903346000443e-5
E81,heating_train,T3,32.68695618211228,0.13060941216777672,-39.93988222779069,-1950.0,0.00015743609132332537
E81,heating_train,T2,21.25821693635623,18.635880333495745,25.61387317729674,-950.0,0.00039197063795516835
E68,heating_validation,T8,57.542759999330556,42.027804431898076,44.04831446018045,-50.0,0.0013561071652639647
E68,heating_validation,T12_perim,134.98675509640785,-130.11292515886677,-135.29248617806786,100.0,0.00011961617525650808
E68,heating_validation,T11_perim,91.43718114116442,-82.45563949526334,-116.49779579174515,-600.0,4.17537433532896e-5
E68,heating_validation,T9_core,106.19672458763822,-97.66430905480401,-106.90299172855703,0.0,0.0002052824176661455
E68,heating_validation,T10_core,49.19864460453978,-25.62280421944546,-66.90435328721651,-950.0,6.17816508116654e-5
E68,heating_validation,T3,86.35903544544506,-30.961381288096227,-104.8615714508345,-1700.0,0.0004124527636779076
E68,heating_validation,T2,33.16275859118354,30.633679594808708,33.23544036392241,-950.0,0.00026269159995163797
E70,heating_validation,T8,65.23515103776603,56.88575463139817,58.678160920844675,-50.0,0.000651158856865783
E70,heating_validation,T12_perim,65.47743634192024,-62.9620024825666,-69.04205507079496,-50.0,2.621216854530442e-5
E70,heating_validation,T11_perim,29.61513642671689,-2.601391426275476,-33.92697333620936,-950.0,1.9236027424121266e-5
E70,heating_validation,T9_core,39.437931447113066,-30.803411408035384,-40.276675996987706,-100.0,7.974183380990863e-5
E70,heating_validation,T10_core,57.27945340326571,44.762430585475826,7.984852428370573,-1250.0,4.361250083491482e-5
E70,heating_validation,T3,77.36270502074844,-0.45810551525314064,-72.5747368481716,-2200.0,0.0003022119689960931
E70,heating_validation,T2,49.28070308457938,46.05943698737173,50.433774703478605,-1350.0,0.0002338130206000256
E73,heating_validation,T8,39.43080064456366,-21.78803166522161,-27.438161898016006,-150.0,0.0009540453965181582
E73,heating_validation,T12_perim,180.9290630200609,-176.88197414749092,-187.995361195334,100.0,0.00012682589995314568
E73,heating_validation,T11_perim,141.55985573037293,-136.45357095146758,-167.86384761469571,-400.0,6.492597535607433e-5
E73,heating_validation,T9_core,149.98313441842225,-144.27884350998812,-160.2333798346017,0.0,0.00017877997057516262
E73,heating_validation,T10_core,93.51045411228269,-85.7903598934085,-122.98696610829506,-800.0,5.4106831071919934e-5
E73,heating_validation,T3,100.34264885103318,-79.30353487123593,-138.80405471177528,-1500.0,0.0003162603491973792
E73,heating_validation,T2,13.081503448415866,9.958294491466441,13.117290749149902,-900.0,0.0005280318023853733
E75,heating_validation,T8,80.96558484750202,77.59993753769437,77.18322038847089,-100.0,0.0004855665136874002
E75,heating_validation,T12_perim,37.080573204239144,-35.37782963449613,-42.74420478131981,-150.0,1.4067957515832537e-5
E75,heating_validation,T11_perim,25.468476800620017,16.223458233729637,-7.83098721106137,-950.0,1.7339128729714786e-5
E75,heating_validation,T9_core,16.54757802064449,-5.313749585379867,-15.613744910734908,-250.0,4.710597286613905e-5
E75,heating_validation,T10_core,57.709515327928706,52.21424184760467,24.341612603891463,-1200.0,3.338927744389516e-5
E75,heating_validation,T3,59.14630786068829,6.550409453547789,-55.93172585982529,-2200.0,0.00023303670715850983
E75,heating_validation,T2,37.23924101473601,34.50499424354608,39.90383014249454,-1150.0,0.00023772178094532065
E78,heating_validation,T8,25.764710623570814,16.11319769029259,5.149975646643043,-400.0,0.0006676252678887501
