metric,value,target,status
Nu_app_prefactor,2.0775982514188332e-7,3.1e-4,diagnostic
Nu_app_Re_exponent,2.6424284524468913,1.44,diagnostic
Nu_app_log_r2,0.9140846146189643,0.97,diagnostic
Lambda107_intercept,-0.10030587472840592,0.038,diagnostic
Lambda107_slope,0.0004222692104067918,8.3e-4,diagnostic
Lambda107_r2,0.8784094487760244,linear trend,diagnostic
K_loss_min,0.1162852428568064,0.10-0.16,diagnostic
K_loss_max,0.16600358675031468,0.10-0.16,diagnostic
epsilon_mean_min,0.2798076603346065,epsilon*=0.66,diagnostic
epsilon_mean_max,0.6765773655594777,epsilon*=0.66,diagnostic
C_receiver_participating,177.53321700015528,301 +/- 23,below assembly target
C_total_with_rear,267.4424501543278,301 +/- 23,failed
