nu_multiplier,ross_multiplier,objective,side_final_rmse_K,core_final_rmse_K,T2_final_rmse_K
0.2,0.1,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.2,0.5,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.2,1.0,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.2,2.0,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.2,5.0,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.2,10.0,1.5112312595782474e7,1500.1926659723915,2043.543588768797,91.8569119572061
0.4,0.1,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.4,0.5,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.4,1.0,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.4,2.0,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.4,5.0,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.4,10.0,1.4117431180108264e7,1478.4730824497028,1943.182249613916,88.70571060583647
0.6,0.1,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.6,0.5,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.6,1.0,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.6,2.0,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.6,5.0,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.6,10.0,1.3665157322169622e7,1468.9801970597603,1895.2344290172666,87.30281921919088
0.8,0.1,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
0.8,0.5,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
0.8,1.0,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
0.8,2.0,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
0.8,5.0,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
0.8,10.0,1.3404822341155825e7,1463.6390268752878,1866.8987664963618,86.50277155810271
1.0,0.1,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.0,0.5,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.0,1.0,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.0,2.0,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.0,5.0,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.0,10.0,1.3234979452106098e7,1460.206735299387,1848.1037831824476,85.98334628557511
1.2,0.1,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
1.2,0.5,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
1.2,1.0,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
1.2,2.0,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
1.2,5.0,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
1.2,10.0,1.3115165271257153e7,1457.812127264218,1834.691519620437,85.61969240182104
