effective_front_area_cm2,group_kW_m2,power_scale,objective,side_final_rmse_K,T2_final_rmse_K,T3_final_rmse_K,side_final_bias_K,T2_final_bias_K,T3_final_bias_K,transient_side_rmse_K,transient_T2_rmse_K,transient_T3_rmse_K
3.61,456,1.05,4.6387455248278675,162.85799440251924,7.102019707952228,130.55816693961947,-126.88677994654212,-6.409965199569979,64.42042941610377,160.8214192178427,10.397310891492292,165.94078097585634
3.61,456,1.19,4.404571630570833,123.00335951427378,2.6923412860250098,173.12596073518452,-60.97532887113771,-1.2389864555338401,124.22144893046499,129.0461548457672,11.835157174898349,211.40902685362886
3.61,456,1.34,5.813442905835679,111.21742124069311,4.831024379720417,224.54422249367835,6.44606689742776,4.27612889341193,185.53613897180878,124.17030543760498,14.678575392305415,262.1609083256995
3.61,456,1.5,8.947673056933764,136.8171523387046,10.509348703502873,280.489860469898,74.90206746035669,10.179541327958235,247.91918481591964,150.35205161880052,18.482479069050537,316.05948148442906
3.61,456,1.65,13.200172460088048,179.35021071891913,16.04915930037301,332.1403406855578,136.0860439727929,15.723823965005181,303.75904679900026,190.2612858301047,22.429101502570866,365.40207005878494
3.61,304,1.05,5.255799048779132,168.94528643381722,5.187189644047497,150.73086087556007,-115.50555086815704,-1.3090182478877184,35.25951827013168,159.67297680539323,8.826251235843085,162.82812417749412
3.61,304,1.23,5.335474749162752,144.45340452838934,6.282552453018749,184.52331112882214,-50.87673049534146,3.3054480289096624,92.76895895927485,141.98315746443043,11.728077992390274,202.1585574409798
3.61,304,1.4,6.682984645215181,145.04197740578678,9.826561597576875,222.62901499084745,6.822177754424483,7.69318862941672,144.30887297862193,147.8479231232897,14.939610165479245,241.89600381293138
3.61,304,1.58,9.243519828019114,166.74198285444285,14.201503413280388,265.1610474548808,64.83339543593397,12.275452043375834,196.30059231156875,172.14387191318949,18.54192522522244,284.3383695301274
3.61,304,1.8,13.704763507031922,209.25184188335803,19.68192621994775,317.42524142944114,131.91940091669778,17.759112790670564,256.6372640597044,214.773810750381,23.00307350311429,335.3276562342683
3.61,256,0.7,1.3761704831096617,90.73690002781645,2.063598825164446,70.33474395556465,-69.90274111490086,0.1464273264446927,10.629722404470229,79.53327781030244,5.38443763873855,81.63640721165136
3.61,256,0.84,1.4324038117110984,70.89021835970024,4.739166398219558,98.85093645274004,-16.6558806437691,3.480758886640286,57.23916262072377,69.81417911084758,7.252279543821786,114.80843871419457
3.61,256,0.94,2.0924565258397325,79.27183020446903,7.112240599333656,125.27818560927459,20.20750473879019,5.864233973448077,89.50563309070237,83.53299368576364,8.86325817004318,141.069198951833
3.61,256,1.11,4.258702282141045,119.98110206448233,11.236192263114313,173.022212306814,80.63567737306794,9.89282880276767,142.4738334734561,125.93734310574955,11.814845226148723,186.56556503749846
3.61,256,1.25,6.908952944628392,161.29917978873638,14.616428786745436,212.45198488072714,128.32499238159429,13.178069451181548,184.37955231864285,166.08840224828947,14.323035808342278,223.58707119548868
7.0,456,1.05,4.836278592782263,180.10857980701968,9.395236840147941,105.47905285543641,-155.38203538035268,-8.493433614910119,39.40213882208261,175.00991802318697,10.187788179369667,142.43835580940237
7.0,456,1.19,3.8196179627991995,133.42113461208808,5.1790239192213425,138.69258127023613,-95.70571637961253,-3.9865885414103936,93.69818177015797,135.4952548204523,10.72480886673723,180.94295309139216
