spillage_fraction,core_preference,objective,side_final_rmse_K,T2_final_rmse_K,side_final_bias_K,T2_final_bias_K,transient_side_rmse_K,transient_T2_rmse_K
0.0,0.0,9.494992348568877,230.9620007224464,19.138546214397657,-122.04842873595949,18.852088834885308,214.6009624274656,23.295875867335095
0.0,0.2,8.564241118992552,219.67283017528914,16.413792901079418,-138.9237946681843,16.209798157461282,203.5861879803694,21.473099510743573
0.0,0.4,8.487900390983516,218.63262455437498,16.680664583685964,-137.25452489591552,16.480626854244274,202.6744966705816,21.6518939157039
0.0,0.6,8.315513692644705,216.26401704700845,17.283455461655596,-133.6037100302762,17.09023559062389,200.5838853356829,22.070296390484607
0.0,0.8,8.01112474800459,211.968245172697,18.563973921596492,-126.1661646821006,18.380673923922178,196.81025008477104,22.967455878681143
0.0,1.0,7.958843022097645,210.828766388262,20.6065123434914,-114.09944402086967,20.425899685870636,196.23066493357354,24.4061127077742
0.05,0.0,12.163321701850057,253.6334985595336,47.22215108069419,48.3352184707559,46.48867023820236,244.17583283847875,45.39954764737684
0.05,0.2,9.131176703897268,219.057173800183,42.224539063079334,29.305511492613523,41.65407589242764,212.36990716887033,41.66504447517191
0.05,0.4,9.151440158017696,219.13372583234252,42.67530972284813,31.624240094111485,42.11813219885352,212.53674152831138,42.00556302276662
0.05,0.6,9.195658178596554,219.3150956178631,43.61290666137247,36.27225261305782,43.07633018245378,212.88409458299344,42.72843289679036
0.05,0.8,9.370647101945254,220.7756909324182,45.4857062428119,45.034337247613394,44.978118511825876,214.54431025129082,44.1782968563406
0.05,1.0,10.254120020142365,230.68968053766088,48.25008273253224,57.15039367995687,47.75480390454451,224.15979067466603,46.31583720794673
0.1,0.0,21.79259099204054,333.949758663319,75.69882508091675,189.90361422495775,74.64227408480157,325.9061033681285,68.85040962586969
0.1,0.2,16.754348672481832,291.6155433355996,68.17634262634846,168.35270803121657,67.27835678205344,287.70720252960837,62.99337641829875
0.1,0.4,16.902934806592594,292.7755371078532,68.76167587365381,170.9852057038887,67.8871065339003,288.8389834779437,63.458070243538
0.1,0.6,17.205939986152764,295.1274604405013,69.94189501237042,176.09361100405158,69.1025775698787,291.11850616680357,64.39989388346173
0.1,0.8,17.881190677023508,300.44347460664085,72.2276349583719,185.3349350717125,71.43836364939675,296.1960386061596,66.22856004453946
0.1,1.0,19.476050953962826,313.5741522950846,75.50694194470843,197.00124235182207,74.74897524628261,308.5202277322912,68.85305063254339
0.15,0.0,35.78133163988258,424.7399966477538,103.6241544120703,312.460131587783,102.38250847896762,415.5292629179738,92.30581569252902
0.15,0.2,28.76680934159715,380.06894916211564,93.68302764029492,288.4476142328229,92.54746680742569,375.2936169167381,84.36659036129518
0.15,0.4,29.044123153849526,381.79196869474924,94.35986003207634,291.17827944058735,93.2542278202702,376.93906640726215,84.91571389769776
0.15,0.6,29.59756370721334,385.2039122682478,95.70681377069127,296.4018463563281,94.6467909493532,380.18185046290995,86.01063208186301
0.15,0.8,30.722999555166428,392.11352352471874,98.27079626099366,305.6057523274903,97.27715309089048,386.7153115158525,88.10761452817893
0.15,1.0,32.86684095908884,405.5174305294554,101.89495252536787,316.6692928287166,100.94962234289189,399.250342664003,91.06533889785756
0.2,0.0,52.72334812275654,513.1222036540618,130.75329339926262,420.793891767308,129.39618643702752,502.07847896960374,115.35457177644227
0.2,0.2,43.826436935036675,467.73876694263043,118.6443630149052,394.6262346083441,117.34002060775317,461.1157562693961,105.50548932606611
0.2,0.4,44.21876990095519,469.72924650203714,119.38305335405767,397.337399017415,118.11132986510881,463.0158362144618,106.11287858634773
0.2,0.6,44.99332420572345,473.6238708653864,120.85132248949809,402.49940087330856,119.63120449347439,466.7194689808028,107.32175545581022
0.2,0.8,46.50023293227713,481.1372545660401,123.61045681498372,411.45252708554796,122.4631062872727,473.83997757788177,109.60850291667009
0.2,1.0,49.064661276531154,494.04536146050174,127.46220560398355,421.8985071227494,126.37058154729334,485.9211952135942,112.80902824696393
0.25,0.0,71.81499892226283,596.5643676209455,157.09202599686935,518.3280092663011,155.66504774769885,583.5495112512358,137.91240177351685
0.25,0.2,61.14805675629834,551.0467225507499,143.19111395037478,490.2523452549105,141.75049646937677,542.352901154091,126.42191714710344
0.25,0.4,61.636288023192925,553.140584041729,143.96894021690443,492.87532671659164,142.5618595670891,544.3613613471302,127.07011926562465
0.25,0.6,62.597339453953644,557.224384561317,145.51931542790766,497.8747817856811,144.16570707391995,548.2613232133276,128.36434366668777
0.25,0.8,64.4183162980292,564.8844867083401,148.41145903513305,506.4699367172156,147.13527161596858,555.5477893437893,130.78927085172867
0.25,1.0,67.30377151904895,577.0948054936686,152.38770415930162,516.3192407698597,151.1751966108966,566.9896687630009,134.14316519958368
0.3,0.0,92.62071634555205,675.2540222127897,182.64784162358708,607.6262047683484,181.17855570564225,660.2369128413907,159.93272193493777
0.3,0.2,80.22957380595355,629.5813376618167,167.28038279505884,577.5865167378155,165.75034081129593,618.8165421255528,147.05588031846557
0.3,0.4,80.79889402855376,631.7000913356727,168.09070331325222,580.1012216425275,166.5948456345852,620.8577358371149,147.73623987381697
0.3,0.6,81.92106952651906,635.844947615522,169.7015714748671,584.9247918242705,168.2596092614862,624.8213003652604,149.0935875684235
0.3,0.8,84.00615650069702,643.4594260870564,172.68667500136954,593.1476332170321,171.3224491196306,632.0864071191629,151.62213640067873
0.3,1.0,87.15479621869751,655.015334772301,176.7189709165857,602.5102567622347,175.41993843150559,642.9222380977454,155.05939177693128
