effective_front_area_cm2,objective,power_scale_456,power_scale_304,power_scale_256,side_final_rmse_K,T2_final_rmse_K,T3_final_rmse_K
3.61,3.6788470541532092,1.19,1.05,0.7,131.53646045445623,3.5783645293610733,138.6114075489014
7.0,3.0580577403447795,1.19,1.23,0.84,117.70957865175923,4.3682114888798855,128.0089065812221
12.0,2.5913392452735837,1.34,1.4,0.84,102.3502728999302,3.8479243273060226,124.10725243765792
20.0,2.2278484474867155,1.5,1.58,0.94,91.40542263085602,4.327102922005252,117.80061047166383
40.0,2.020592995355873,1.65,1.8,1.11,102.55121900637583,5.7417803412960575,91.3420770546177
