variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qaxial_view_W
axial_view_rad_fixed,E67,heating,2.74,645.7537088676345,296.33849999999995,645.7536905436159,61.880617837465245,1589.2138044441633,16.763558796257094,0.9999999475580397,108.9155019546121,0.08859884065687292
axial_view_rad_fixed,E67,heating,8.220000000000002,662.3599568351733,645.7536905436159,662.3595820985335,31.809103342785374,1051.9589555576042,10.699067184057869,0.9999774340219976,5.368424959425945,-0.05070026696449022
axial_view_rad_fixed,E67,heating,13.700000000000001,666.0181231319436,662.3595820985335,666.0170634470666,23.997988501929388,802.7870525686826,8.146848144027826,0.9997103531524194,1.1850172363091596,-0.05207816790555906
axial_view_rad_fixed,E67,heating,19.180000000000003,664.9187732427482,666.0170634470666,664.9202960420826,19.363028713777915,648.6659237389892,6.580959581390069,0.9986134818207606,-0.35544974278809593,-0.03615820591584628
axial_view_rad_fixed,E67,heating,24.66,662.0750110417315,664.9202960420826,662.0868032385362,16.17003218650492,540.5048073747921,5.485980492430638,0.9958555305344827,-0.9179081478131305,-0.02347741194186885
axial_view_rad_fixed,E67,heating,30.14,658.5788533855281,662.0868032385362,658.6117126904209,13.806157775258022,459.8477539595743,4.670552099565038,0.9906329034707869,-1.1249773607208098,-0.015400709551279205
axial_view_rad_fixed,E67,heating,35.620000000000005,654.8203124399201,658.6117126904209,654.8869788838244,11.984164220215616,397.53021681098465,4.040788952638805,0.9824164056813747,-1.2048445762990259,-0.010466470617330654
axial_view_rad_fixed,E67,heating,41.1,650.9337401474417,654.8869788838244,651.0481117188111,10.54429272680672,348.25389198741783,3.5428379091463844,0.9710688933818113,-1.2407365874421274,-0.007408642003174921
axial_view_rad_fixed,E67,heating,46.580000000000005,646.959888945163,651.0481117188111,647.1363797530033,9.38714307183018,308.6491497760669,3.142596830138977,0.9568294543590166,-1.2632151184008282,-0.005445212636399628
axial_view_rad_fixed,E67,heating,52.06,642.9044216304886,647.1363797530033,643.1574370759635,8.44600340285531,276.4289895650446,2.816969541881644,0.940213150000542,-1.2838105089055425,-0.004129419784994433
axial_view_rad_fixed,E67,heating,57.54,638.7588368477021,643.1574370759635,639.102442930754,7.673680273972165,249.96690268999842,2.5495457455219825,0.9218828569952309,-1.3071991011395956,-0.0032052971480249887
axial_view_rad_fixed,E67,heating,63.02,634.507777168452,639.102442930754,634.9556038679968,7.0355017212249376,228.0651059810138,2.328244966506957,0.9025333456855107,-1.3356084567352382,-0.0025184542477568778
axial_view_rad_fixed,E67,heating,68.50000000000001,630.1314074797925,634.9556038679968,630.6967706630078,6.505270941005268,209.81769694121792,2.143931121445783,0.8828067645426634,-1.370420124188965,-0.001966652020049475
axial_view_rad_fixed,E67,heating,73.98000000000002,625.6060044193939,630.6967706630078,626.3022034467543,6.06276704929533,194.52506395272965,1.9895480589279515,0.8632427823151825,-1.4127621560867496,-0.0014727558533960128
axial_view_rad_fixed,E67,heating,79.46000000000002,620.9038873901502,626.3022034467543,621.7446325711448,5.69211936487533,181.6377869580583,1.8595537237395763,0.8442578811282903,-1.4637358575738963,-0.0009690730192159552
axial_view_rad_fixed,E67,heating,84.94000000000001,615.9930956188273,621.7446325711448,616.9930277997125,5.380705184652514,170.71841621687562,1.7495349365618709,0.8261452218467811,-1.5245085779603298,-0.00038691152253284564
axial_view_rad_fixed,E67,heating,90.42000000000002,610.8369555164046,616.9930277997125,612.0122309638824,5.118376880419876,161.4145758322057,1.6559364143269408,0.8090868018777913,-1.5963559270033962,0.00035221933286303203
axial_view_rad_fixed,E67,heating,95.90000000000002,605.3935912798617,612.0122309638824,606.7625152839167,4.896904654367477,153.43951394800075,1.575864830283278,0.7931713963278588,-1.6806831378065867,0.0013463782443361644
axial_view_rad_fixed,E67,heating,101.38000000000001,599.6154016004461,606.7625152839167,601.1991030883273,4.709565365088354,146.55770884087855,1.5069437735594817,0.7784138383661212,-1.7790357100827574,0.002726889474203642
axial_view_rad_fixed,E67,heating,106.86000000000001,593.4485173043696,601.1991030883273,595.2716644936281,4.550833170356269,140.57400356628753,1.4472041929676145,0.7647729810265351,-1.8931022607029933,0.0046810937396590665
axial_view_rad_fixed,E67,heating,112.34,586.8322537134649,595.2716644936281,588.9238181744411,4.416142911275844,135.32526234619888,1.3950001615164103,0.7521670036618704,-2.024710022458497,0.007495647715007285
axial_view_rad_fixed,E67,heating,117.82000000000002,579.6985693967239,588.9238181744411,582.0926543511583,4.301706586835213,130.67386604439804,1.34894306443403,0.7404855942511666,-2.1758133144183134,0.011651174578692736
axial_view_rad_fixed,E67,heating,123.30000000000003,571.9715285097335,582.0926543511583,574.7082906221847,4.204369307355897,126.50257091331049,1.3078493959792425,0.7295990430975701,-2.3484780473899547,0.018068261654781613
axial_view_rad_fixed,E67,heating,128.78,563.5667023566423,574.7082906221847,566.693427322486,4.121495102736082,122.7103863421376,1.2706986775766163,0.7193645204504941,-2.544876280232994,0.02893126211465964
axial_view_rad_fixed,E67,heating,134.26000000000002,554.3901775212635,566.693427322486,557.9626742529779,4.050875698852398,119.2091959866253,1.2365987229862145,0.7096298303754323,-2.767352481607295,0.05193188362084329
