variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qaxial_view_W
combined_fixed,E80,heating,2.74,669.8791916788228,296.5685,669.8791865483098,28.309505901455726,741.9716048314817,18.102715915687565,0.9999999862567208,50.309011059332754,0.008200890392473105
combined_fixed,E80,heating,8.220000000000002,675.1358959329962,669.8791865483098,675.1358729961947,15.569206176009121,525.6721358285306,12.342273124388768,0.9999956366616823,0.7361455414554787,-0.06695212296274056
combined_fixed,E80,heating,13.700000000000001,672.0491281126286,675.1358729961947,672.0493020100733,12.330405400716057,416.81791301438017,9.78416193071904,0.9999436631625686,-0.4323453788368336,-0.053511391458989935
combined_fixed,E80,heating,19.180000000000003,665.9941683992676,672.0493020100733,665.9958207897382,10.384230687584342,349.2560755530637,8.206438712413258,0.9997271091644184,-0.8470835491686951,-0.03428300956566022
combined_fixed,E80,heating,24.66,658.9276885583006,665.9958207897382,658.9335354776616,9.034129620508626,301.62644839137664,7.097436624136174,0.9991727773095317,-0.9868359558483804,-0.02048747107294314
combined_fixed,E80,heating,30.14,651.553202015161,658.9335354776616,651.5672068075493,8.030127241685449,265.92387010053886,6.267174516703387,0.9981024173962489,-1.0277049194938368,-0.011577463352460564
combined_fixed,E80,heating,35.620000000000005,644.1197592551624,651.5672068075493,644.1466920170873,7.253536605963018,238.17735631825477,5.622283181276824,0.9963836251634592,-1.0336026119674355,-0.005838791620627772
combined_fixed,E80,heating,41.1,636.7122778639704,644.1466920170873,636.7571925282324,6.637821459213159,216.09067630172655,5.109110720285338,0.9939585469228701,-1.0276318273366678,-0.0020351440806271044
combined_fixed,E80,heating,46.580000000000005,629.356483996931,636.7571925282324,629.4242251020019,6.141414843660368,198.20267317928344,4.693637861409955,0.9908466730199889,-1.018149362746326,0.0005804083259613384
combined_fixed,E80,heating,52.06,622.0567243104693,629.4242251020019,622.1515488942216,5.736363456498515,183.52122028857997,4.352805124124143,0.9871293418982477,-1.0081917179569053,0.0024459925618960003
combined_fixed,E80,heating,57.54,614.8095452399069,622.1515488942216,614.9348998821837,5.402868926296765,171.34060346677992,4.070220203347828,0.98292637157663,-0.9988718610128003,0.0038247764652157086
combined_fixed,E80,heating,63.02,607.6085444471663,614.9348998821837,607.7669914955917,5.126370616684507,161.14119333837127,3.8338130009250433,0.9783730055372348,-0.9906036059043846,0.004882857634665718
combined_fixed,E80,heating,68.50000000000001,600.4460879251144,607.7669914955917,600.6393474400437,4.895854038657152,152.53015992343802,3.6344551152976923,0.9736016854929437,-0.9835449847800418,0.005731920860272815
combined_fixed,E80,heating,73.98000000000002,593.3139065944356,600.6393474400437,593.5429727157363,4.702805248670667,145.20436933976083,3.4650979145936374,0.9687300565073796,-0.9777605777288918,0.006452712973558489
combined_fixed,E80,heating,79.46000000000002,586.203295012438,593.5429727157363,586.4685898868336,4.540530864892653,138.92605751629873,3.3202082700868343,0.9638546970153263,-0.9732821334733942,0.0071086168983091535
combined_fixed,E80,heating,84.94000000000001,579.1051698445236,586.4685898868336,579.4067076124147,4.403697320140756,133.50625816437073,3.1953845084951453,0.9590492235729444,-0.9701318897939467,0.00775433234158383
combined_fixed,E80,heating,90.42000000000002,572.0100787505038,579.4067076124147,572.3476218366973,4.288007972584465,128.79314765891215,3.0870864512324587,0.9543652801167718,-0.968331887572558,0.00844246567653496
combined_fixed,E80,heating,95.90000000000002,564.9081905082041,572.3476218366973,565.2813885545245,4.189970411237373,124.66362624173816,2.992440456544072,0.9498351379505259,-0.9679078627656255,0.00922991992676226
combined_fixed,E80,heating,101.38000000000001,557.7892755875971,565.2813885545245,558.1977832834402,4.10672478811469,121.0170986329249,2.909095388394993,0.9454749684573083,-0.9688910317563182,0.010185986151664652
combined_fixed,E80,heating,106.86000000000001,550.642677923717,558.1977832834402,551.0862519424855,4.0359146456554384,117.77079099497169,2.83511413559529,0.9412881756575817,-0.9713192186386141,0.011405159985249805
combined_fixed,E80,heating,112.34,543.4572737465954,551.0862519424855,543.9358514824441,3.9755880780836037,114.85616654128769,2.76889054096764,0.9372684357511234,-0.975238198499636,0.013031244404150048
combined_fixed,E80,heating,117.82000000000002,536.2214071083164,543.9358514824441,536.7351715572671,3.9241210167683347,112.21614221361483,2.7090848534029797,0.9334022744821754,-0.9807042148211579,0.015310186689550802
combined_fixed,E80,heating,123.30000000000003,528.9227779710964,536.7351715572671,529.4722147922511,3.880156958176788,109.80289784084533,2.654572880898923,0.9296711289447469,-0.9877895248058943,0.018728391535336276
combined_fixed,E80,heating,128.78,521.5482187362638,529.4722147922511,522.1341752589572,3.8425591184500902,107.57612479136183,2.6044053166198164,0.9260529007645582,-0.99659608886453,0.02447973464939103
combined_fixed,E80,heating,134.26000000000002,514.0831425464366,522.1341752589572,514.7069123051173,3.8103721336752208,105.50158675702406,2.557774325646666,0.9225230127669771,-1.0072966197941464,0.03688979664147326
