variant,simulation_id,phase,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W,Qaxial_view_W
axial_view_rad_upper,E67,heating,2.74,645.5436161526842,296.33849999999995,645.5435978353321,61.88967071655479,1589.1631499572998,16.763321219339645,0.9999999475455792,108.8480875236349,0.26244506516875943
axial_view_rad_upper,E67,heating,8.220000000000002,662.0116496415596,645.5435978353321,662.0112779298016,31.816560516245534,1051.870248168489,10.698814097785954,0.9999774283101356,5.323420352384577,-0.15264460134553023
axial_view_rad_upper,E67,heating,13.700000000000001,665.5639200346722,662.0112779298016,665.562890637114,24.00558835579532,802.6798835151802,8.146473124501702,0.9997102445088254,1.1506153404921042,-0.1554607774412225
axial_view_rad_upper,E67,heating,19.180000000000003,664.3974051076781,665.562890637114,664.3990218397698,19.370150492069392,648.5502717792666,6.5804861580567495,0.998612825255298,-0.37715641568704306,-0.10741341889662792
axial_view_rad_upper,E67,heating,24.66,661.5137379208713,664.3990218397698,661.525702384678,16.176357440778364,540.3875731611578,5.485437679324254,0.9958532802514516,-0.9307001637542096,-0.06944261058422546
axial_view_rad_upper,E67,heating,30.14,657.9953765987121,661.525702384678,658.0284649989896,13.811620064821344,459.7324261944111,4.669962660137731,0.9906273805072069,-1.1320057946877564,-0.04536065411872595
axial_view_rad_upper,E67,heating,35.620000000000005,654.2264038736338,658.0284649989896,654.2932992069378,11.988810596352149,397.41838573471904,4.04016939166851,0.982405508197138,-1.2080643632902106,-0.030695821249463975
axial_view_rad_upper,E67,heating,41.1,650.337763249344,654.2932992069378,650.4522742651062,10.54821006382796,348.14623702271336,3.5422003590540307,0.9710504424710501,-1.2412736003410072,-0.02163193405323406
axial_view_rad_upper,E67,heating,46.580000000000005,646.36829921081,650.4522742651062,646.5447206034504,9.390425752831742,308.5459516385301,3.1419506614201733,0.9568015498883226,-1.2617033356366272,-0.01582485504107205
axial_view_rad_upper,E67,heating,52.06,642.3226414244265,646.5447206034504,642.5752296318752,8.44874052005259,276.33038167977026,2.8163224580039183,0.9401744503742056,-1.2805981966345634,-0.011940447040655182
axial_view_rad_upper,E67,heating,57.54,638.1917815797685,642.5752296318752,638.534423666227,7.675951302153944,249.872994375531,2.5489044975296298,0.9218327484698322,-1.3024635048746875,-0.009216999323421182
axial_view_rad_upper,E67,heating,63.02,633.9601882255312,638.534423666227,634.4063042297553,7.037375723635833,227.9760440675633,2.3276158295990306,0.9024720065226469,-1.329419283823809,-0.007196824958047476
axial_view_rad_upper,E67,heating,68.50000000000001,629.6080719936001,634.4063042297553,630.170735977764,6.506807175957441,209.73369739276848,2.1433202259331368,0.8827351498486896,-1.362776525477553,-0.005578142727883753
axial_view_rad_upper,E67,heating,73.98000000000002,625.1119002401915,630.170735977764,625.8041383720201,6.064016067177272,194.44642802617065,1.9889616268564443,0.8631625599765449,-1.403616763607711,-0.0041342276323003135
axial_view_rad_upper,E67,heating,79.46000000000002,620.4442684892906,625.8041383720201,621.2794898082146,5.6931242103212565,181.5649082433053,1.8589982358257298,0.8441713442307051,-1.4530133291612122,-0.0026666550640773714
axial_view_rad_upper,E67,heating,84.94000000000001,615.5735190412122,621.2794898082146,616.5660430194048,5.381502546230246,170.65178077005243,1.7490172368996066,0.8260551939851621,-1.51212311565306,-0.0009741070349743339
axial_view_rad_upper,E67,heating,90.42000000000002,610.4632405849842,616.5660430194048,611.6288969519773,5.11899813036019,161.35475524647913,1.6554637476501997,0.808996542241208,-1.5822309635891711,0.0011740162068437365
axial_view_rad_upper,E67,heating,95.90000000000002,605.0716918512583,611.6288969519773,606.4284792053331,4.89737676561416,153.38714949415757,1.5754447948432022,0.7930845027363786,-1.6647760815507862,0.004067046490839402
axial_view_rad_upper,E67,heating,101.38000000000001,599.3511603598567,606.4284792053331,600.9199603393682,4.709911713322161,146.5134831403788,1.5065841590011049,0.7783341384266925,-1.7613710196698105,0.00809450396017364
axial_view_rad_upper,E67,heating,106.86000000000001,593.2472544896991,600.9199603393682,595.0526084691435,4.551074238617437,140.538594153199,1.4469126536417,0.764704393102434,-1.8738172517054466,0.013815073143804734
axial_view_rad_upper,E67,heating,112.34,586.6981161853847,595.0526084691435,588.769083389007,4.416296921484459,135.29926829922042,1.3947836459710397,0.7521133381560089,-2.004120189305193,0.02208788518024605
axial_view_rad_upper,E67,heating,117.82000000000002,579.6335181636354,588.769083389007,582.0046518575798,4.30179009109883,130.65769338588444,1.3488068699658835,0.7404502474177324,-2.1545090951382444,0.03435927552726932
axial_view_rad_upper,E67,heating,123.30000000000003,571.9737430087368,582.0046518575798,574.6862562390162,4.204397790201521,126.49625159144254,1.307795614536877,0.7295845001530241,-2.327477394068974,0.05340740387634847
axial_view_rad_upper,E67,heating,128.78,563.6279287788478,574.6862562390162,566.7312105914842,4.121483694533517,122.71327990749157,1.2707235596876907,0.7193715031667949,-2.525893103378295,0.08583418635029144
axial_view_rad_upper,E67,heating,134.26000000000002,554.4907257993816,566.7312105914842,558.0446809668113,4.050840267418792,119.21944488377946,1.2366877685242024,0.709655685392248,-2.7533735993779884,0.15489762060688556
