phase,simulation_id,residual_W,solar_deposited_W,tube_flange_loss_W,casing_flange_loss_W,total_flange_loss_W,housing_ambient_loss_W
heating_training,E67,-3.552713678800501e-15,172.84666031189107,9.583906094578813,6.531161913670758,16.115068008249573,0.7386888165206977
heating_validation,E68,1.4210854715202004e-14,172.84666031189107,11.63808566334389,11.013053090177891,22.65113875352178,-0.01897649868453833
heating_training,E69,0.0,172.84666031189107,13.17556991886151,10.550563682133998,23.72613360099551,0.6701414717718867
heating_validation,E70,4.263256414560601e-14,172.84666031189107,14.755230714764512,14.495429775960247,29.25066049072476,-0.05718122157416129
heating_training,E71,2.842170943040401e-14,172.84666031189107,16.790154788278443,19.267720227809377,36.05787501608782,-0.5786062619395197
heating_training,E72,8.881784197001252e-15,109.74391130913719,4.8027242688453855,2.327995023101721,7.1307192919471065,0.6371876537626294
heating_validation,E73,-3.552713678800501e-15,109.74391130913719,6.6901420421357765,4.570107770468894,11.26024981260467,0.4829725047993705
heating_training,E74,3.552713678800501e-15,109.74391130913719,9.15868733995049,6.3853204597626245,15.544007799713114,0.664205391544334
heating_validation,E75,1.4210854715202004e-14,109.74391130913719,10.769941122511973,8.479164342994636,19.24910546550661,0.6439782870997764
heating_training,E76,7.105427357601002e-15,109.74391130913719,12.768146489986389,11.329222444236393,24.097368934222782,0.7771596156217069
heating_training,E77,-1.4210854715202004e-14,69.31194398471823,3.6802015824124217,1.9181517806578086,5.59835336307023,0.3832389580422536
heating_validation,E78,-5.329070518200751e-15,69.31194398471823,5.139070473067847,4.528449451030383,9.66751992409823,0.07484223241425982
heating_training,E79,-8.881784197001252e-15,69.31194398471823,5.956270079771808,3.780614367810813,9.736884447582622,0.5649642190929481
heating_validation,E80,1.4210854715202004e-14,69.31194398471823,6.792055844989275,4.416763033002553,11.208818877991828,0.6227405586503637
heating_training,E81,-1.4210854715202004e-14,69.31194398471823,8.05176190834732,7.558754061071795,15.610515969419115,0.23614957579654147
cooling_validation,C69,0.0,0.0,5.066450151517722,5.304023588710152,10.370473740227872,0.7045251011879886
cooling_validation,C80,-7.105427357601002e-15,0.0,3.356216763300033,0.14913974980686362,3.5053565131068964,0.8551558571139722
cooling_validation,C81,-3.552713678800501e-15,0.0,3.247727239559923,-5.441053697686584,-2.1933264581266614,2.3169955586039457
