irradiance_group,evaluation,objective,receiver_rmse_K,power_scale,inside_independent_closure
456,1,6.385817238908072,183.16050729322993,0.9,false
456,2,4.585469375028202,161.04729523225186,1.05,true
456,3,5.040476169055989,172.38129638539837,1.2,true
456,4,7.517606794389371,209.0492829412234,1.35,false
456,5,11.794186466284021,258.4049051163351,1.5,false
456,6,17.67324584190946,312.950635781287,1.65,false
304,1,5.480002399471116,167.99631993153267,1.0,false
304,2,6.1064465264795365,181.03540695463246,1.2,false
304,3,8.863777781377792,219.17681736407874,1.4,true
304,4,13.416376377506682,268.9498816500514,1.6,false
304,5,19.49408602663531,322.9603616944581,1.8,false
256,1,1.2820599692225954,82.21371230136617,0.75,false
256,2,2.092557772387269,108.41769499617918,0.9,true
256,3,4.1528783119760515,151.52267751363598,1.05,true
256,4,7.343053935512657,199.47880376198847,1.2,false
256,5,11.538259174616051,248.31766039374048,1.35,false
