simulation_id,Re,measured_Nu,model_Nu,measured_effectiveness,model_effectiveness,measured_axial_inversion_K,model_axial_inversion_K,measured_lambda_58,model_lambda_58,measured_lambda_107,model_lambda_107
E67,72.54805197713264,0.1397003239847824,0.3093511563797785,0.7314281865511008,0.9248305941793844,53.534735537190386,-14.111510694366643,0.037443664448830474,-0.00034905539296831915,0.09392562955303495,-0.014723049143772251
E68,58.91874763420601,0.10068255088995567,0.23979633541204418,0.6965278952154176,0.9272693890072129,35.10110743801647,-8.414603686306918,0.035661983805097726,-0.005715667777000025,0.08118609566975712,-0.01783107409060631
E69,49.63869912379634,0.07927417015654423,0.183978241739668,0.6735845032794066,0.9176161601298106,11.542652892562046,-12.675270584756277,0.0340477642890837,-0.0063963944452494256,0.0733229595539069,-0.017526012645359714
E70,42.748721346106834,0.06160653479354243,0.15019076097317982,0.643820375492817,0.9147693592660744,-31.075842975206797,-15.434369589759626,0.032220459058788,-0.006997155088606731,0.0664027110039353,-0.016879010340111644
E71,33.97915586310068,0.043414037695437946,0.10344557123796823,0.6066263867417975,0.9010667925301771,-83.49045454545467,-31.0950627610398,0.030607229000341848,-0.0071717287008822165,0.06076145779167691,-0.016304150584942473
E72,93.95360818131805,0.21107915095402482,0.4846856565656392,0.7726846574404191,0.9374573351284117,60.74060330578516,-6.6759211608053874,0.05314128380119545,-0.0031153556024607646,0.11435444362636456,-0.0172169405804313
E73,65.43809938954838,0.1272676677612195,0.3001993711634272,0.7313713451688525,0.9271322289590179,56.619909090909005,-6.556653540272691,0.04545496443494865,-0.003965970389327953,0.08997442259835604,-0.015913109773892216
E74,44.74327180684716,0.0712860682795938,0.17407337085400593,0.6691193446758684,0.9147292625242147,13.762809917355412,-12.126995772871624,0.04039538487720461,-0.006499503479183199,0.07136576676823651,-0.015462126444302267
E75,34.87148799267087,0.048445431507969317,0.11672493371922318,0.6253612938146217,0.899284932152547,-29.13341322314045,-21.780711074305827,0.03738135568038123,-0.006565887981071991,0.06364283789756771,-0.015384330483889288
E76,23.33560738406445,0.02762159106833677,0.06339597130117129,0.5730454029457592,0.8767272901919485,-97.86744628099189,-47.7071828521606,0.03432651450473903,-0.006681666247396114,0.05470973815106521,-0.015063300197105332
E77,78.72510696930053,0.18963852113322402,0.3715139669373271,0.780905466829855,0.9300714378448732,58.09278512396713,-4.697013301866377,0.06353914405033621,-0.00591093905085717,0.11078962807311216,-0.01597267809302961
E78,55.47905755567076,0.11606772107777102,0.23438706467210552,0.7420004808494914,0.9202049925161789,53.95803305785125,-7.143928353260208,0.05761757781365577,-0.0046271193164912836,0.09067713376853952,-0.013910444384367473
E79,44.37570972438066,0.08316084493740847,0.17035383899288112,0.7069281103107401,0.9091842362482281,39.59194214876027,-11.302081227061421,0.052837578630574845,-0.005396171536935236,0.0816625195056074,-0.014166277869466653
E80,36.445112793500655,0.06264045137620564,0.1281207048086909,0.6795347374454609,0.8997413148116781,25.774719008264242,-15.48741640566891,0.05050307818410642,-0.005753545413331679,0.07508425478229099,-0.013832664633829289
E81,25.17846332124386,0.03686074878748799,0.07306922982573369,0.6277793478629998,0.8769770802628412,-9.42705785123951,-31.497135908552536,0.047238966152292165,-0.006523415775667306,0.06608983025239817,-0.014444599411028896
