evaluation,casing_flange_conductance_W_K,training_objective,training_primary_rmse_K,training_t2_rmse_K,holdout_primary_rmse_K,holdout_t2_rmse_K
1,10.0,2.316771513400399,27.94049661351769,15.610803887558102,22.94689533335122,8.921515475621732
2,20.0,2.281049425846113,27.902049525007495,15.312905259408058,22.922860842819205,8.690646348232235
3,50.0,2.2422553897207123,27.86338621196484,15.003771851916591,22.904819134262976,8.491744127934505
4,100.0,2.2252027151899885,27.846808553118265,14.868332262258017,22.898081740843907,8.412231513044347
5,200.0,2.2158159723593305,27.83776471460186,14.79361541185758,22.894587732074175,8.369843049783565
6,500.0,2.209899328872021,27.83200243915926,14.746475973249987,22.89246246428551,8.343628770324303
