rank,objective,primary_rmse_K,t2_rmse_K,casing_flange_conductance_W_K,felt_heat_capacity_scale
1,2.401279837892862,30.732207316007507,14.703045488733034,20.0,1.0
2,2.47631190442119,30.79884018944255,15.297926593220273,10.0,1.0
3,2.5343721947752793,31.84580701803052,15.14639023221667,0.5,0.75
4,2.5351833907935104,31.85062279596488,15.195542049624038,0.2,0.75
5,2.5365516985164724,31.852984589133417,15.218192160615095,0.1,0.75
6,2.5374965367380113,31.85433800149309,15.230939121796425,0.05,0.75
7,2.5381551100477906,31.855209790521812,15.239078601038338,0.02,0.75
8,2.538634401135728,31.85581699307068,15.244718534245573,0.0,0.75
9,2.5397277322172376,31.842875485516334,15.107023124298143,1.0,0.75
10,2.55819320265303,31.84532250793197,15.09897588813423,2.0,0.75
11,2.56036424506905,31.825853060757396,14.704432757564023,20.0,0.75
12,2.5616690193480984,30.87844154776332,15.97007656209506,5.0,1.0
13,2.589790603612107,31.848917116705664,14.97918271955473,10.0,0.75
14,2.592032605133686,31.855266055422533,15.110694697640534,5.0,0.75
15,2.6722217904345893,30.984920661437865,16.808639600408096,2.0,1.0
16,2.746901203937059,31.053054032289108,17.31536274361879,1.0,1.0
17,2.803703732670594,31.101705552582906,17.66601897048052,0.5,1.0
18,2.8483462013483276,31.138215976566208,17.92392812375934,0.2,1.0
19,2.8634216078126777,29.757329334182334,18.591171340294586,20.0,1.5
20,2.865572998745532,31.151945683246858,18.01984916071612,0.1,1.0
21,2.8746974423155005,31.159143044432316,18.06991048543424,0.05,1.0
22,2.8803460803307344,31.163573651814403,18.100653062611592,0.02,1.0
23,2.8841868882196846,31.16657554666182,18.121450317118374,0.0,1.0
24,3.0058526465788034,29.88436941528034,19.40237636245588,10.0,1.5
25,3.214288556986843,30.066118977489502,20.503547533584946,5.0,1.5
26,3.541149056852081,30.336342532385252,22.040429909756867,2.0,1.5
27,3.7561994850427176,30.503790082495712,22.944627261680925,1.0,1.5
28,3.760297929419185,29.57467080557125,22.867952669011018,20.0,2.0
29,3.906801846941635,30.616586008979688,23.53614818285651,0.5,1.5
30,3.945787168489897,29.734384180603893,23.683896379414016,10.0,2.0
31,4.017603439703124,30.69743175234772,23.95221352757533,0.2,1.5
32,4.058766013308205,30.72703234977979,24.102988648363386,0.1,1.5
33,4.080235578361974,30.742381699253635,24.18085302715954,0.05,1.5
34,4.093415233810509,30.7517743287533,24.228393701379137,0.02,1.5
35,4.102329123169205,30.758114109655224,24.260437088653166,0.0,1.5
36,4.230750206112315,29.970786281198624,24.845926670927838,5.0,2.0
37,4.690219456550468,30.327993385281495,26.517554251314905,2.0,2.0
38,4.990520598087355,30.547638996139394,27.503344073009632,1.0,2.0
39,5.197752869073259,30.69384131078312,28.144017583968765,0.5,2.0
40,5.348327598951344,30.797612535896576,28.591815912201827,0.2,2.0
41,5.403843921212382,30.83538435482022,28.753445688205478,0.1,2.0
42,5.432708957993717,30.854923199374674,28.836775822833893,0.05,2.0
43,5.450397571283057,30.866863353059927,28.88760615621444,0.02,2.0
44,5.462347699879721,30.874915710389775,28.921846378619723,0.0,2.0
