phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s
heating_training,E67,T8,207.04775212031257,-186.91384979285021,150.0
heating_training,E67,T12,253.42886206928756,-254.56009602440724,50.0
heating_training,E67,T11,139.75388986591446,-169.84099448868312,-600.0
heating_training,E67,T9,216.8138494654514,-228.29160477455537,-300.0
heating_training,E67,T10,87.46658016278249,-108.89457397759804,-1250.0
heating_training,E67,T3,64.6183258044254,-64.95546110446264,-1350.0
heating_training,E67,T2,6.423710147777144,-3.4232050317691005,-850.0
heating_validation,E68,T8,188.22761185084627,-180.1029702042108,150.0
heating_validation,E68,T12,215.11109832611308,-223.6186813285342,-50.0
heating_validation,E68,T11,85.8446111087987,-111.16742377246158,-1050.0
heating_validation,E68,T9,180.55498720943461,-193.91030998750182,-450.0
heating_validation,E68,T10,74.62947737512997,-53.75013708264021,-1700.0
heating_validation,E68,T3,87.8905023855634,1.3681508917673,-1800.0
heating_validation,E68,T2,8.27264883207615,-8.749069061089529,-1650.0
heating_training,E69,T8,149.53736673698072,-141.31579003832928,100.0
heating_training,E69,T12,159.85725332145938,-165.5337135156476,-150.0
heating_training,E69,T11,37.96494267351716,-38.723222119906836,-1100.0
heating_training,E69,T9,122.46968478361502,-135.28150187639585,-450.0
heating_training,E69,T10,79.85451146370771,15.104140236637932,-1650.0
heating_training,E69,T3,116.56884383964487,71.29265968401842,-1800.0
heating_training,E69,T2,10.521057523903897,-8.993435248316473,-1850.0
heating_validation,E70,T8,166.06838559685266,-156.50519629040684,150.0
heating_validation,E70,T12,130.83066529416615,-140.86372290495967,-250.0
heating_validation,E70,T11,69.9225953139965,12.285016599177084,-1550.0
heating_validation,E70,T9,100.38892010617373,-109.65578725790704,-600.0
heating_validation,E70,T10,137.34435465906802,63.55054603118799,-2100.0
heating_validation,E70,T3,183.0140070585757,125.41183086381852,-2250.0
heating_validation,E70,T2,10.876887716013286,-11.310930661922896,-2450.0
heating_training,E71,T8,78.29481626580049,-66.39367277136125,100.0
heating_training,E71,T12,22.318141353765956,-13.998280986946384,-450.0
heating_training,E71,T11,186.33534444981223,150.4393852218301,-1850.0
heating_training,E71,T9,68.95958738376679,16.864268517420896,-800.0
heating_training,E71,T10,252.05859993963176,197.7342260184247,-2350.0
heating_training,E71,T3,294.2522263975267,254.10566289276449,-2500.0
heating_training,E71,T2,14.471977105418294,-4.579553996614607,-2500.0
heating_training,E72,T8,183.9515195451251,-196.3337980460568,0.0
heating_training,E72,T12,250.10054810577648,-263.75032251264736,50.0
heating_training,E72,T11,184.496320043188,-213.67786455700707,-400.0
heating_training,E72,T9,213.41945725640562,-236.34186433440368,-350.0
heating_training,E72,T10,123.25582848484314,-159.74977508191785,-1100.0
heating_training,E72,T3,98.04904798400041,-136.69483434777896,-1000.0
heating_training,E72,T2,3.7974002202840964,-0.08625413118147662,-550.0
heating_validation,E73,T8,209.52348393884677,-212.83063146480413,50.0
heating_validation,E73,T12,261.6283522465878,-276.0071940959858,-100.0
heating_validation,E73,T11,161.75180916739959,-194.7383880201878,-850.0
heating_validation,E73,T9,225.48965529138894,-247.50224308445297,-450.0
heating_validation,E73,T10,110.62866266024584,-145.42563765944396,-1450.0
heating_validation,E73,T3,73.71174310933388,-104.81121514453844,-1550.0
