source,Nu_prefactor,Nu_exponent,Nu_r2,effectiveness_min,effectiveness_max,middle_peak_count,lambda_58_intercept,lambda_58_slope,lambda_58_r2,lambda_58_positive_count,lambda_107_intercept,lambda_107_slope,lambda_107_r2,lambda_107_positive_count
measured,0.0003046900474047653,1.444917063715293,0.9704080591194868,0.5730454029457592,0.780905466829855,10,0.03191356634765248,0.00022845643569799912,0.20428394306853104,15,0.03777425822427561,0.0008250301984376482,0.8970129437981085,15
model,0.0006892748691191281,1.4415155344466564,0.9949211604527554,0.8767272901919485,0.9374573351284117,0,-0.008586874072817972,6.198690525073098e-5,0.47736658922014796,0,-0.014446331621863468,-2.358665439442459e-5,0.1317239058012234,0
