irradiance,sensor,model_slope_K_per_Lmin,experiment_slope_K_per_Lmin
456000.0,T8,-7.719787887670125,-34.14928244526689
456000.0,T12_perim,-2.0170261836162835,-16.81065855368442
456000.0,T11_perim,0.743866756090024,-1.3657133576718719
456000.0,T9_core,-2.00234408610048,-16.731949144758126
456000.0,T10_core,0.7700267857977517,-3.5441256722753445
456000.0,T3,1.8064588085719848,0.5430107656374393
456000.0,T2,-3.550421043620846,-3.714704533708543
304000.0,T8,-8.503007608135988,-23.65036823444102
304000.0,T12_perim,-4.242401357291056,-13.173548257550575
304000.0,T11_perim,-1.674257290688614,-1.9289615808695002
304000.0,T9_core,-4.256048185121461,-13.384545690629912
304000.0,T10_core,-1.669562158638549,-3.67897996265457
304000.0,T3,-0.38897034515890105,-0.13175631351821884
304000.0,T2,-2.123825224815298,-2.0439067897339482
256000.0,T8,-9.133580388896974,-20.88606484778701
256000.0,T12_perim,-5.575443907575629,-13.987976018518863
256000.0,T11_perim,-3.0354694679196985,-5.174190237226035
256000.0,T9_core,-5.590676906175035,-13.924381477027032
256000.0,T10_core,-3.0358347462526813,-6.148389808009175
256000.0,T3,-1.6882959940931954,-3.039355302230513
256000.0,T2,-1.9664754269029947,-1.1393701213842518
