simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
E67,heating,T8,112.5288004587472,87.17053350445781,1250.0,0.0006912150764673305
E67,heating,T12_perim,224.19750004084128,-98.89176041253404,1600.0,0.0007295748916126481
E67,heating,T11_perim,205.8422158429828,-167.61388275169736,1050.0,0.0003310659564217393
E67,heating,T9_core,192.90528781183045,-71.25337523980522,1550.0,0.0006329946865108888
E67,heating,T10_core,141.13119292484296,-114.19521158880968,750.0,0.0002067571534178943
E67,heating,T3,124.32695524437005,-137.21502503565796,300.0,5.615135425939636e-5
E67,heating,T2,27.880169371900358,44.08257467166362,-50.0,0.0003106399850682185
E68,heating,T8,109.62855826523932,32.908897156377066,1250.0,0.00042931258051620054
E68,heating,T12_perim,225.613339603611,-141.14821950287615,1550.0,0.0004044652772355097
E68,heating,T11_perim,192.86164732263137,-182.83822811100026,750.0,0.00015543010584292876
E68,heating,T9_core,193.033798522741,-111.105181997346,1500.0,0.00032671033479651556
E68,heating,T10_core,135.93312636623403,-133.88769139920498,400.0,8.928918259044273e-5
E68,heating,T3,121.33493324654725,-146.4984492637533,-50.0,2.3204718580033496e-5
E68,heating,T2,33.59217418825284,49.39522982573078,-100.0,0.00012475238295360492
E69,heating,T8,122.62185389339676,0.4514027850077582,1200.0,0.00042141898297447624
E69,heating,T12_perim,243.698294187902,-163.31745542791236,1500.0,0.00039416524969465897
E69,heating,T11_perim,201.84047526889287,-185.26570979329256,700.0,0.0001550005824193551
E69,heating,T9_core,211.08256887827017,-133.75692544868286,1450.0,0.00030736679820458505
E69,heating,T10_core,152.26019026271953,-141.09480222941795,400.0,8.40999541684235e-5
E69,heating,T3,135.29710917943999,-148.97788017141306,-100.0,1.6377043886006194e-5
E69,heating,T2,27.156631101950417,44.202676026985785,-150.0,0.0008387537555304155
E70,heating,T8,170.1520540831689,-82.60137645149098,1250.0,0.00037052592068758983
E70,heating,T12_perim,259.5807101694099,-209.98335174224383,1350.0,0.00026028847915122365
E70,heating,T11_perim,188.6693461012524,-201.62832256681565,200.0,8.190163916511797e-5
E70,heating,T9_core,227.25975517302936,-180.2592103074677,1300.0,0.00020561390020503153
E70,heating,T10_core,142.5746333243194,-160.7343553297128,-100.0,4.451534857656675e-5
