variant,simulation_id,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
fitted_observation_map,E78,2.74,574.7541400662578,298.15999999999997,574.7541003734277,40.58313414694391,980.0936910554203,15.756891222702544,0.9999998564943203,56.568124252062645
fitted_observation_map,E78,8.220000000000002,581.8885472870159,574.7541003734277,581.888463265321,24.036301459202207,724.4453397603669,11.349370250449976,0.9999882230962099,1.497341507584304
fitted_observation_map,E78,13.700000000000001,581.7617238555362,581.888463265321,581.7617254681263,23.78007710957302,720.0306891559463,11.272046716075394,0.9999872763324992,-0.02661866009976847
fitted_observation_map,E78,19.180000000000003,578.989567924607,581.7617254681263,578.9896020906546,23.885496042007773,721.8492351236779,11.303904082092714,0.9999876752864797,-0.5820528245409415
fitted_observation_map,E78,24.66,575.2630120267321,578.9896020906546,575.2630547615798,24.124787016981262,725.9656811340681,11.375989487444087,0.999988532452719,-0.7819254681341489
fitted_observation_map,E78,30.14,571.1938057390794,575.2630547615798,571.1938484846347,24.41736792418676,730.9774831042188,11.463703803100413,0.9999894954682965,-0.8531404968636708
fitted_observation_map,E78,35.620000000000005,567.0000205546738,571.1938484846347,567.0000606370078,24.734261774614623,736.3796886183608,11.558188774048082,0.9999904425420785,-0.8785172297443234
fitted_observation_map,E78,41.1,562.7565229613828,567.0000606370078,562.756559728057,25.06526695020347,741.9940559465789,11.656315991100422,0.9999913358435513,-0.8881682056563902
fitted_observation_map,E78,46.580000000000005,558.4859477274259,562.756559728057,558.4859811822582,25.407144820343614,747.762973289361,11.757071460111051,0.9999921662674277,-0.8930655185714447
fitted_observation_map,E78,52.06,554.1916505421807,558.4859811822582,554.1916808853302,25.759299254158158,753.6741976827213,11.860235476459646,0.9999929341375555,-0.8972522487523339
fitted_observation_map,E78,57.54,549.8696137351596,554.1916808853302,549.8696412120257,26.122192589659473,759.7333285399286,11.965899936364316,0.9999936426563717,-0.9022696933569352
fitted_observation_map,E78,63.02,545.5127242359157,549.8696412120257,545.5127490890036,26.496771189547356,765.9538230855454,12.074293242470656,0.9999942957168899,-0.9087605899767184
fitted_observation_map,E78,68.50000000000001,541.1122873082745,545.5127490890036,541.1123097630064,26.884265941596713,772.3534879492267,12.18571868039135,0.9999948971874018,-0.9170495677411625
fitted_observation_map,E78,73.98000000000002,536.6585380072714,541.1123097630064,536.6585582688602,27.286133613766868,778.9533804105946,12.30053496243261,0.999995450689898,-0.927353374275139
fitted_observation_map,E78,79.46000000000002,532.1407887877423,536.6585582688602,532.1408070415955,27.70405283397565,785.7776257928804,12.41915276142222,0.9999959595430317,-0.9398570659418868
fitted_observation_map,E78,84.94000000000001,527.5474448856414,532.1408070415955,527.547461298829,28.139943232708372,792.8536055016294,12.542037672823097,0.9999964267595072,-0.9547416077045892
fitted_observation_map,E78,90.42000000000002,522.8659718773459,527.547461298829,522.8659866003429,28.595996667281717,800.2123204194489,12.669716175861451,0.9999968550613522,-0.972193777514094
fitted_observation_map,E78,95.90000000000002,518.0828466272329,522.8659866003429,518.0828597956898,29.07471712985471,807.8888646700684,12.802783442565003,0.9999972469011952,-0.9924095299183431
fitted_observation_map,E78,101.38000000000001,513.1835037013724,518.0828597956898,513.1835154378489,29.578968960152864,815.9229943604613,12.941912707634408,0.9999976044859312,-1.0155948287175491
fitted_observation_map,E78,106.86000000000001,508.15228255151874,513.1835154378489,508.15229296716745,30.11203432301641,824.3597961625638,13.087866261630783,0.9999979298019142,-1.041965369089004
fitted_observation_map,E78,112.34,502.97237849964995,508.15229296716745,502.9723876958541,30.677681690115442,833.2504705416183,13.24150829805572,0.9999982246417032,-1.0717456685414812
fitted_observation_map,E78,117.82000000000002,497.62579993464163,502.9723876958541,497.6258080046067,31.28024771910929,842.6532512396739,13.403819956506728,0.999998490632632,-1.105167661340317
fitted_observation_map,E78,123.30000000000003,492.09333413373815,497.6258080046067,492.09334116403284,31.92473564030908,852.6344891207855,13.575917008415813,0.9999987292674445,-1.1424688035405053
fitted_observation_map,E78,128.78,486.354524362035,492.09334116403284,486.3545304340643,32.61693414754493,863.2699359964083,13.759070751335724,0.9999989419370755,-1.1838896483102168
fitted_observation_map,E78,134.26000000000002,480.38766123476523,486.3545304340643,480.38766642614803,33.36356193764797,874.6462734267297,13.954732826386278,0.9999991299653742,-1.2296708353602692
