variant,simulation_id,z_mm,Tsolid_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,UA_over_mcp,effectiveness,Qgas_W
initial_observation_map,E76,2.74,1127.2506421591609,296.4675,655.805935730994,0.4791344171926967,16.873614864471115,0.5665669771318695,0.43252976317874314,35.18781956409413
initial_observation_map,E76,8.220000000000002,1111.6942644764183,655.805935730994,825.8792376071834,0.34925593960034346,14.421688776469434,0.4669030440386145,0.3730591268792083,17.27258609128963
initial_observation_map,E76,13.700000000000001,1086.3720029274948,825.8792376071834,917.6912731839979,0.310957996147075,13.612392912814965,0.43456733345540977,0.3524552225622044,9.456029626540714
initial_observation_map,E76,19.180000000000003,1060.6039882265086,917.6912731839979,966.8144655765351,0.2955930374026698,13.273110853992529,0.42118090863562896,0.34372863448801666,5.090054541717189
initial_observation_map,E76,24.66,1036.7463800410842,966.8144655765351,990.6257640325585,0.29001570123303644,13.147695468533964,0.4162620662535428,0.34049258680161293,2.4728495140771813
initial_observation_map,E76,30.14,1014.9525677636,990.6257640325585,998.9026318682555,0.2895771318922595,13.137780936970938,0.4158739211419851,0.3402365525371343,0.85972223324418
initial_observation_map,E76,35.620000000000005,994.82054308497,998.9026318682555,997.5075941337465,0.29216850812126355,13.196251235008598,0.4181644862175495,0.34174605418216153,-0.14475087335884548
initial_observation_map,E76,41.1,975.9086953011963,997.5075941337465,990.0697988004482,0.2966885377883676,13.29760065453342,0.42214331744880557,0.34435993200214793,-0.7703523293581278
initial_observation_map,E76,46.580000000000005,957.8659553711326,990.0697988004482,978.8728076723041,0.3025102054721803,13.42696253506862,0.4272371220313332,0.3476911429134368,-1.157022858756488
initial_observation_map,E76,52.06,940.4415476325594,978.8728076723041,965.3641072743948,0.30925769402949277,13.575284536765253,0.43309778895484075,0.3515029271467815,-1.3922215543821448
initial_observation_map,E76,57.54,923.4642202281042,965.3641072743948,950.4625411378128,0.3166999786252619,13.736930826872333,0.43950845559063845,0.35564692859717845,-1.5313913866724034
initial_observation_map,E76,63.02,906.8190066891534,950.4625411378128,934.7495877300777,0.32469473259685433,13.908375633961846,0.446332965506846,0.3600293515691141,-1.6099303167524857
initial_observation_map,E76,68.50000000000001,890.4286843091089,934.7495877300777,918.590578003641,0.33315640936877916,14.087441219047031,0.4534866495744437,0.3645911630671248,-1.6504948060710114
initial_observation_map,E76,73.98000000000002,874.2405654569359,918.590578003641,902.2122980838006,0.34203704403559354,14.272831642114626,0.46091854046078656,0.3692959478329872,-1.667577640213645
initial_observation_map,E76,79.46000000000002,858.2175737592772,902.2122980838006,885.7528940155842,0.35131427544431293,14.46383863101748,0.4686001714863425,0.37412222308304605,-1.670425228574112
initial_observation_map,E76,84.94000000000001,842.3323916768754,885.7528940155842,869.2939840992564,0.3609837260768442,14.660152896916061,0.47651838326455254,0.3790584868856979,-1.6649136626606158
initial_observation_map,E76,90.42000000000002,826.5636970456219,869.2939840992564,852.8812807567813,0.3710541384329179,14.861742455469315,0.4846706695255361,0.3841000019932967,-1.6547596444985164
initial_observation_map,E76,95.90000000000002,810.8937805162448,852.8812807567813,836.5377845822015,0.3815443170293124,15.068774574552886,0.4930621759882556,0.3892467063042975,-1.642302002968449
initial_observation_map,E76,101.38000000000001,795.3070600538503,836.5377845822015,820.2721868938563,0.39248128561305906,15.281566586096947,0.5017037947553361,0.3945018641901528,-1.629004662564658
initial_observation_map,E76,106.86000000000001,779.7891713599348,820.2721868938563,804.0841945594491,0.40389928264132335,15.500556023387336,0.5106109938532829,0.39987120823158673,-1.6157788340426131
initial_observation_map,E76,112.34,764.326424922057,804.0841945594491,787.9678893787553,0.4158393517860393,15.726283854240743,0.5198031457038484,0.4053624065857161,-1.6031881658538076
initial_observation_map,E76,117.82000000000002,748.9054950437736,787.9678893787553,771.9138411245145,0.42834937184161487,15.959386741699557,0.5293031992861614,0.41098474703236004,-1.591578460121959
initial_observation_map,E76,123.30000000000003,733.513255107051,771.9138411245145,755.910436617848,0.4414844299911668,16.20059570439829,0.5391375948152171,0.4167489657420497,-1.5811590524822918
initial_observation_map,E76,128.78,718.1367049152916,755.910436617848,739.9447202056581,0.4553074843305668,16.45073952288517,0.549336356457414,0.4226671735244364,-1.5720534319678696
initial_observation_map,E76,134.26000000000002,702.7629561459611,739.9447202056581,724.002932939048,0.4698902923215124,16.71075190611952,0.5599333238672508,0.4287528488700742,-1.5643304355776086
