% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 12:53
% Dimension:          1
% Nodes:              261
% Expressions:        7
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height                   Height                   Height
0                         318.0097813189107        317.9997773353668        317.9511850041552        317.9300868975555        317.9070464388221        317.8752086523749        317.866429005757
0.18549699883316212       318.0064442361708        317.96286458096733       317.84004228933225       317.73235993250154       317.59438271470805       317.4205139032133        317.2635031282043
0.37099399766632424       318.00310715343085       317.9259518265679        317.7288995745093        317.5346329674476        317.281718990594         316.9658191540517        316.66057725065156
0.5564909964994864        317.99977007069094       317.88903907216843       317.6177568596863        317.33690600239356       316.96905526648          316.51112440489004       316.0576513730988
0.7419879953326485        317.99643298795104       317.852126317769         317.50661414486336       317.1391790373396        316.65639154236595       316.05642965572844       315.4547254955461
0.9274849941658107        317.9610590675162        317.6884203953068        317.23293622862155       316.75303155091365       316.1665062644397        315.51195299375166       314.8675105818559
1.1129819929989728        317.9256851470814        317.5247144728447        316.9592583123797        316.36688406448764       315.6766209865135        314.96747633177483       314.28029566816576
1.2984789918321349        317.89031122664665       317.36100855038256       316.6855803961379        315.9807365780616        315.18673570858726       314.42299966979806       313.69308075447555
1.483975990665297         317.8549373062118        317.1973026279204        316.411902479896         315.59458909163567       314.696850430661         313.8785230078213        313.1058658407854
1.674094359971054         317.75567077387655       317.0746934375068        316.3556780605508        315.60440972683614       314.92189916820155       314.5351763515115        314.4160618798184
1.8642127292768105        317.65640424154134       316.95208424709324       316.2994536412057        315.6142303620366        315.1469479057421        315.19182969520165       315.7262579188514
2.054331098582567         317.55713770920613       316.8294750566796        316.2432292218605        315.6240509972371        315.37199664328256       315.8484830388918        317.0364539578844
2.244449467888324         317.45787117687087       316.706865866266         316.18700480251533       315.63387163243755       315.5970453808231        316.505136382582         318.34664999691745
2.436330901635048         317.43453201160935       316.85880050725297       316.61529865796666       316.42831060496945       316.88730462435143       318.423988950349         321.0869158322875
2.628212335381772         317.4111928463478        317.0107351482399        317.04359251341793       317.2227495775014        318.17756386787977       320.34284151811596       323.82718166765756
2.8200937691284964        317.3878536810862        317.16266978922687       317.47188636886926       318.0171885500333        319.4678231114081        322.261694085883         326.56744750302767
3.0119752028752202        317.3645145158247        317.3146044302138        317.9001802243206        318.81162752256523       320.75808235493645       324.18054665364997       329.3077133383977
3.2038566366219436        317.4683567615168        317.7717036005198        318.86322877819487       320.4140244844957        323.13428364376637       327.42128004515905       333.5191360730615
3.395738070368667         317.572199007209         318.22880277082584       319.82627733206914       322.01642144642614       325.51048493259634       330.6620134366682        337.73055880772523
3.5876195041153913        317.6760412529012        318.6859019411318        320.7893258859434        323.61881840835656       327.8866862214263        333.90274682817727       341.941981542389
3.7795009378621147        317.77988349859334       319.1430011114378        321.7523744398177        325.22121537028704       330.26288751025623       337.14348021968635       346.15340427705274
3.971734984497032         317.85679010152757       319.53112676765716       322.5397379119917        326.4861813384281        332.1946513403719        339.9014730397438        349.8623152653837
4.163969031131949         317.9336967044618        319.9192524238765        323.32710138416576       327.7511473065691        334.12641517048746       342.6594658598013        353.5712262537147
4.356203077766867         318.01060330739597       320.30737808009593       324.1144648563398        329.0161132747102        336.0581790006031        345.4174586798588        357.28013724204567
4.548437124401785         318.0875099103302        320.6955037363153        324.90182832851383       330.28107924285126       337.98994283071875       348.1754514999162        360.9890482303766
4.741376396813089         318.26371969537786       321.2721140591547        325.95540097710915       331.9381016508446        340.37386494258544       351.390919975061         365.0704506921146
4.934315669224393         318.4399294804255        321.8487243819941        327.00897362570447       333.59512405883794       342.7577870544522        354.60638845020577       369.1518531538527
5.127254941635698         318.6161392654732        322.4253347048335        328.0625462742998        335.2521464668313        345.14170916631895       357.8218569253505        373.2332556155907
5.320194214047002         318.79234905052084       323.00194502767295       329.1161189228951        336.9091688748246        347.52563127818564       361.0373254004953        377.3146580773287
5.5131334864583055        319.0569030483587        323.7977987615591        330.5480204726212        339.0937852677465        350.59059649013295       365.0554211901037        382.31112136817524
5.70607275886961          319.32145704619666       324.59365249544527       331.9799220223473        341.27840166066846       353.65556170208026       369.07351697971205       387.3075846590217
5.899012031280914         319.58601104403454       325.38950622933146       333.41182357207333       343.46301805359036       356.72052691402763       373.0916127693205        392.3040479498682
6.091951303692218         319.8505650418724        326.1853599632176        334.8437251217994        345.64763444651226       359.78549212597494       377.10970855892884       397.30051124071474
6.284890576103522         320.3911470827192        327.5975683624281        337.32279867842726       349.3492526269298        364.76666962282786       383.41298800590505       404.9413584709689
6.477829848514826         320.931729123566         329.0097767616386        339.80187223505516       353.05087080734734       369.7478471196808        389.7162674528812        412.5822057012231
6.67076912092613          321.4723111644129        330.42198516084903       342.28094579168305       356.7524889877649        374.7290246165337        396.01954689985735       420.2230529314772
6.8637083933374345        322.0128932052597        331.83419356005953       344.7600193483109        360.4541071681824        379.71020211338663       402.32282634683355       427.86390016173135
7.056647665748739         322.41970370103974       332.88804358306845       346.6274946772571        363.1949016461374        383.374020342698         407.0082289401927        433.5816957059903
7.249586938160043         322.8265141968198        333.94189360607743       348.4949700062034        365.9356961240923        387.0378385720093        411.69363153355187       439.2994912502493
7.442526210571347         323.23332469259987       334.99574362908635       350.36244533514963       368.67649060204724       390.70165680132067       416.37903412691105       445.0172867945082
7.635465482982651         323.64013518837993       336.04959365209527       352.22992066409586       371.4172850800022        394.365475030632         421.06443672027024       450.73508233876714
