% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 16:26
% Dimension:          1
% Nodes:              388
% Expressions:        7
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height                   Height                   Height
0                         557.9385146057633        648.59852764275          730.7252647093123        806.1787086196483        874.9830858285208        937.8084156107819        995.1275925412001
0.12919896640826892       557.354181269885         647.9162804173096        729.9839106062847        805.395281810324         874.170425137015         936.9778891861984        994.2889210172336
0.25839793281653783       556.7698479340066        647.2340331918691        729.2425565032569        804.6118550009996        873.357764445509         936.1473627616145        993.4502494932672
0.3875968992248067        556.1855145981283        646.5517859664286        728.5012024002292        803.8284281916752        872.5451037540031        935.3168363370308        992.6115779693007
0.5167958656330757        555.5429030768328        645.8314566582624        727.7369054285277        803.0361643791549        871.737534160051         934.505385319978         991.8062487042288
0.6459948320413446        554.9002915555371        645.1111273500961        726.9726084568263        802.2439005666345        870.9299645660988        933.6939343029251        991.0009194391569
0.7751937984496134        554.2576800342416        644.3907980419299        726.2083114851248        801.451636754114         870.1223949721465        932.8824832858721        990.1955901740849
0.9043927648578824        553.6032663798203        643.6545223783404        725.4278618956813        800.6461592744776        869.305832409899         932.0664006222183        989.3900565933538
1.0335917312661513        552.9488527253989        642.9182467147508        724.6474123062377        799.8406817948409        868.4892698476515        931.2503179585643        988.5845230126228
1.1627906976744202        552.2944390709774        642.1819710511613        723.8669627167942        799.0352043152043        867.6727072854039        930.4342352949103        987.7789894318917
1.2919896640826893        551.6405131230351        641.4468493111023        723.0938439924838        798.2441273067222        866.8772162901281        929.6453622141264        987.0065314806994
1.4211886304909587        550.9865871750928        640.711727571043         722.3207252681733        797.45305029824          866.0817252948522        928.8564891333424        986.2340735295072
1.5503875968992276        550.3326612271505        639.9766058309838        721.5476065438629        796.6619732897577        865.2862342995762        928.0676160525585        985.461615578315
1.6795865633074964        549.6700733467538        639.2351876984569        720.773289287434         795.8729950639944        864.4951895318754        927.2852798355647        984.6979416914709
1.808785529715765         549.0074854663573        638.4937695659299        719.9989720310049        795.0840168382308        863.7041447641747        926.5029436185707        983.9342678046268
1.9379844961240338        548.3448975859606        637.7523514334031        719.2246547745758        794.2950386124674        862.9130999964739        925.7206074015769        983.1705939177826
2.067183462532303         547.6514767136089        636.9809411825102        718.4213601247914        793.4762466924884        862.0911171794038        924.9066169859831        982.3750749474317
2.1963824289405722        546.9580558412571        636.2095309316172        717.6180654750068        792.6574547725094        861.2691343623336        924.0926265703891        981.5795559770808
2.325581395348841         546.2646349689054        635.4381206807243        716.8147708252224        791.8386628525304        860.4471515452635        923.2786361547952        980.7840370067298
2.4547803617571096        545.5450466636942        634.6435414252272        715.9878423036528        790.993608810913         859.5965070560974        922.4342632115327        979.9570535666734
2.5839793281653782        544.825458358483         633.8489621697302        715.1609137820831        790.1485547692954        858.745862566931         921.5898902682701        979.1300701266168
2.713178294573647         544.1058700532718        633.0543829142331        714.3339852605134        789.3035007276778        857.8952180777648        920.7455173250075        978.3030866865604
2.842377260981916         543.3547814090392        632.2294653589987        713.4743520948437        788.4227237479247        857.006428195898         919.8612045457621        977.4348455765746
2.9715762273901847        542.6036927648065        631.4045478037643        712.6147189291738        787.5419467681714        856.1176383140312        918.9768917665166        976.5666044665887
3.1007751937984542        541.8526041205738        630.57963024853          711.755085763504         786.6611697884183        855.2288484321643        918.092578987271         975.6983633566028
3.229974160206723         541.0728344052693        629.7263734711452        710.8633941986626        785.7446678067068        854.3013547088754        917.167173392618         974.7870424377004
3.359173126614992         540.2930646899647        628.8731166937603        709.9717026338212        784.8281658249953        853.3738609855864        916.2417677979647        973.8757215187978
3.4883720930232607        539.5132949746601        628.0198599163754        709.0800110689798        783.9116638432838        852.4463672622974        915.3163622033115        972.9644005998954
3.61757105943153          538.713553571206         627.1473544057648        708.1668530650661        782.971434272112         851.4931627009921        914.3635984293005        972.0243123788016
3.7467700258397985        537.913812167752         626.274848895154         707.2536950611523        782.0312047009401        850.5399581396867        913.4108346552892        971.0842241577076
3.8759689922480676        537.1140707642979        625.4023433845434        706.3405370572384        781.0909751297681        849.5867535783815        912.4580708812781        970.1441359366136
4.005167958656337         536.3168431400968        624.5345816712983        705.4312497186158        780.1539993924694        848.6364261623867        911.5079863846615        969.2066297582978
4.134366925064606         535.5196155158958        623.666819958053         704.5219623799933        779.2170236551705        847.6860987463917        910.5579018880449        968.269123579982
4.263565891472875         534.7223878916947        622.7990582448077        703.6126750413707        778.2800479178717        846.7357713303968        909.6078173914283        967.3316174016662
4.392764857881145         533.9260112803829        621.9333647830655        702.7048940743607        777.3441757972569        845.7862414327957        908.6583108150695        966.3944969655867
4.521963824289413         533.129634669071         621.0676713213234        701.7971131073506        776.4083036766419        844.8367115351945        907.7088042387106        965.457376529507
4.651162790697682         532.3332580577593        620.2019778595811        700.8893321403406        775.472431556027         843.8871816375932        906.7592976623517        964.5202560934274
4.780361757105951         531.5409589880408        619.3411537808602        699.9855206175863        774.5398746067566        842.9404816190272        905.8122695360865        963.5853295603647
4.909560723514219         530.7486599183223        618.4803297021391        699.0817090948319        773.6073176574862        841.9937816004609        904.8652414098212        962.6504030273019
5.038759689922489         529.9563608486038        617.6195056234181        698.1778975720777        772.6747607082158        841.0470815818948        903.9182132835559        961.715476494239
5.167958656330757         529.1590039650956        616.7532878135016        697.2671246625782        771.7340546271175        840.091288805781         902.9613117905516        960.7699578259515
