variant,simulation_id,z_mm,Tperim_K,Tcore_K,Trear_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qcore_rear_W,Qperim_rear_W,Qrear_tube_W,Qrear_cavity_W,rear_contact_weight,active_flow_fraction,flange_scale,flange_cool_gain,flange_cool_tau_s,k_core_axial_scale,G_rear_axial_W_K
fitted_energy_accounting,E81,2.74,520.1285070107467,536.5669676579433,368.85945296428145,297.84499999999997,536.5634932398232,13.400353770538272,311.8914043293295,1.3091385040718002,0.9999854457545142,21.9800450418289,24.034484004885243,1.676326614151574,-0.9535387838153253,0.27367935244058056,0.00015815226911018902,0.0,0.10772718094431116,0.0016997520250656762,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,8.220000000000002,520.2668426641445,528.3306605873441,368.8227913034343,536.5634932398232,528.3324859558103,8.494657848973224,240.25293570194432,1.3101833345231233,0.9997782818449991,-0.772761799776035,0.0,1.6495102826706463,-0.4677544510049536,0.2602984753219708,0.0001583352293495485,0.0,0.10761678866492529,0.0016997520250656762,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,13.700000000000001,517.4893746973148,519.8054792062665,368.7524026287277,528.3324859558103,519.8128023318845,7.204388654410291,201.26284918216464,1.2893117379189678,0.9991411844937916,-0.7985771360026794,0.0,1.6231229341981788,-0.13434928756735925,0.5053275157508146,0.00031878518744025844,0.0,0.2201799233323098,0.003484491651384637,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,19.180000000000003,512.4832915876872,509.85642324547905,368.619033670823,519.8128023318845,509.87518999382496,6.480371080599423,178.5416770173935,1.2522549507979093,0.9981151030728105,-0.9298590319230157,0.0,1.5971577062585292,0.15237563285460573,0.9636756856642221,0.0006288831448911478,0.0,0.44739248627512973,0.007106852078135713,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,24.66,505.8317159477733,498.91865553809515,368.37165636863574,509.87518999382496,498.9542233055998,6.003035380834357,162.75579449487682,1.2041256128400926,0.9967537392732742,-1.0198954819344044,0.0,1.5716078461556096,0.4010029501521821,1.344741115645135,0.0009071605256136268,0.0,0.67072645656992,0.010729212504886787,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,30.14,498.0339904063282,487.43857543722856,367.97548270902047,498.9542233055998,487.49498834538105,5.659939013517834,150.76227768422487,1.1492925121561954,0.9951011954518503,-1.0679954356981722,0.0,1.5464667092168305,0.6146037223611279,1.6460279274229748,0.0011480955614610198,0.0,0.8871026128869222,0.014351572931637859,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,35.620000000000005,489.5140384541952,475.8177796914235,367.41183721839747,487.49498834538105,475.8972661824839,5.3994356578486356,141.15059624989757,1.0913123718335382,0.993193022971848,-1.0787069195769934,0.0,1.5217277570648506,0.7944730473105793,1.8706828291902609,0.0013499148956450796,0.0,1.0930618302335426,0.017973933358388938,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,41.1,480.6243321801278,464.3855110875822,366.6766968392577,475.8972661824839,464.4884186349075,5.193697885250756,133.1794702198014,1.0329299885865597,0.9910606552626501,-1.0590537877616506,0.0,1.497384555917364,0.9419583772171062,2.0258949083788353,0.0015136459837556944,0.0,1.2852261903810909,0.02159629378514001,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,46.580000000000005,471.64958568843196,453.39065485124326,365.77835418857455,464.4884186349075,453.5156804222896,5.026102838284973,126.41475266634482,0.9761397470781067,0.9887341654153413,-1.0166868185529903,0.0,1.4734307749137507,1.059138022587913,2.121245504660222,0.0016422513998624335,0.0,1.4606647117725784,0.02521865421189108,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,52.06,462.8118468833966,443.00579996654903,364.7346501583979,453.5156804222896,443.150380409434,4.885997063915062,120.58031711501165,0.9222889963064345,0.9862433789333921,-0.9587693127840516,0.0,1.4498601844687184,1.148880925933952,2.167285831988145,0.0017398762034488075,0.0,1.6171471069777967,0.028841014638642158,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
