metric,value,target,status
Nu_app_prefactor,0.0003555717890263895,3.1e-4,diagnostic
Nu_app_Re_exponent,1.1145835577997703,1.44,diagnostic
Nu_app_log_r2,0.9595787640332998,0.97,diagnostic
Lambda107_intercept,-0.2472570437554463,0.038,diagnostic
Lambda107_slope,6.262465051102923e-5,8.3e-4,diagnostic
Lambda107_r2,0.045673085195774066,linear trend,diagnostic
K_loss_min,0.49036693308837864,0.10-0.16,diagnostic
K_loss_max,0.8607870735042298,0.10-0.16,diagnostic
epsilon_mean_min,0.9996589383687073,epsilon*=0.66,diagnostic
epsilon_mean_max,0.9999987350088223,epsilon*=0.66,diagnostic
C_receiver_participating,222.52693256582086,301 +/- 23,below assembly target
C_total_with_rear,302.52693256582086,301 +/- 23,pass
