Parameter,Index,Mu_Star,Sigma
C_perim_eff,11,16665.15188472537,3.703021668811427e8
G_core_perim,10,55.58307544756919,14164.709719206256
k_core_axial_scale,20,19.197865576113312,1474.2321707140661
f_core_rear,16,4.526537507102751,122.0021662228725
G_recv_rear,22,2.5085661251292977,22.68840742560162
G_rear_cavity,24,1.0563476356857004,4.420786233600114
m_rec,5,0.8871572981388027,3.1481922865637624
B_Re,2,0.8819165982297091,2.5966480154544938
k_perim_ref,12,0.20434433077831105,0.0835132110424716
A_Nu,1,0.1683619570913717,0.11263938371934433
flange_scale,17,0.09517968706040845,0.04529586414458641
G_rear_tube,23,0.013910721197089516,0.0003870163284463111
beta_opt,13,0.002047135159045601,5.0171255655839365e-5
flange_cool_gain,18,1.1194190843174542e-5,3.7592972590023827e-10
flange_cool_tau_s,19,5.555592718470786e-7,2.469168836282049e-12
spill_capture,14,0.0,0.0
beta_perim,15,0.0,0.0
C_rear_eff,21,0.0,0.0
G_rear_axial,25,0.0,0.0
