% Model:              Cav_Hex_Unif_flux_v5.2.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 3 2022, 14:21
% Table:              Evaluation Group 1 - Global Powers - 
% R_channel (mm)         Entry_reg                Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_front (W)            BHS_interior (W)
0.5                      1.0E-5                   1.9061567385711782       1.8764131742771          340.13731532356366       842.3532761490623        0.021144311756464817     0.021144311756464817     0.08197194352910991      1.830691156590125        -0.08332186098839175     1.3157253937883584       0.5606877804887416
0.5                      0.1                      1.855762777269159        1.893847773382256        362.30339377940584       864.586009041027         0.029137623835266736     0.029137623835266736     0.08649884202162854      1.8349382350724026       -0.08026631717846339     1.3157253937883773       0.5781223795938789
0.5                      0.3                      1.8728257406423654       1.9030281137259626       361.9086422387205        868.381300903905         0.03328219858138945      0.03328219858138945      0.08420840881055752      1.847274810267478        -0.08027300211708192     1.3157253937883775       0.5873027199375851
0.5                      0.5                      1.8801084640809873       1.9038589307524973       361.44368859587945       869.8663387704911        0.034102221914596186     0.034102221914596186     0.08197514709750349      1.8517009058415286       -0.08025816550504164     1.3157253937883773       0.5881335369641201
0.5                      0.7                      1.879623639054419        1.8984585060090933       360.5470692902583        867.4570948456886        0.03384508539101998      0.03384508539101998      0.07967110862644748      1.8503950149648378       -0.08053795625611873     1.315725393788377        0.5827331122207162
0.5                      0.9                      1.825096384087483        1.8501969761117945       360.79022800113927       857.1225791157979        0.032683348415867744     0.032683348415867744     0.07707335891715687      1.8061227183946604       -0.08005103403545134     1.315725393788377        0.5344715823234173
1                        1.0E-5                   4.558500725622321        4.602009045275381        339.2634486055131        836.0398613627832        0.14599495829284934      0.14599495829284934      0.19690605457820326      4.382463882461009        -0.2017653736831838      2.1247983225059643       2.4772107227694167
1                        0.1                      4.499411040496557        4.664607931185351        360.68584465366          861.7766115563509        0.16510053125762         0.16510053125762         0.1911987080333705       4.442110124148053        -0.19525714671601369     2.1247983225060074       2.539809608679344
1                        0.3                      4.618146009111042        4.683576759436802        358.1332941925036        871.441086540258         0.15614942525725498      0.15614942525725498      0.16277109313187346      4.5193328894625235       -0.19533243863056154     2.1247983225060074       2.5587784369307944
1                        0.5                      4.6611215720211625       4.673865411143206        356.69161381137053       874.6198774571899        0.14562693425365691      0.14562693425365691      0.14739593996549186      4.543859873241321        -0.19531929947167725     2.1247983225060074       2.5490670886371984
1                        0.7                      4.638851490254517        4.63537420697566         356.12378519235494       871.7249993073265        0.13900853583468298      0.13900853583468298      0.13990872382250227      4.523503253726857        -0.1954169212838865      2.1247983225060074       2.5105758844696533
