% Model:              Cav_Hex_Unif_flux_v5.2.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 3 2022, 14:21
% Table:              Evaluation Group 1 - Global Powers - 
% R_channel (mm)         Entry_reg                Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_front (W)            BHS_interior (W)
1                        0.9                      4.416485212628764        4.439885462439184        355.61963425604824       849.2673162135359        0.12982480475712183      0.12982480475712183      0.13322469628950864      4.346346016777207        -0.1953440328932045      2.1247983225060074       2.315087139933177
2                        1.0E-5                   12.406062658982686       13.555320653034288       337.70501925697494       801.543880028375         1.1385120775870448       1.1385120775870448       0.6231041416328809       12.066028624831329       -0.5931798493678117      3.905937027231398        9.64938362580289
2                        0.1                      12.658911451117248       13.670406303462636       356.0914112830003        836.2661155784027        1.0148679200986523       1.0148679200986523       0.48152601384858823      12.544476263637161       -0.5772843408140295      3.9059370272314626       9.764469276231173
2                        0.3                      13.435200485916072       13.723562461376797       351.93633858438164       859.3963337578533        0.7736160056526434       0.7736160056526434       0.339365806295426        13.077284968776716       -0.5772278576172678      3.905937027231463        9.817625434145334
2                        0.5                      13.681004711236337       13.674209509211803       350.35332939680336       867.0001755370988        0.6453293840079843       0.6453293840079843       0.28999191439821703      13.237444141913837       -0.5765567171042258      3.9059370272314626       9.76827248198034
2                        0.7                      13.631637053936982       13.525205008460404       349.4644193069556        864.202171496962         0.5846264173860022       0.5846264173860022       0.27115945095255506      13.18522840151393        -0.5770959135534841      3.9059370272314626       9.61926798122894
2                        0.9                      12.805294618525693       12.810511614772222       348.9623186411284        836.0088120110374        0.5435953643727982       0.5435953643727982       0.2635489557728721       12.526850722550538       -0.576746675620134       3.9059370272314626       8.90457458754076
4                        1.0E-5                   37.384538308981114       46.05514406862636        336.1595564193555        756.4826890596648        7.803864610149076        7.803864610149076        1.7997934951194283       36.99315312694767        -1.9954168498473743      7.415192667081902        38.63995140154446
4                        0.1                      39.99413583210736        46.45329388820332        351.06906865132805       806.694171322138         6.506027214526267        6.506027214526267        1.0931624299663527       39.82127567722984        -1.9380129366135637      7.415192667081951        39.038101221121366
4                        0.3                      44.33013077214174        46.562201491137984       346.4078871899529        847.1388159048846        4.372433456568853        4.372433456568853        0.7123668576920328       42.96045905379456        -1.9381924415992011      7.41519266708195         39.14700882405603
4                        0.5                      45.89918066050779        46.3822853420184         345.2076019554971        862.1030230746493        3.3139021193209572       3.3139021193209572       0.6282657651486352       44.11416236664172        -1.9379114677300704      7.415192667081951        38.967092674936445
4                        0.7                      45.88244149437892        45.763160431239896       344.81078718507234       861.8480883698048        2.843706941398474        2.843706941398474        0.5972798912591798       44.072974237187005       -1.9369693337043121      7.415192667081949        38.34796776415795
4                        0.9                      42.52387878136409        42.82974928015367        344.62731540646524       827.6202960897906        2.613022564820169        2.613022564820169        0.5875653446015662       41.42521307122772        -1.9371634026181135      7.415192667081951        35.41455661307172
8                        1.0E-5                   104.65727163345508       140.84870302758642       330.0837548845174        661.3632112961467        32.66989400146647        32.66989400146647        3.0337287132274273       107.20189784866369       -7.275635707570087       8.569888982824823        132.2788140447616
8                        0.1                      114.96937710902851       141.94556164982723       339.41800484252997       707.1193656881277        26.391341110093443       26.391341110093443       1.2478502849385464       117.58182680261947       -7.098388835664784       8.569888982824619        133.37567266700262
8                        0.3                      128.56280830093073       140.9453654565497        336.83053327607786       744.7389889382764        17.22995589300833        17.22995589300833        0.8699535558786383       128.12667207699945       -7.090822142316331       8.56988898282461         132.3754764737251
8                        0.5                      129.32394520216275       135.33383727083128       336.47994457429377       746.9394066449465        12.065531953984594       12.065531953984594       0.7757646340962979       128.64698026784566       -7.08511031152016        8.569888982824608        126.76394828800666
8                        0.7                      95.17654883412362        101.22048385890636       335.9292453665983        646.1426338344695        7.267630844612282        7.267630844612282        0.7176121180877342       100.07158985543234       -7.084445421855516       8.569888982824613        92.65059487608175
8                        0.9                      93.360794715223          99.97659775944557        336.2995952151255        641.1927522167275        7.42207378068812         7.42207378068812         0.7271731452445667       98.59674640024622        -7.0792736686825375      8.569888982824612        91.40670877662096
