% Model:              Cav_Hex_Unif_flux_v5.2.1 - Lin. Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Mar 3 2022, 14:23
% Table:              Evaluation Group 2 - pressure drop - 
% R_channel (mm)         Entry_reg                p_out (Pa)               p_in (Pa)
0.5                      1.0E-5                   20.41434633771223        54.940740308043466
0.5                      0.1                      17.432760185777862       43.07020769239863
0.5                      0.3                      13.405706891257273       42.84898226467639
0.5                      0.5                      9.532702987771051        42.84294365397053
0.5                      0.7                      5.708471354092062        43.28691233687511
0.5                      0.9                      1.8862419970707591       42.82603282364683
1                        1.0E-5                   6.427235456480513        17.24769526539288
1                        0.1                      5.5360222115136715       13.73220705840373
1                        0.3                      4.272469826215229        13.752031929626815
1                        0.5                      3.097957415866174        13.804614582533452
1                        0.7                      1.8364204329170455       13.794019777075453
1                        0.9                      0.593914738763526        13.689431794203777
2                        1.0E-5                   2.58641344773541         6.877309485540276
2                        0.1                      2.2082960191057666       5.5988931891039115
2                        0.3                      1.7075866613607513       5.577200783298054
2                        0.5                      1.2229722939913732       5.580699570225586
2                        0.7                      0.733845399946571        5.599181714354614
2                        0.9                      0.23748029336582452      5.576889962585033
4                        1.0E-5                   1.2266144676315525       3.239640304960929
4                        0.1                      1.0505838557281912       2.7091597808573065
4                        0.3                      0.7879435652946505       2.6864522396787502
4                        0.5                      0.5817211645819179       2.712114193590447
4                        0.7                      0.35069945630284993      2.716595101011551
4                        0.9                      0.11564890441561382      2.7120161646717293
8                        1.0E-5                   0.6540985063099474       1.7201186466465834
8                        0.1                      0.5617696213933816       1.4807907296157226
8                        0.3                      0.4360528224939966       1.4805356484051715
8                        0.5                      0.3071577427222026       1.471006508312487
8                        0.7                      0.17860133582509455      1.4753435734747788
8                        0.9                      0.0562139249557511       1.4470760467625388
