variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qcore_rear_W,Qperim_rear_W,Trear_K,Qrear_tube_W,Qrear_cavity_W,active_flow_fraction,flange_scale,flange_cool_gain,flange_cool_tau_s,k_core_axial_scale
fitted_energy_accounting,E78,2.74,546.7114653383688,530.7111128644107,298.15999999999997,530.7053256230112,28.3975025904503,657.3302899270533,1.5860185325868215,0.9999751141100629,47.409748085842864,45.60058280910538,2.1346917130382184,1.3954453553793473,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,8.220000000000002,551.4905064339052,536.7273172608817,530.7053256230112,536.7253850108884,17.96069855316685,508.91880649114097,1.6279753869746258,0.9996791343944804,1.2522258525135097,0.0,2.092537802666656,1.2875481209312398,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,13.700000000000001,556.1386836528036,542.3591971048494,536.7253850108884,542.3529799775481,15.092547298742137,431.2623524023771,1.669486940624112,0.9988964617211984,1.1719199638118138,0.0,2.051216308586773,1.201756057196291,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,19.180000000000003,560.5982505771651,547.6539757954785,542.3529799775481,547.642167417281,13.445157488421678,387.19204615773674,1.7099717156277865,0.9977724226535819,1.1026320311728919,0.0,2.0107107930143266,1.1289143881209902,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,24.66,564.8347183389455,552.6403149947755,547.642167417281,552.6224364935806,12.325510066145107,357.52735043223214,1.749032431627804,0.9964229745285171,1.0392903369748285,0.0,1.9710051427632225,1.0635155404195222,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,30.14,568.8259667845223,557.333697092979,552.6224364935806,557.3097924427308,11.494052974031344,335.6640553259194,1.7863722072639416,0.9949260607126331,0.9791101285168936,0.0,1.9320835628355755,1.0022800678880086,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,35.620000000000005,572.5555213563503,561.741384563495,557.3097924427308,561.7118384238664,10.841750115215184,318.6068816000617,1.8217405847185555,0.9933328386675854,0.9203545702701452,0.0,1.8939305701384517,0.9431377830324565,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,41.1,576.0082344716371,565.8647171267654,561.7118384238664,565.8301534068754,10.310516682170839,304.76526400998125,1.8548969559501471,0.9916771660424676,0.8617761025309042,0.0,1.8565309873247378,0.8846507718594963,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,46.580000000000005,579.1673025009093,569.6999654562005,565.8301534068754,569.6611963866064,9.866044146486418,293.20204081597876,1.8855837135963878,0.9899816660086055,0.8023113091999595,0.0,1.819869936755365,0.8256787797863737,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,52.06,582.011927313601,573.2383706672265,569.6611963866064,573.196379929615,9.48652813429146,283.32232708895316,1.9135039670491396,0.9882614783855989,0.7409085285333497,0.0,1.7839328345811634,0.76517182307498,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,57.54,584.5151640626846,576.4656300111429,573.196379929615,576.4215820700961,9.157335520662164,274.72647443281795,1.93830028673684,0.9865265917417194,0.6764109488433763,0.0,1.7487053849412522,0.7020273411772484,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,63.02,586.641637212579,579.3609057514175,576.4215820700961,579.3161789545125,8.868228296681233,267.1335143401845,1.9595320198377437,0.9847833033192954,0.6074565945849129,0.0,1.7141735742761088,0.6349774430143391,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,68.50000000000001,588.3448784456285,581.8953460219458,579.3161789545125,581.851590775452,8.611809729431611,260.3381928373103,1.9766493965045426,0.9830351251587136,0.5323766664690656,0.0,1.6803236657530427,0.5624857377138873,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,73.98000000000002,589.564060841774,584.0300526310618,581.851590775452,583.9892790574346,8.382604401562421,254.18533573645226,1.9889630591038476,0.9812833199157062,0.449081084256844,0.0,1.6471421938014994,0.4826397460204877,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,79.46000000000002,590.2198865551372,585.7133823278926,583.9892790574346,585.6780850543329,8.176489466524332,248.55372337236065,1.9956079587466997,0.9795271697673027,0.3549214512101679,0.0,1.6146159587565816,0.3930276163066418,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,84.94000000000001,590.2093375615532,586.8774095462317,585.6780850543329,586.8507414042718,7.990331903637333,243.34543361224902,1.9955009582214096,0.9777640312192952,0.24651988423134585,0.0,1.582732021608092,0.29058881552804605,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,90.42000000000002,589.3989242753646,587.4332856864986,586.8507414042718,587.4192983276104,7.821753288815972,238.4784282832419,1.987292204847883,0.9759891920408573,0.11954549693736503,0.0,1.5514776988534233,0.17143005090993,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,95.90000000000002,587.6159693254068,587.2649971271444,587.4192983276104,587.2689787907563,7.668978551240606,233.88106861576046,1.969311794681534,0.9741955111181663,-0.03160769216765466,0.0,1.5208405574519257,0.030609483430423697,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,101.38000000000001,584.637370439521,586.2200718760809,587.2689787907563,586.2490502785826,7.530746451558205,229.48765210476125,1.9395162800778494,0.9723727605412362,-0.21443372331111982,0.0,1.4908084098791863,-0.1380327947271375,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,106.86000000000001,580.1753564245456,584.0908256048048,586.2490502785826,584.1544794734978,7.406282758527984,225.23386424978827,1.8954465648264864,0.9705063752321809,-0.4402265840686408,0.0,1.4613693092786917,-0.3414814324007183,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,112.34,573.8608767830304,580.5521460253947,584.1544794734978,580.6653521467027,7.2954110370266845,221.04858674021855,1.8342290399541272,0.9685742247521194,-0.7328993702463504,0.0,1.4325115447093002,-0.5835684308234481,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,117.82000000000002,565.2324363699448,574.8672143793382,580.6653521467027,575.0612563223535,7.199257204011712,216.82409858045858,1.7527296813003461,0.966533747420166,-1.1760384706172793,0.0,1.4042236364867455,-0.8402818778649728,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,123.30000000000003,553.7792241477924,564.3198048439435,575.0612563223535,564.703764946813,7.124142477370293,212.266709187135,1.648328197064169,0.9642543557878444,-2.1699565110275483,0.0,1.3764943316168357,-0.9192800220735754,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,128.78,539.3151785407273,535.8918589130866,564.703764946813,537.0121266421462,7.103592500207486,206.0998405370225,1.5225152181141244,0.9611178889814423,-5.778914478439914,0.0,1.3493125993191428,0.29855938999751386,0.0,0.0,398.5418685754835,0.0,0.0,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
fitted_energy_accounting,E78,134.26000000000002,524.1678374604919,428.4761177176312,537.0121266421462,433.54437547564976,7.332494991154888,192.02787396912092,1.3977993067571677,0.9533034445596446,-21.320643146687082,0.0,1.322667626638776,8.345601516014842,37.68282596053746,0.10915507183382941,398.5418685754835,8.884118670346123,28.57629988824516,1.0,0.10138182079580631,6.353118641919998,116.75498869515107,0.033550794144135865
