simulation_id,flow_lpm,irradiance,power_scale,nominal_incident_flux_W_m2,scaled_incident_flux_W_m2,nominal_receiver_absorbed_W,scaled_receiver_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_receiver_participating_eff_J_K,C_rear_eff_J_K,C_total_with_rear_eff_J_K,f_core_rear,G_receiver_rear_W_K,G_rear_tube_W_K,G_rear_cavity_W_K,G_rear_axial_W_K,T_rear_inlet,T_rear_mid,T_rear_exit,flange_scale,flange_cool_gain,flange_cool_tau_s,flange_gate_end,effective_flange_scale_end,k_core_axial_scale
E67,15.2805125,456000.0,1.2704443482523613,456000.0,579322.6228030768,164.61599999999999,209.1354668319107,209.1354668319107,85.47950754395254,123.65595928795815,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,667.3758545197747,931.6279999999999,650.274907977135,991.103,568.4474613838967,878.055,586.5998796558439,966.6659999999999,498.08506615224985,824.995,456.74016697366255,763.414,378.37767133424285,326.43699999999995,-17.100946542639804,59.47500000000002,-98.92839313587808,-53.57299999999998,63.67502832129105,24.437000000000012,70.36239523164681,53.059999999999945,9.127817456144083,0.9088188019080496,51.94600377798392,-7.316960683256736,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,433.03175345929964,424.95320674148456,395.94002406313444,0.10143925323663915,5.130727767103787,117.22796428139164,2.312813583423806e-11,0.10143925324867635,0.04734319105878005
E68,12.499871559633025,456000.0,1.2704443482523613,456000.0,579322.6228030768,164.61599999999999,209.1354668319107,209.1354668319107,85.47950754395254,123.65595928795815,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,717.1911944484139,1012.649,684.8803747010757,1047.717,587.5304664063126,898.751,621.0562604106442,1020.928,514.9510414533669,850.0989999999999,471.7290172920536,773.207,397.0549924871591,338.52,-32.3108197473382,35.0680000000001,-129.66072804210125,-113.89800000000002,63.82411429043145,26.7890000000001,72.57942495294571,48.652000000000044,8.047480253697303,0.9296436839492788,45.73522691788457,-7.814311489218255,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,457.9012101413392,446.4284494569171,414.25295188614047,0.10143925323663915,5.130727767103787,117.22796428139164,2.3128135834238125e-11,0.10143925324867635,0.04734319105878005
E69,10.499733944954128,456000.0,1.2704443482523613,456000.0,579322.6228030768,164.61599999999999,209.1354668319107,209.1354668319107,85.47950754395254,123.65595928795815,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,759.2004063003426,1058.429,708.8735223622128,1070.73,597.2330997536139,896.755,643.8699930564939,1044.378,522.6878711742477,852.837,478.81482561501844,769.76,406.8528904809678,344.308,-50.326883938129754,12.30099999999993,-161.96730654672865,-161.6740000000001,65.00352930571898,26.35200000000009,74.54522857936627,43.918000000000006,7.251661220712276,0.9441389287217982,40.389760096020396,-7.937975262323296,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,473.5581086653348,458.5344578160576,423.8130904576301,0.10143925323663915,5.130727767103787,117.22796428139164,2.3128135834238125e-11,0.10143925324867635,0.04734319105878005
E70,9.107139705882352,456000.0,1.2704443482523613,456000.0,579322.6228030768,164.61599999999999,209.1354668319107,209.1354668319107,85.47950754395254,123.65595928795815,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,795.1788940903245,1152.474,725.8590448556821,1120.277,601.431052536484,912.173,659.0774711139724,1093.725,525.4215969400727,871.483,481.1716311823749,779.518,411.4778026737166,352.421,-69.31984923464245,-32.19699999999989,-193.74784155384054,-240.30099999999993,66.78157374170974,26.552000000000135,76.00945559641127,40.690000000000055,6.660298740833043,0.9542145491037973,34.96946175503521,-7.876062329419849,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,483.5030176880398,465.03985308656934,427.8209214787158,0.10143925323663915,5.130727767103787,117.22796428139164,2.3128135834238125e-11,0.10143925324867635,0.04734319105878005
E71,7.126846153846151,456000.0,1.2704443482523613,456000.0,579322.6228030768,164.61599999999999,209.1354668319107,209.1354668319107,85.47950754395254,123.65595928795815,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,854.5038141232825,1203.298,749.7455875950659,1120.348,606.0993634953207,882.823,678.0464439967002,1095.306,527.8869923813579,847.476,483.94340718373974,753.56,417.76628705865727,356.00399999999996,-104.7582265282166,-82.95000000000005,-248.40445062796175,-320.475,71.69914359836571,25.041999999999916,78.21237111396283,35.34699999999998,5.783877828473762,0.9679924876651613,27.539974572731957,-7.669449362574087,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,497.9932052254123,473.6239352909912,433.15389524157393,0.10143925323663915,5.130727767103787,117.22796428139164,2.3128135834238125e-11,0.10143925324867635,0.04734319105878005
E72,18.707575757575754,304000.0,1.1831938200144705,304000.0,359690.92128439905,109.744,129.84842258366805,129.84842258366805,53.07267765697504,76.77574492669302,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,505.72171424840946,737.656,499.42989752347967,797.899,456.42560154538893,733.977,459.4319643167579,771.112,413.7965833905227,684.1869999999999,390.9898886382625,652.9549999999999,339.2118781200561,309.928,-6.291816724929788,60.24300000000005,-49.296112703020526,-3.6789999999999736,39.99793320672177,26.787000000000035,42.62901815486623,49.79000000000008,10.874208188440814,0.8731164118340728,36.21385263863778,-4.040401269160523,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,370.0388981240882,366.48340797436447,350.3630291844572,0.10143925323663915,5.130727767103787,117.22796428139164,1.1708618764968426e-10,0.10143925329757751,0.04734319105878005
E73,13.170870967741934,304000.0,1.1831938200144705,304000.0,359690.92128439905,109.744,129.84842258366805,129.84842258366805,53.07267765697504,76.77574492669302,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,556.1152784214387,837.694,534.9097464370285,894.482,475.4655560810225,791.76,495.2923096710873,867.5509999999999,430.83921402433253,747.4,405.7040062070318,694.626,357.3963379842458,325.12,-21.205531984410186,56.78800000000001,-80.64972234041619,-45.93399999999997,39.61743676594119,26.93100000000004,44.626342056689964,44.360000000000014,8.904935546077551,0.9126908135527887,29.879713653789285,-4.481952999898724,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,394.62253833926695,387.82717379053236,368.03882042564874,0.10143925323663915,5.130727767103787,117.22796428139164,1.1708618764982932e-10,0.10143925329757751,0.04734319105878005
E74,9.023245901639344,304000.0,1.1831938200144705,304000.0,359690.92128439905,109.744,129.84842258366805,129.84842258366805,53.07267765697504,76.77574492669302,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,620.2628427615152,948.538,565.6198838006259,962.509,484.0161195508976,804.0,524.1760446474274,935.491,437.0291446877975,767.8009999999999,410.9162749058695,697.672,366.3693866701735,333.964,-54.64295896088936,13.971000000000004,-136.24672321061763,-144.538,41.443839153198496,27.01800000000003,46.9869748631001,36.19900000000007,7.125098789870375,0.9458641949737148,21.423001284054955,-4.468910681417369,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,412.7952585509799,400.3400973457527,376.13569512848676,0.10143925323663915,5.130727767103787,117.22796428139164,1.1708618764982932e-10,0.10143925329757751,0.04734319105878005
E75,6.944410852713178,304000.0,1.1831938200144705,304000.0,359690.92128439905,109.744,129.84842258366805,129.84842258366805,53.07267765697504,76.77574492669302,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,667.0619653562544,1008.725,581.7141247459753,979.689,486.54829152118566,788.678,537.1205911205872,954.178,438.2227622025288,757.393,412.37710783202215,681.066,370.21112029295784,336.517,-85.34784061027915,-29.036000000000058,-180.51367383506874,-220.04700000000003,44.59353362538809,25.510999999999967,48.325529318656834,31.284999999999968,6.13041342748497,0.9624615092029731,16.629035544783942,-4.339844660504509,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,422.70591596867365,405.8572757439538,379.3067346363627,0.10143925323663915,5.130727767103787,117.22796428139164,1.1708618764982932e-10,0.10143925329757751,0.04734319105878005
E76,4.526673611111114,304000.0,1.1831938200144705,304000.0,359690.92128439905,109.744,129.84842258366805,129.84842258366805,53.07267765697504,76.77574492669302,0.635231789233087,0.06920265203911855,0.9307973479608814,0.5912720647586029,2.94277641876593,1.0,0.04821373738131644,0.0,0.9517862626186836,739.2001850964291,1067.693,599.858875752632,970.472,488.9327783681246,751.1579999999999,548.1807652467243,947.353,439.1461513718814,726.308,414.4284325572234,647.019,375.21027797962546,338.123,-139.3413093437971,-97.221,-250.26740672830448,-316.5350000000001,51.67811050590774,23.119000000000028,49.78662699624323,24.84999999999991,4.825435040588917,0.9809357629992205,11.016955959768975,-4.03974237621961,1.0,10.58514123907342,150.0,222.52693256582086,80.0,302.52693256582086,0.9993597380772297,1.2020519688785072,0.5,3.4346129148210887,2.5474796010212613,435.5797471740512,412.1927415978583,383.5381950504524,0.10143925323663915,5.130727767103787,117.22796428139164,1.1708618764982932e-10,0.10143925329757751,0.04734319105878005
