case,flow_lpm,reynolds,irradiance,power_scale,q_receiver_gas_W,q_rear_gas_W,h_app_W_m2_K,Nu_app,deltaT_app_K,epsilon_mean,epsilon_outlet,z_peak_core_mm,z_peak_perim_mm,lambda_107,lambda_107_raw_K,Tcore_107_K,Tperim_107_K,K_loss_W_K,q_loss_external_W,q_front_W,q_cavity_ambient_W,q_tube_cavity_W,q_tube_flange_W,q_core_rear_W,q_perim_rear_W,q_rear_tube_W,q_rear_cavity_W,C_receiver_participating_J_K,C_total_with_rear_J_K,T3_error_K,T2_error_K
E67,15.2805125,111.31830775590693,456000.0,1.2704443482523613,51.94600377798392,-7.316960683256736,2.4288299183333626,0.09040191538201546,260.1855787473067,0.9088188019080496,0.8288077287281947,30.14,24.66,-0.3487662594393165,-70.36239523164681,498.08506615224985,568.4474613838967,0.32679815727448885,108.61493227149185,4.785847903851476,92.12341733384515,-0.18011187430204426,11.70566703379522,130.74084720281496,0.1373689222986049,9.482967726045786,120.47826934324905,222.52693256582086,302.52693256582086,-306.67383302633743,51.94067133424289
E68,12.499871559633025,90.475804403676,456000.0,1.2704443482523613,45.73522691788457,-7.814311489218255,1.9230990078589631,0.06941081003489709,289.3192808057855,0.9296436839492788,0.8602056778632542,24.66,24.66,-0.33571194144445854,-72.57942495294571,514.9510414533669,587.5304664063126,0.3613503202179003,131.69238195956623,6.153240200490087,112.07929157110154,-0.21282135891953083,13.459850187974599,134.7409214407113,0.14076840740191832,9.321317927698232,124.91620018667005,222.52693256582086,302.52693256582086,-301.4779827079464,58.534992487159116
E69,10.499733944954128,76.40842615027003,456000.0,1.2704443482523613,40.389760096020396,-7.937975262323296,1.5592810085121722,0.05525837556068534,315.1193461546554,0.9441389287217982,0.8834205278608037,19.180000000000003,19.180000000000003,-0.32992005329317087,-74.54522857936627,522.6878711742477,597.2330997536139,0.3782668104189797,148.1660414681161,7.559008811901988,126.33906108632543,-0.21801306687980826,14.267971569888685,138.02917006609346,0.1437559077547238,9.049399889218591,128.6487044735872,222.52693256582086,302.52693256582086,-290.94517438498156,62.54489048096781
E70,9.107139705882352,65.86899555432916,456000.0,1.2704443482523613,34.96946175503521,-7.876062329419849,1.2717974491338082,0.044463695378542355,334.50235574204737,0.9542145491037973,0.9003913487816217,13.700000000000001,19.180000000000003,-0.3357581032372182,-76.00945559641127,525.4215969400727,601.431052536484,0.3747369991537146,153.06120132805972,8.938397699420692,129.66429322166024,-0.26374131704178666,14.458510406978784,140.93385731413738,0.14638179858343975,9.242205804993858,131.36565826498207,222.52693256582086,302.52693256582086,-298.34636881762515,59.05680267371662
E71,7.126846153846151,51.309287635693515,456000.0,1.2704443482523613,27.539974572731957,-7.669449362574087,0.9138505334672592,0.031358206943605915,366.62033313591894,0.9679924876651613,0.9254614652897045,2.74,13.700000000000001,-0.34439087789379585,-78.21237111396283,527.8869923813579,606.0993634953207,0.371624431790972,162.02803736453563,11.677127002149673,135.73820742289647,-0.3240877992117423,14.612702939489516,144.23852052841596,0.15000884575899265,9.42056633985817,134.5014336643724,222.52693256582086,302.52693256582086,-269.6165928162602,61.76228705865731
E72,18.707575757575754,136.25388763090646,304000.0,1.1831938200144705,36.21385263863778,-4.040401269160523,2.991530443479852,0.12946397535974996,147.26837192932658,0.8731164118340728,0.7818318001971364,35.620000000000005,30.14,-0.3631878122458007,-42.62901815486623,413.7965833905227,456.42560154538893,0.2882495475328943,54.98948276223569,1.8150444010832876,46.805770670002524,-0.08399922825611991,6.368667691149879,78.61454663174743,0.08335243873033762,5.844702387321547,72.1545731337108,222.52693256582086,302.52693256582086,-261.9651113617374,29.2838781200561
E73,13.170870967741934,95.78456031942005,304000.0,1.1831938200144705,29.879713653789285,-4.481952999898724,2.048800461634691,0.08531413636156798,177.42097042210935,0.9126908135527887,0.8362163820559275,24.66,24.66,-0.3333851596778204,-44.626342056689964,430.83921402433253,475.4655560810225,0.34449946007038035,77.57525896183523,2.5529191045877253,66.89025084037691,-0.1375597947013837,8.1320890168706,83.43946581393476,0.08714976222762938,5.918851280964475,77.1613555442967,222.52693256582086,302.52693256582086,-288.9219937929682,32.2763379842458
E74,9.023245901639344,65.6974650463822,304000.0,1.1831938200144705,21.423001284054955,-4.468910681417369,1.2218077587192397,0.04935562177240488,213.30725043889584,0.9458641949737148,0.887161056540231,13.700000000000001,13.700000000000001,-0.3344693730831222,-46.9869748631001,437.0291446877975,484.0161195508976,0.34701168639372587,90.2528636672073,3.78322715487894,77.75721629004396,-0.20099716795548345,8.712420222284388,88.96788023339744,0.09180573790578715,6.129394669901899,82.55411760410588,222.52693256582086,302.52693256582086,-286.7557250941305,32.40538667017353
E75,6.944410852713178,50.53949993727276,304000.0,1.1831938200144705,16.629035544783942,-4.339844660504509,0.851843758859991,0.033823322960632736,237.48451566050483,0.9624615092029731,0.9159933457415765,2.74,8.220000000000002,-0.3414935820154901,-48.325529318656834,438.2227622025288,486.54829152118566,0.340149765975554,95.83072029613629,4.931846805372306,82.07949440078622,-0.24354922057332606,8.81937908997778,91.46829068232034,0.09436757818987804,6.275001156773584,84.925342788719,222.52693256582086,302.52693256582086,-268.6888921679779,33.69412029295785
E76,4.526673611111114,32.965341158298585,304000.0,1.1831938200144705,11.016955959768975,-4.03974237621961,0.4891977884969068,0.019006490077887524,273.97145157347984,0.9809357629992205,0.9523367497895576,2.74,8.220000000000002,-0.3489423716690316,-49.78662699624323,439.1461513718814,488.9327783681246,0.3335320244895912,104.3498674911519,7.248420937497123,88.22978179319134,-0.2818119568225665,8.87166476046345,93.27588959662607,0.09722292771501631,6.2886727109158755,86.76680158464666,222.52693256582086,302.52693256582086,-232.5905674427766,37.08727797962547
E77,13.84748387096774,100.66318456033584,256000.0,0.6362873866412013,13.72633386274066,-1.8218942394532194,2.1311469822807463,0.10420413804328764,78.35547306157162,0.8900615088807594,0.8083158926571976,24.66,19.180000000000003,-0.34373362638736193,-20.185782229590927,355.8620727889015,376.04785501849244,0.31582809898560343,31.478817650867914,0.8095505275351247,27.26387768828092,-0.052535936597775744,3.405389435051869,37.83042669687946,0.039496925177641196,2.6633250355085636,34.950027070567124,222.52693256582086,302.52693256582086,-180.2357882501555,13.939416869046795
E78,10.009137614678897,72.5623155236233,256000.0,0.6362873866412013,10.358113138028726,-1.8694598012000636,1.3605344983124368,0.06529858268654404,92.61882656517918,0.9237127179463215,0.8560126207412981,13.700000000000001,13.700000000000001,-0.34367385585097526,-21.139475897878924,359.6702823155843,380.8097582134632,0.31833200961479174,36.18176110623223,1.0610138279518098,31.367522297573075,-0.09905006898337829,3.7532249807073406,40.270550627453105,0.04149775204906877,2.9358062244407677,37.13962276050283,222.52693256582086,302.52693256582086,-206.1635857430764,14.064300242334014
E79,8.033490566037736,58.46653868847127,256000.0,0.6362873866412013,8.682477627642909,-1.8411521922524967,1.0282836468490706,0.0489321863407279,102.7209261132736,0.941850434465224,0.8841571352947741,8.220000000000002,8.220000000000002,-0.34080728798108,-21.730188020774676,360.46492527100247,382.19511329177715,0.32270075843876184,39.970566676781964,1.266570179554869,34.841428150961704,-0.10801474057269678,3.8625683462653915,41.359204198759564,0.04256534766648616,2.927022991933171,38.26995453257613,222.52693256582086,302.52693256582086,-210.89995455568936,13.796730378875452
E80,6.605050847457628,48.08802655344098,256000.0,0.6362873866412013,7.093071788756873,-1.774695997019698,0.7765386360184253,0.03670265614277011,111.12185157698832,0.9552395511279432,0.9063483613871994,2.74,8.220000000000002,-0.3494044046228847,-22.15846110046118,359.9863070089786,382.1447681094398,0.31032778417156826,40.70427018502811,1.4724718245348896,35.41810908459373,-0.12010288932660676,3.8136892758994816,42.23737038883012,0.043475071451198256,2.9707964932004813,39.09346547460488,222.52693256582086,302.52693256582086,-212.4892795340645,13.027562652168115
E81,4.527140495867768,32.847541238615094,256000.0,0.6362873866412013,4.935871698977519,-1.7204656731266557,0.4706672570528347,0.021885273107043815,127.57866637418647,0.9748191594317772,0.9421022077137514,2.74,2.74,-0.35505507255611446,-22.759379289617243,361.94598333694483,384.7053626265621,0.30205306548488964,43.913731859220206,1.9478998378396954,37.96879409151309,-0.15155256077613555,3.9970379298674246,43.19173689377456,0.044798242911510806,3.1075695019236775,39.93101628009689,222.52693256582086,302.52693256582086,-199.4541347396475,13.354027423730315
