variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,active_flow_fraction,flange_scale,flange_cool_gain,flange_cool_tau_s,k_core_axial_scale
fitted_energy_accounting,E75,2.74,662.5198403841505,746.4488657758325,296.71049999999997,744.1155253853602,8.27386184928111,230.28361082191938,0.0,0.9948117826540169,64.38686147688475,64.63860822760387,1.9073304875662256,-0.22996552957320868,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,8.220000000000002,673.2527389979557,742.6995536761937,744.1155253853602,742.7239540797541,5.123060713796743,186.28104962382804,0.0,0.9827677322912377,-0.20988238728852845,0.0,1.8368257567520379,-0.19028427221837202,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,13.700000000000001,681.6752212041324,741.5003436300302,742.7239540797541,741.5402303568842,4.323218483226013,156.99602671335177,0.0,0.967402430354342,-0.17848357809878101,0.0,1.7689272428989822,-0.16392083544695998,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,19.180000000000003,688.0767665873283,740.4737482749503,741.5402303568842,740.5238010637958,3.8662694118011216,140.2480959114601,0.0,0.9530673888541021,-0.1532217587042087,0.0,1.7035386068427227,-0.14356772982408422,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,24.66,692.7240787754034,739.578314720473,740.5238010637958,739.6327787121231,3.61,130.82754464876183,0.0,0.9423957923509866,-0.1342892764583554,0.0,1.6405670706092375,-0.12838060648949073,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,30.14,695.8598533259423,738.780118627938,739.6327787121231,738.8293275711073,3.6100000000000003,130.7175580951629,0.0,0.9422877368343118,-0.12106878902201923,0.0,1.579923285774901,-0.11760152692746838,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,35.620000000000005,697.7029110291041,738.036758216881,738.8293275711073,738.0825778145769,3.6100000000000003,130.61680730698197,0.0,0.9421885322066215,-0.11250570333685225,0.0,1.5215212066927608,-0.11051474129450867,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,41.1,698.4493153782862,737.324239045826,738.0825778145769,737.3681508686552,3.61,130.5217264770677,0.0,0.9420947146067304,-0.1076187972286443,0.0,1.4652779684048638,-0.10651729084905892,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,46.580000000000005,698.2739115675857,736.623805990181,737.3681508686552,736.6669753578655,3.6100000000000003,130.42950932838096,0.0,0.9420035403844539,-0.10560634177643426,0.0,1.4111137690677253,-0.10507871071791113,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,52.06,697.3321406932719,735.9203785932224,736.6669753578655,735.9637462937311,3.61,130.3379315460152,0.0,0.9419128201962319,-0.1058993997677859,0.0,1.3589517567238358,-0.10573177184586442,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,57.54,695.7619737032251,735.2014414543103,735.9637462937311,735.2457917744831,3.6100000000000003,130.24517895970087,0.0,0.9418207547960291,-0.10810012734799239,0.0,1.308717920258741,-0.10806414163797347,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,63.02,693.6858623511973,734.4566998417847,735.2457917744831,734.5026835085431,3.61,130.14975175697595,0.0,0.9417258435260094,-0.11186958258741474,0.0,1.2603409843889273,-0.11171209472420944,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,68.50000000000001,691.2126389985638,733.6782857810229,734.5026835085431,733.7264084524368,3.61,130.05045291599924,0.0,0.9416268752235423,-0.11684319129960188,0.0,1.2137523085313775,-0.11635587218393792,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,73.98000000000002,688.4393225711758,732.8610263714861,733.7264084524368,732.9116313544699,3.6100000000000003,129.94641729676647,0.0,0.9415229595136843,-0.12261709400323763,0.0,1.1688857894116136,-0.12171546841285022,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,79.46000000000002,685.4528090018283,732.0023770316238,732.9116313544699,732.0556470211337,3.6100000000000003,129.83712487255195,0.0,0.9414135427553751,-0.12879489451086754,0.0,1.1256777672716507,-0.12754581640163976,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,84.94000000000001,682.3314416455894,731.1019274628912,732.0556470211337,731.1579123495582,3.6100000000000003,129.72236585990444,0.0,0.9412983762542719,-0.13505090691085203,0.0,1.0840669355451158,-0.13363113113940708,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,90.42000000000002,679.1464692894463,730.160670430149,731.1579123495582,730.2193307515859,3.609999999999999,129.60216287183056,0.0,0.9411774412054756,-0.14116735753511023,0.0,1.043994253871211,-0.1397789111255256,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,95.90000000000002,675.9634059542951,729.1803332573664,730.2193307515859,729.2415812654913,3.61,129.47668086163807,0.0,0.941050860598202,-0.14702757109928377,0.0,1.0054028643241106,-0.14581438081041542,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,101.38000000000001,672.8433087265532,728.1630016549169,729.2415812654913,728.2267253979076,3.61,129.34615893862605,0.0,0.9409188321697274,-0.1525741148310875,0.0,0.968238010738901,-0.1515759586237165,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,106.86000000000001,669.8439894671263,727.1111023818486,728.2267253979076,727.1771677889822,3.61,129.2108837018616,0.0,0.9407816025820959,-0.15775555487015874,0.0,0.9324469610198233,-0.15691188938633896,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,112.34,667.0211755898902,726.0276582966106,727.1771677889822,726.0958937744148,3.61,129.07120353103883,0.0,0.940639482964672,-0.16248484860711024,0.0,0.8979789323201398,-0.16167776261641412,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,117.82000000000002,664.4296355919013,724.9166503665468,726.0958937744148,724.9868237330676,3.61,128.92756808867537,0.0,0.9404928905664859,-0.1666218572695717,0.0,0.8647850189879879,-0.16573442048252884,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,123.30000000000003,662.1242870840196,723.783326644589,724.9868237330676,723.8551243976848,3.6099999999999994,128.78057214100087,0.0,0.9403423956874638,-0.16997989376586153,0.0,0.8328181231755634,-0.16894576839596032,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
fitted_energy_accounting,E75,128.78,660.161308416572,722.6343608229508,723.8551243976848,722.7073762101317,3.61,128.6309868462381,0.0,0.9401887566994641,-0.17234741299864645,0.0,0.8020328880134145,-0.17117616359347815,1.0,0.10138839656865689,6.319469517058668,116.79728159893118,0.0
