quantity,value,sd,ci_lo,ci_hi,n,rho_mfc
Nu_a,0.0003176060519611794,1.7049951570383815e-5,0.0003014085979693148,0.00033380350595304403,2,1.0
Nu_b,1.4432517416153046,0.000717549703928233,1.4425700693965728,1.4439334138340363,2,1.0
Nu_b_grouped,1.471253141902252,0.0009474208939196371,1.4703530920530283,1.4721531917514756,2,1.0
NTU_corr_b,0.3397883733956172,0.00043719908424652565,0.339373034265583,0.3402037125256514,2,1.0
eps_star_456,0.6636889205724379,0.0011697348009936381,0.6625776725114939,0.6648001686333818,2,1.0
eps_star_304,0.6527281682349728,0.000711282275542402,0.6520524500732076,0.6534038863967381,2,1.0
eps_star_256,0.6395739466239518,0.0021562812193567926,0.6375254794655629,0.6416224137823409,2,1.0
Lam107_slope,0.0008579506432372272,3.0870829076210145e-5,0.0008286233556148275,0.0008872779308596268,2,1.0
Lam107_int,0.03791053697834949,0.0027484752354713475,0.035299485504651715,0.04052158845204728,2,1.0
C_cool,316.0314317094659,47.7587271474531,270.66064091938546,361.4022224995463,2,1.0
K_cool,0.10861591278357927,0.031513605805756496,0.07867798726811058,0.13855383829904794,2,1.0
C_deep,267.5920605984258,29.794031211901697,239.2877309471192,295.89639024973246,2,1.0
K_deep,0.10564113397587152,0.023196476541258802,0.08360448126167566,0.1276777866900674,2,1.0
C_all,257.0174942507856,23.564694136074678,234.63103482151462,279.40395368005653,2,1.0
K_all,0.0916868350101141,0.017164579316951575,0.0753804846590101,0.1079931853612181,2,1.0
C_match,292.94791734705734,45.01094009886887,250.18752425313193,335.7083104409828,2,1.0
K_match,0.09288651935903414,0.029487265910049028,0.06487361674448756,0.12089942197358072,2,1.0
Nu_a,0.00031721338365365583,1.8333889609726937e-5,0.0002997961885244152,0.0003346305787828964,2,0.0
Nu_b,1.4426542232325368,6.850893287757565e-5,1.442589139746303,1.4427193067187705,2,0.0
Nu_b_grouped,1.471387494131121,0.00043433000853909665,1.470974880623009,1.471800107639233,2,0.0
NTU_corr_b,0.33942491057397217,4.319798679558451e-5,0.33938387248651636,0.339465948661428,2,0.0
eps_star_456,0.6636889205724379,0.0011697348009936381,0.6625776725114939,0.6648001686333818,2,0.0
eps_star_304,0.6527281682349728,0.000711282275542402,0.6520524500732076,0.6534038863967381,2,0.0
eps_star_256,0.6395739466239518,0.0021562812193567926,0.6375254794655629,0.6416224137823409,2,0.0
Lam107_slope,0.0008510819247015693,3.314369129191994e-5,0.0008195954179742454,0.0008825684314288933,2,0.0
Lam107_int,0.03789960677353792,0.002721873191066527,0.03531382724202471,0.040485386305051115,2,0.0
C_cool,318.77366452978026,47.118353697046444,274.0112285175862,363.5361005419744,2,0.0
K_cool,0.10978932220633184,0.031551340112562214,0.07981554909939774,0.13976309531326594,2,0.0
C_deep,269.83873406999874,31.179065716110827,240.21862163969342,299.458846500304,2,0.0
K_deep,0.10650287974386059,0.02393543359543447,0.08376421782819785,0.12924154165952334,2,0.0
C_all,259.2034802503993,24.792825901786628,235.65029564370198,282.7566648570966,2,0.0
K_all,0.09249654183951475,0.017717400198058703,0.07566501165135898,0.10932807202767053,2,0.0
C_match,295.3063845587917,44.375957940845865,253.14922451498813,337.4635446025953,2,0.0
K_match,0.0937903869295145,0.029522636595720082,0.06574388216358042,0.12183689169544859,2,0.0
