simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment
E67,15.2805125,456000.0,1459.2043886404144,931.6279999999999,1414.2307101288395,991.103,1165.781607127275,878.055,1420.0858774161413,966.6659999999999,1161.1152823068637,824.995,986.4645418909703,763.414,502.0274301210977,326.43699999999995,-5.855167287301811,24.437000000000012,4.666324820411319,53.059999999999945
E68,12.499871559633025,456000.0,1486.1100624298535,1012.649,1433.5745719160043,1047.717,1176.1235689334271,898.751,1439.3259670864359,1020.928,1171.2172430100923,850.0989999999999,989.0340762659332,773.207,527.418349960118,338.52,-5.751395170431579,26.7890000000001,4.906325923334862,48.652000000000044
E69,10.499733944954128,456000.0,1498.7649524649837,1058.429,1430.121073322888,1070.73,1158.9895071165424,896.755,1435.663966340174,1044.378,1154.0423932970862,852.837,969.209560328422,769.76,526.8267984906499,344.308,-5.542893017286133,26.35200000000009,4.947113819456263,43.918000000000006
E70,9.107139705882352,456000.0,1509.8232293024457,1152.474,1433.860452489334,1120.277,1156.185167001937,912.173,1439.269513162591,1093.725,1151.1267649793342,871.483,963.7853527177898,779.518,537.4946336007332,352.421,-5.409060673257045,26.552000000000135,5.058402022602877,40.690000000000055
E71,7.126846153846151,456000.0,1520.8241618044503,1203.298,1427.198687439385,1120.348,1136.0763002545616,882.823,1432.325295866982,1095.306,1130.9586505376549,847.476,942.5229363954654,753.56,539.6015581484057,356.00399999999996,-5.126608427597148,25.041999999999916,5.117649716906726,35.34699999999998
E72,18.707575757575754,304000.0,1229.473649801165,737.656,1147.2713620165252,797.899,925.2647064901626,733.977,1149.59253555736,771.112,923.0949682497738,684.1869999999999,796.2795855802335,652.9549999999999,430.6957560474228,309.928,-2.3211735408347067,26.787000000000035,2.1697382403887104,49.79000000000008
E73,13.170870967741934,304000.0,1282.7143031580792,837.694,1182.9238679917432,894.482,941.6808722480375,791.76,1185.1870690489789,867.5509999999999,939.3188006208683,747.4,799.67362512882,694.626,459.58388736611255,325.12,-2.2632010572356194,26.93100000000004,2.3620716271692572,44.360000000000014
E74,9.023245901639344,304000.0,1315.5897844549731,948.538,1188.9390766716674,962.509,929.6090983589386,804.0,1190.9892988958409,935.491,927.1105433684046,767.8009999999999,782.4105530584194,697.672,474.4135415799764,333.964,-2.050222224173467,27.01800000000003,2.4985549905339894,36.19900000000007
E75,6.944410852713178,304000.0,1327.9241979215356,1008.725,1183.1774880362307,979.689,914.7580484954397,788.678,1185.0708913833453,954.178,912.2185186976001,757.393,767.4467673098952,681.066,476.36987099992695,336.517,-1.8934033471145995,25.510999999999967,2.5395297978395774,31.284999999999968
E76,4.526673611111114,304000.0,1340.3302378877117,1067.693,1173.2634239454776,970.472,895.4854013126129,751.1579999999999,1174.9340779671031,947.353,892.8962560724354,726.308,749.583741600318,647.019,479.39133779127724,338.123,-1.6706540216255235,23.119000000000028,2.5891452401774586,24.84999999999991
E77,13.84748387096774,256000.0,880.2829827724107,565.544,768.051645636667,623.3499999999999,625.8087404175243,574.299,768.5193827184795,602.429,625.2834070388235,543.727,561.5023586899316,525.356,363.54367268015415,308.37,-0.4677370818125155,20.920999999999935,0.5253333787007932,30.572000000000003
E78,10.009137614678897,256000.0,935.6969985590864,631.689,811.0050141243768,685.819,652.6839411035648,612.092,811.5160213874259,663.635,652.0876166749175,583.704,577.7693585069072,554.4549999999999,391.15041433013977,312.95899999999995,-0.5110072630491231,22.18399999999997,0.5963244286473355,28.388000000000034
E79,8.033490566037736,256000.0,950.0413728252346,676.213,814.0152406614635,716.108,650.8300793018702,622.325,814.5319552275372,694.063,650.2330420673613,595.766,574.3065459821999,560.0329999999999,390.2684615902818,314.96,-0.5167145660736878,22.04499999999996,0.597037234508889,26.559000000000083
E80,6.605050847457628,256000.0,962.3384788038005,710.3340000000001,818.4194215945957,735.351,651.3536526324492,626.4849999999999,818.9314399508736,713.233,650.7434255622599,601.77,573.3282763659089,561.2539999999999,393.70303936954315,316.11899999999997,-0.5120183562778493,22.118000000000052,0.6102270701893531,24.714999999999918
E81,4.527140495867768,256000.0,977.2754857971125,760.0609999999999,820.6753917094499,749.902,648.9253145514243,618.9749999999999,821.1740924303429,728.5039999999999,648.3021641291127,597.766,569.8731093256607,550.499,396.0532221309204,319.315,-0.4987007208929981,21.39800000000014,0.6231504223115962,21.208999999999946
