simulation_id,z_mm,Tperim_K,Tcore_K,Trear_K,Tgas_in_K,Tgas_out_K,h_W_m2K,Qgas_W,Qcore_source_W,Qperim_source_W
E67,2.74,891.5765685415247,871.5723182754821,695.6797385886732,400.7035213795275,871.5722699706681,1537.0915757584921,147.87893467627362,142.47954806881853,45.027766566317965
E67,8.220000000000002,892.7406266755243,923.944412538292,695.6797382470628,871.5722699706681,918.5836557755383,220.48935748927545,14.952946635696133,21.639833546916698,0.0
E67,13.700000000000001,892.3658245249767,927.7014646149779,695.6797371893153,918.5836557755383,924.8190666692954,111.53927341976757,1.9857310223269409,7.48297336306594,0.0
E67,19.180000000000003,890.1503199069101,918.0420481297745,695.6797349552809,924.8190666692954,921.0218855414148,79.57641151847864,-1.2091517912690897,2.587584152667045,0.0
E67,24.66,886.6334842392369,908.3535760781439,695.6797308997673,921.0218855414148,914.7847870042566,65.63541796994548,-1.9854591412720937,0.894776905151284,0.0
E67,30.140000000000004,882.2596620583033,900.233111164766,695.6797240299305,914.7847870042566,908.2086932175804,58.197316371384105,-2.092647163136242,0.30941050136162646,0.0
E67,35.620000000000005,877.2952461781433,893.1553754683231,695.6797127879589,908.2086932175804,901.7965338941581,53.702499039836766,-2.039808032963807,0.10699299210976677,0.0
E67,41.1,871.8867502427348,886.5841671049922,695.6796947293375,901.7965338941581,895.5868144565613,50.73844668013829,-1.9747900624120795,0.03699777580341805,0.0
E67,46.580000000000005,866.1106860642418,880.193972559598,695.6796660294189,895.5868144565613,889.5009313917761,48.64902139713051,-1.9348196808355909,0.012793692254121334,0.0
E67,52.06,860.0029144032202,873.796618012169,695.6796207228728,889.5009313917761,883.44440223712,47.09424593737364,-1.9249073320367502,0.004424010847647833,0.0
E67,57.540000000000006,853.5749980686325,867.2717320404765,695.6795495354633,883.44440223712,877.3310824888838,45.88296164612098,-1.9423664974996118,0.0015298063757787264,0.0
E67,63.02,846.8238379673145,860.5273214335157,695.6794381008403,877.3310824888838,871.084495823136,44.9004559574199,-1.9840926583618523,0.0005290013130545402,0.0
E67,68.5,839.7381938757329,853.4787712799521,695.6792642611241,871.084495823136,864.6331920054524,44.073979858576834,-2.0484584332470974,0.00018292667205742203,0.0
E67,73.98,832.304134570199,846.036588686264,695.6789940250501,864.6331920054524,857.9050545779953,43.35500568597273,-2.1356430556512573,6.325535783037585e-5,0.0
E67,79.46000000000001,824.5107655323985,838.0981010399089,695.6785756054256,857.9050545779953,850.8218301418646,42.70949611441899,-2.2475574487602175,2.187346574037532e-5,0.0
E67,84.94,816.3573413719089,829.5417063703695,695.6779308052995,850.8218301418646,843.294369618545,42.112276572409655,-2.38761331197136,7.563762500219652e-6,0.0
E67,90.42000000000002,807.8628202333146,820.2250462694948,695.6769429490214,843.294369618545,835.2195155658497,41.54367163659402,-2.5601957381883547,2.6155207336040416e-6,0.0
E67,95.90000000000002,799.0788476369073,809.9918461429313,695.6754407479816,835.2195155658497,826.4809159454829,40.98755803330828,-2.76941377272311,9.044372701699595e-7,0.0
E67,101.38000000000001,790.106798421788,798.6966961836821,695.6731783292232,826.4809159454829,816.9582870144019,40.43054256878316,-3.0164223077851133,3.1275101939082194e-7,0.0
E67,106.86000000000001,781.1184620869844,786.2611701983709,695.6698137655793,816.9582870144019,806.5521891444369,39.862324756465405,-3.294519676359782,1.0814813072842164e-7,0.0
E67,112.34,772.3777921829875,772.7716705447777,695.6648925354859,806.5521891444369,795.2315803309162,39.27742968130532,-3.581973521313433,3.739721840981822e-8,0.0
E67,117.82000000000001,764.2578809903058,758.605492190365,695.6578482992802,795.2315803309162,783.103392545437,38.678137620982966,-3.835128967885051,1.2931818010832206e-8,0.0
E67,123.30000000000001,757.244607014205,744.5187618384322,695.6480381086993,783.103392545437,770.4818483539832,38.07733173300341,-3.9885972027158876,4.471774216805899e-9,0.0
E67,128.78,751.9204211429848,731.6027439596133,695.6348241319976,770.4818483539832,757.9154930618391,37.499029845987984,-3.9686940700479028,1.5463227698796926e-9,0.0
E67,134.26000000000002,748.9314758220612,721.3904079458999,695.6176849883897,757.9154930618391,746.2383757761551,36.98099626918898,-3.6858146548931896,5.347126202530663e-10,0.0
