phase,mean_sensor_rmse_K,steady_mae_K,t90_mae_s,axial_rmse_K,mid_radial_rmse_K,deep_radial_rmse_K,dp1_rmse_mbar,mean_core_to_side_flow_ratio,mean_core_to_corner_flow_ratio
heating_training,83.10082035441313,81.40079272203577,630.015873015873,46.381964365489445,28.850883509436795,46.564121840656625,0.41347487832230023,2.8252580804503946,2.808137458969428
heating_validation,81.57082338276474,77.80459095474171,716.6666666666666,44.2767649900413,29.70403877516656,46.72512187786796,0.28012705284121736,2.7657894293161296,2.7491361163958126
cooling_validation,32.73064505335325,36.870345159401765,607.1428571428571,12.629297414168812,5.469852109425951,11.502793657311155,0.06372090200165681,3.3432254137700057,3.367542392265738
