phase,simulation_id,flow_lpm,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,core_to_side_flow_ratio,core_to_corner_flow_ratio,dp1_model_mbar,dp1_observed_mbar,equal_pressure_error,adaptor_T_K,rear_housing_T_K
heating_training,E67,15.2805125,782.217684909982,931.6279999999999,783.3295442775416,991.103,731.9409085719825,878.055,787.3882829099134,966.6659999999999,743.8201685372114,824.995,711.3895751853255,763.414,347.36280241952267,326.43699999999995,1.111859367559532,59.47500000000002,-4.058738632371842,24.437000000000012,-11.879259965228925,53.059999999999945,3.460362128407655,3.4363950419956346,2.15634313927329,2.712,7.5555819265836455e-6,429.8132380567269,303.7324642060352
heating_validation,E68,12.499871559633025,870.1050686753355,1012.649,868.0969111796801,1047.717,803.2678296257887,898.751,873.5567745525761,1020.928,815.8666479200382,850.0989999999999,777.5697661624066,773.207,363.0604069428023,338.52,-2.0081574956553823,35.0680000000001,-5.459863372896052,26.7890000000001,-12.59881829424944,48.652000000000044,3.008129689946061,2.986360578571442,1.9276202550149577,2.004,5.964659683091015e-6,492.14195822228646,309.75964030965525
heating_training,E69,10.499733944954128,951.6197195283581,1058.429,940.6046677585983,1070.73,858.4845295860221,896.755,947.2598922184179,1044.378,872.1922099994746,852.837,826.4534672985161,769.76,373.97803485564964,344.308,-11.015051769759793,12.30099999999993,-6.655224459819578,26.35200000000009,-13.707680413452522,43.918000000000006,2.676968068014961,2.655496261744326,1.7089383078788325,1.542,4.841309304294061e-6,513.4010395185395,312.12037971719036
heating_validation,E70,9.107198347107436,1024.351036402979,1152.474,1003.0087629161097,1120.277,909.8566433821165,912.173,1010.4817834556463,1093.725,923.8169304150048,871.483,874.841277361601,779.518,385.54490778315494,352.421,-21.342273486869203,-32.19699999999989,-7.473020539536606,26.552000000000135,-13.960287032888232,40.690000000000055,2.4478705802438703,2.4280098657686806,1.540691344450373,1.314,9.101510674539665e-6,569.944103084082,316.14361857991753
heating_training,E71,7.1270991735537175,1146.1791782317987,1203.298,1098.2797844908823,1120.348,979.2645035157052,882.823,1106.8703439356768,1095.306,994.1734546666131,847.476,936.3756800928165,753.56,402.9843514543535,356.00399999999996,-47.899393740916366,-82.95000000000005,-8.590559444794508,25.041999999999916,-14.90895115090791,35.34699999999998,2.1231974987129085,2.1041136589896965,1.227309292848164,0.825,6.854759177432391e-6,608.9871501098942,321.3927683453303
heating_training,E72,18.707575757575754,570.8590783796209,737.656,567.7873101360041,797.899,542.2934645246669,733.977,569.5492674668781,771.112,548.7498527587857,684.1869999999999,533.3330679038058,652.9549999999999,320.1657561251143,309.928,-3.071768243616816,60.24300000000005,-1.7619573308739973,26.787000000000035,-6.456388234118776,49.79000000000008,4.258955776289379,4.239890337997119,1.530849844629333,2.485,4.723605237703587e-6,359.56389333059735,298.75273972865307
heating_validation,E73,13.170870967741934,658.6183150833268,837.694,655.2481565829844,894.482,616.4618211499144,791.76,658.2907413338827,867.5509999999999,623.8180167454093,747.4,601.9366807740429,694.626,333.8135227509606,325.12,-3.370158500342427,56.78800000000001,-3.0425847508982997,26.93100000000004,-7.35619559549491,44.360000000000014,3.3972479709318946,3.379715597460887,1.2009514016745257,1.827,7.3179777792976085e-6,406.45218279538364,303.01165764918903
heating_training,E74,9.023314049586775,786.0534360734563,948.538,770.1505381832751,962.509,708.6017642243663,804.0,774.6839303162759,935.491,717.2120229861499,767.8009999999999,686.2279746601579,697.672,349.44937972446473,333.964,-15.90289789018118,13.971000000000004,-4.5333921330008025,27.01800000000003,-8.610258761783598,36.19900000000007,2.6470668960521837,2.6307504384230858,0.8603105167057847,1.071,4.73792017719476e-6,465.04264151889447,306.7772484551634
heating_validation,E75,6.944495867768595,885.274250005627,1008.725,850.6328468398194,979.689,768.2758791929897,788.678,856.0630111232522,954.178,777.8833927460346,757.393,739.3377898207102,681.066,360.7770008563717,336.517,-34.64140316580756,-29.036000000000058,-5.4301642834327595,25.510999999999967,-9.607513553044896,31.284999999999968,2.2590323675925634,2.2429950734477098,0.637989593570631,0.651,7.768107503997853e-6,493.46534991548816,309.40662565884935
heating_training,E76,4.526611570247936,1040.5579412408767,1067.693,964.0748486582991,970.472,848.6378799426933,751.1579999999999,970.5110431790256,947.353,859.378065674111,726.308,810.1406132917979,647.019,378.0734838424654,338.123,-76.48309258257768,-97.221,-6.436194520726531,23.119000000000028,-10.740185731417682,24.84999999999991,1.8126548342504725,1.7974678725743958,0.3048533318860731,0.174,4.9653367625340965e-6,539.979149682282,313.3320320893962
heating_training,E77,13.84748387096774,514.1314159628959,565.544,509.4733464001929,623.3499999999999,486.15823869566674,574.299,511.2840258635506,602.429,490.6154713129782,543.727,477.99049981202876,525.356,314.42572884039606,308.37,-4.658069562702963,57.805999999999926,-1.810679463357701,20.920999999999935,-4.457232617311433,30.572000000000003,3.8029813135452013,3.7888097604333235,0.7285426175931782,0.978,8.747927309492825e-6,342.65230576528955,298.4138084340436
heating_validation,E78,10.009137614678897,582.3948323024165,631.689,573.3532033654873,685.819,540.9680937734369,612.092,575.6773315981504,663.635,545.6221493527863,583.704,529.6264910082328,554.4549999999999,324.9410708380304,312.95899999999995,-9.041628936929214,54.129999999999995,-2.3241282326631563,22.18399999999997,-4.6540555793494605,28.388000000000034,3.0867776721250944,3.074385155071645,0.4910549306710985,0.637,6.2172228102431416e-6,388.71107115221264,302.05661759668214
heating_training,E79,8.033490566037736,633.9281665381949,676.213,617.0401382559554,716.108,574.1758529297656,622.325,619.8481650709173,694.063,579.4196533199074,595.766,559.3733800419661,560.0329999999999,329.82126179388763,314.96,-16.888028282239475,39.89499999999998,-2.8080268149618632,22.04499999999996,-5.243800390141814,26.559000000000083,2.6917783031675544,2.6791938486037896,0.34136925645085925,0.403,4.8796554114439725e-6,398.35913028306345,302.75544054170234
heating_validation,E80,6.605050847457628,684.5357188133871,710.3340000000001,658.2784983489672,735.351,605.9160868678629,626.4849999999999,661.4561210192564,713.233,611.5748499546321,601.77,588.2483033810012,561.2539999999999,334.3973044779442,316.11899999999997,-26.257220464419902,25.01699999999994,-3.1776226702892245,22.118000000000052,-5.658763086769227,24.714999999999918,2.395678295057294,2.383350428054512,0.22392584261231807,0.238,8.713605511770682e-6,416.4642694088313,303.29021265764493
heating_training,E81,4.527140495867768,784.9852821994987,760.0609999999999,733.2835648150151,749.902,659.3146853143185,618.9749999999999,737.189383607133,728.5039999999999,665.9232588987061,597.766,635.1807768507076,550.499,344.706846703294,319.315,-51.70171738448357,-10.158999999999878,-3.905818792117884,21.39800000000014,-6.608573584387614,21.208999999999946,1.9533579056132346,1.9411199099634868,0.02427638303262114,-0.023,5.709994708603882e-6,436.6355554539556,306.2927054950844
cooling_validation,C69,10.49813725490196,323.75182813238195,312.268,352.28229048644835,327.582,408.3932779152164,345.55899999999997,348.98310930894354,333.303,398.5506657720655,354.515,431.18782946980974,360.51599999999996,324.11939358956647,323.99,28.5304623540664,15.314000000000021,3.2991811775048063,-5.721000000000004,9.842612143150916,-8.956000000000017,4.173637149755146,4.2211699336793425,0.03234066622711884,-0.058,4.955330409756923e-6,755.5724400595141,310.20398788161435
cooling_validation,C80,6.607946666666666,323.33176506050296,305.84999999999997,341.0380831786248,313.269,369.26181345910294,320.183,339.7535977476212,314.292,365.66821112183004,322.157,380.3885627252745,324.48199999999997,307.7360256349604,306.22999999999996,17.70631811812183,7.41900000000004,1.2844854310035885,-1.0229999999999677,3.5936023372728982,-1.9739999999999895,3.206852932478091,3.2225572682560184,-0.23993075856002072,-0.265,6.875108238873547e-6,534.2306532465594,301.95030950602586
cooling_validation,C81,4.529773109243697,328.98903159460735,298.193,345.7760538853545,300.909,370.0222548361345,304.457,344.91500114423366,301.79999999999995,367.44670132681574,305.42499999999995,379.6553817584868,306.32,303.05337019945534,298.727,16.78702229074713,2.716000000000008,0.8610527411208295,-0.8909999999999627,2.575553509318752,-0.9679999999999609,2.6491861590767796,2.658899974861853,-0.34676635667435374,-0.405,4.873724026057641e-6,501.94916312480103,297.8202070046906
