phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s
heating_training,E67,T8,173.93529253662123,-149.4103150900179,200.0
heating_training,E67,T12,216.66924566544768,-207.77345572245838,150.0
heating_training,E67,T11,125.9040672335993,-146.11409142801745,-350.0
heating_training,E67,T9,174.55887127691176,-179.27771709008653,-150.0
heating_training,E67,T10,66.2042435645409,-81.17483146278857,-950.0
heating_training,E67,T3,51.1083758446837,-52.02442481467449,-1000.0
heating_training,E67,T2,19.946808746137155,20.92580241952271,-550.0
heating_validation,E68,T8,154.89627351194264,-142.54393132466453,200.0
heating_validation,E68,T12,180.84435252250583,-179.62008882032,100.0
heating_validation,E68,T11,77.0673014723906,-95.48317037421123,-700.0
heating_validation,E68,T9,140.5709991763061,-147.37122544742385,-250.0
heating_validation,E68,T10,58.32479242766123,-34.23235207996174,-1300.0
heating_validation,E68,T3,68.10702053845235,4.362766162406615,-1250.0
heating_validation,E68,T2,26.206662306927292,24.540406942802292,-950.0
heating_training,E69,T8,120.5666977110556,-106.80928047164196,150.0
heating_training,E69,T12,137.35539161240806,-130.12533224140168,50.0
heating_training,E69,T11,38.04158467232299,-38.27047041397793,-650.0
heating_training,E69,T9,91.52648839516328,-97.11810778158201,-250.0
heating_training,E69,T10,59.00019584045056,19.355209999474596,-1200.0
heating_training,E69,T3,82.19609113845519,56.69346729851611,-1150.0
heating_training,E69,T2,26.081436998810933,29.670034855649646,-1350.0
heating_validation,E70,T8,142.6644722476302,-128.122963597021,200.0
heating_validation,E70,T12,117.96858717356287,-117.26823708389031,-50.0
heating_validation,E70,T11,37.193066763528115,-2.316356617883457,-900.0
heating_validation,E70,T9,78.83621308487112,-83.24321654435357,-300.0
heating_validation,E70,T10,103.12051108521828,52.33393041500483,-1450.0
heating_validation,E70,T3,131.19464768875284,95.32327736160096,-1300.0
heating_validation,E70,T2,35.50290428044746,33.12390778315495,-1300.0
heating_training,E71,T8,74.15614084800553,-57.118821768201315,200.0
heating_training,E71,T12,26.932823472843122,-22.068215509117636,-200.0
heating_training,E71,T11,113.29879792308121,96.44150351570522,-1000.0
heating_training,E71,T9,45.491053665199125,11.564343935676789,-500.0
heating_training,E71,T10,180.1673123833864,146.6974546666131,-1500.0
heating_training,E71,T3,202.29108587440834,182.8156800928166,-1250.0
heating_training,E71,T2,46.558825748999304,46.980351454353524,-1250.0
heating_training,E72,T8,157.444925452097,-166.79692162037907,50.0
heating_training,E72,T12,222.6144304560015,-230.11168986399593,200.0
heating_training,E72,T11,169.0879272113136,-191.6835354753331,-200.0
heating_training,E72,T9,183.0374322473655,-201.5627325331219,-200.0
heating_training,E72,T10,103.96885876165543,-135.43714724121423,-800.0
heating_training,E72,T3,86.2114283555581,-119.62193209619409,-750.0
heating_training,E72,T2,8.850454585696196,10.237756125114288,-350.0
heating_validation,E73,T8,179.1937775528772,-179.07568491667314,100.0
heating_validation,E73,T12,232.39211180475152,-239.23384341701558,100.0
heating_validation,E73,T11,150.67898295430274,-175.2981788500856,-500.0
heating_validation,E73,T9,192.76347627212076,-209.26025866611724,-300.0
heating_validation,E73,T10,94.39495074606423,-123.58198325459068,-1100.0
heating_validation,E73,T3,66.08479508449835,-92.68931922595709,-1150.0
heating_validation,E73,T2,9.56860241659556,8.693522750960597,-850.0
heating_training,E74,T8,169.27764379257198,-162.48456392654373,150.0
heating_training,E74,T12,187.65924421552194,-192.3584618167249,0.0
heating_training,E74,T11,76.74976291118112,-95.39823577563368,-700.0
heating_training,E74,T9,148.89015776369138,-160.80706968372408,-350.0
heating_training,E74,T10,49.47878424289644,-50.58897701385001,-1200.0
heating_training,E74,T3,46.793236902481716,-11.444025339842142,-1200.0
heating_training,E74,T2,18.31513981657537,15.485379724464735,-1050.0
heating_validation,E75,T8,130.24937275990885,-123.45074999437304,150.0
heating_validation,E75,T12,123.42378074224385,-129.05615316018054,-100.0
heating_validation,E75,T11,26.43447457998201,-20.402120807010306,-850.0
heating_validation,E75,T9,86.82141523213267,-98.11498887674782,-450.0
heating_validation,E75,T10,65.73896917998428,20.49039274603456,-1300.0
heating_validation,E75,T3,90.4162997533839,58.27178982071018,-1150.0
heating_validation,E75,T2,25.09741160317778,24.260000856371732,-1100.0
heating_training,E76,T8,42.11848704353688,-27.13505875912324,100.0
heating_training,E76,T12,20.509109209525732,-6.397151341700919,-250.0
heating_training,E76,T11,101.39995403474273,97.4798799426934,-700.0
heating_training,E76,T9,37.76729301740112,23.15804317902564,-450.0
heating_training,E76,T10,147.55414719503807,133.070065674111,-1100.0
heating_training,E76,T3,168.2555129108998,163.12161329179787,-950.0
heating_training,E76,T2,37.0332592132396,39.95048384246542,-1250.0
heating_training,E77,T8,44.07377656766685,-51.412584037104125,-300.0
heating_training,E77,T12,104.85079678268706,-113.87665359980701,-200.0
heating_training,E77,T11,73.3343096891446,-88.14076130433324,-450.0
heating_training,E77,T9,75.92262493665163,-91.14497413644938,-550.0
heating_training,E77,T10,36.36929242931753,-53.1115286870218,-950.0
heating_training,E77,T3,30.560524514082697,-47.365500187971236,-850.0
heating_training,E77,T2,6.535860412238147,6.055728840396057,-491.0
heating_validation,E78,T8,42.94957842444294,-49.294167697583475,-250.0
heating_validation,E78,T12,100.17848274258473,-112.46579663451269,-300.0
heating_validation,E78,T11,54.80490960571155,-71.12390622656312,-850.0
