phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,0.0,293.3685,296.62199999999996,293.3685,296.25,293.3685,296.35299999999995,293.3685,296.22499999999997,293.3685,296.43399999999997,293.3685000000001,296.686,293.3685,293.39799999999997
heating_training,E67,50.0,373.70190510876387,383.55999999999995,332.06372489322297,341.47999999999996,308.2471137386825,308.99899999999997,392.71213912721066,316.138,332.394804995139,300.25399999999996,304.67173712183273,299.786,293.36967329619426,293.414
heating_training,E67,100.0,450.73449493470105,540.75,388.2793460715343,473.256,343.3239655331264,376.486,498.83078456801013,420.83,407.1119899198529,346.76099999999997,335.4332270647255,327.39099999999996,293.37642381436086,293.438
heating_training,E67,150.0,516.8003602499734,664.299,447.2752047455014,589.1769999999999,387.7914867040489,445.365,582.1245059683529,529.854,482.3529748720487,403.433,376.07238985716447,354.489,293.3924722550616,293.471
heating_training,E67,200.0,571.0854446405447,748.8409999999999,502.2371956699099,676.7909999999999,433.98518624420655,499.078,641.1306597344895,618.247,544.6583346099185,448.715,419.1682252338822,378.13699999999994,293.42919929554915,293.50899999999996
heating_training,E67,250.0,614.6880917959799,809.804,550.3896400273965,746.2349999999999,477.4851417196161,544.2439999999999,681.054650049238,691.87,591.7165928440253,487.053,460.2796629795104,398.99399999999997,293.5091092841285,293.53999999999996
heating_training,E67,300.0,649.3351625368464,854.7379999999999,591.1101128234054,803.725,516.1789977421978,584.703,707.6221298798284,752.739,625.560268940427,521.4689999999999,497.17048234756214,420.99299999999994,293.6623126316225,293.59299999999996
heating_training,E67,350.0,676.6813193934444,882.3009999999999,624.8507410516894,844.107,549.434039290661,616.0509999999999,725.4224845765614,795.891,649.4296289703925,548.444,529.0693546954835,442.34799999999996,293.9201975357334,293.645
heating_training,E67,400.0,698.1141589584959,903.242,652.4416522676163,877.372,577.4217075502968,644.2819999999999,737.5169159742395,831.799,666.2798280272804,572.938,556.0406361804814,461.29599999999994,294.30953365181745,293.70799999999997
heating_training,E67,450.0,714.8949234286162,918.233,674.8078085705575,900.886,600.65200127041,666.63,745.8998683519862,857.492,678.2780919860992,592.479,578.5103904045811,478.52299999999997,294.8486889612137,293.78099999999995
