evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm
1,15.921006987218178,2.4896438619569468,3.9732151701266867,5.305479065240842,3.694058789621766,1.0404456137100218,0.05,0.3,14.0
2,17.820735866713616,2.445919464572785,3.9478715604129837,6.222357815575938,4.085054986700156,1.0404456137100218,0.05,0.3,30.0
3,18.475780100735996,2.436279183384681,3.944075153100192,6.5408408710762735,4.181246074712342,1.0404456137100218,0.05,0.3,100.0
4,17.13279142304941,1.8197642924313273,3.055572314455768,6.361197516836026,4.140371488649932,0.8636979120286422,0.05,1.0,14.0
5,16.679077051804338,1.79096058804995,3.0585493062728677,6.079530189714402,4.598807788098019,0.8636979120286422,0.05,1.0,30.0
6,16.74242264938991,1.7856205822214635,3.0632442113797667,6.096249956316297,4.7115997836920025,0.8636979120286422,0.05,1.0,100.0
7,22.191507446181255,1.6635634355250724,2.9817303007324174,8.99928465143953,4.064606506082549,0.8309473314652697,0.05,3.0,14.0
8,19.834248975689313,1.6544964943439446,3.016797705212275,7.751330190983146,4.521930406942534,0.8309473314652697,0.05,3.0,30.0
9,19.43199466662535,1.6547072984772722,3.0305542127091147,7.531008136721482,4.635437217199155,0.8309473314652697,0.05,3.0,100.0
10,8.5173342884176,2.3275976861232355,3.6455278803553863,2.021458424779697,2.1691195969324846,0.8048510190972213,0.2,0.3,14.0
11,8.35634524018314,2.3133033215232714,3.627773679156234,1.9289588888159475,2.314555092441642,0.8048510190972213,0.2,0.3,30.0
12,8.321197477044455,2.309698722142312,3.62323643727216,1.9086505897396842,2.3493371156417213,0.8048510190972213,0.2,0.3,100.0
13,8.685570494290147,1.5595474114349797,2.620432989356376,2.6548529161349133,2.5051577722337863,0.5572800442165812,0.2,1.0,14.0
14,8.460802706912714,1.551214785124544,2.6148694502934897,2.5198155873771317,2.689519632791894,0.5572800442165812,0.2,1.0,30.0
15,8.408699634091684,1.54934105657924,2.6137145031791045,2.488298823516205,2.73335519139337,0.5572800442165812,0.2,1.0,100.0
16,9.690509379387809,1.3690448805891349,2.538258255044554,3.259483089805409,2.680160773954946,0.4739452209760129,0.2,3.0,14.0
17,9.42007141244542,1.3702129648909804,2.5495528987508047,3.091866486696649,2.88095664682631,0.4739452209760129,0.2,3.0,30.0
18,9.356094000177885,1.3708110952344923,2.552902523502109,3.051903625776728,2.9287742861709933,0.4739452209760129,0.2,3.0,100.0
19,6.932546742184668,2.276761570596075,3.5714522234825647,1.436111720992912,1.1286090903086756,0.7470866709307935,1.0,0.3,14.0
20,6.924790551073715,2.272759942314029,3.56527703794109,1.4315861259079234,1.152439700320387,0.7470866709307935,1.0,0.3,30.0
21,6.922928369361947,2.271752362296929,3.563648864183855,1.4305381589858261,1.1582056479093747,0.7470866709307935,1.0,0.3,100.0
22,5.991835024605326,1.491579860721442,2.531397733893261,1.559604432175969,1.2657158588995738,0.48382444338818886,1.0,1.0,14.0
23,5.990256964315753,1.488564950477702,2.526922591886382,1.5554022937894127,1.3029947566640558,0.48382444338818886,1.0,1.0,30.0
24,5.9894863257244095,1.487871108492215,2.5261012608610356,1.554188405035971,1.3116526906928216,0.48382444338818886,1.0,1.0,100.0
25,6.0226571477744635,1.3158591451810469,2.4800859293319686,1.6602645601922736,1.4743884155667475,0.39985315747851075,1.0,3.0,14.0
26,6.025071263051664,1.314975518498548,2.480201308853795,1.655314768855756,1.5182641181540308,0.39985315747851075,1.0,3.0,30.0
27,6.025561589433263,1.3148652028829053,2.480418099705899,1.6540446842475622,1.528516698014026,0.39985315747851075,1.0,3.0,100.0
