label,objective,heating_rmse_K,cooling_rmse_K,mid_sign_correct,deep_sign_correct,mid_gap_rmse_K,deep_gap_rmse_K
selected,6.025561589433263,107.31645685068877,30.823128186830335,0,0,29.421212868211647,45.952939677554795
nominal,5.991835024605326,114.57687182223816,33.41601523894173,0,0,28.5526047037318,44.63223882519426
moderate_isolation,8.321197477044455,136.89135828748113,42.02324379968098,7,0,19.868997841912883,55.1433947657332
strong_isolation,17.820735866713616,142.2895532996876,47.135540640517966,7,4,90.41410900726602,55.00484488169119
