% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 25 2021, 20:49
% Dimension:          1
% Nodes:              221
% Expressions:        5
% Description:        Line graph
% x                       Height                   Height                   Height                   Height                   Height
0                         317.8480008563922        317.73959108582665       317.64998675585383       317.5689257688031        317.495355913096
0.10811395217864467       317.6030774110876        317.31993018591334       317.08587673175487       316.87411249070243       316.6819077202613
0.21622790435728934       317.358153965783         316.900269286            316.52176670765584       316.1792992126018        315.8684595274266
0.324341856535934         317.11323052047834       316.48060838608666       315.9576566835569        315.4844859345011        315.0550113345919
0.43245580871457867       316.86830707517373       316.06094748617335       315.3935466594579        314.78967265640046       314.2415631417572
0.5428456496947788        316.72545372396934       315.81673274509285       315.0658508198219        314.38660828182213       313.77023835607497
0.653235490674979         316.582600372765         315.5725180040124        314.73815498018587       313.9835439072438        313.2989135703927
0.7636253316551792        316.4397470215606        315.3283032629319        314.41045914054985       313.5804795326655        312.82758878471043
0.8740151726353794        316.2968936703562        315.0840885218514        314.0827633009138        313.1774151580872        312.3562639990282
0.9844050136155796        317.17657828700095       316.5913428489797        316.10880177485757       315.67282384476846       315.2776993951681
1.09479485459578          318.0562629036457        318.098597176108         318.1348402488013        318.1682325314497        318.199134791308
1.2051846955759802        318.93594752029037       319.6058515032363        320.160878722745         320.6636412181309        321.1205701874478
1.3155745365561804        319.8156321369351        321.1131058303646        322.18691719668874       323.1590499048122        324.0420055835877
1.4282402663379359        321.70752284111165       324.3523152143979        326.5387238777014        328.5167923441453        330.31226085070625
1.5409059961196914        323.59941354528814       327.59152459843114       330.8905305587141        333.87453478347845       336.58251611782487
1.6535717259014473        325.4913042494647        330.8307339824644        335.24233723972674       339.23227722281155       342.8527713849435
1.7662374556832028        327.38319495364124       334.0699433664977        339.5941439207394        344.59001966214464       349.12302665206204
1.879948323748402         329.5087127741176        337.7067081975787        344.4776778891652        350.60006532824735       356.15448952312784
1.9936591918136015        331.634230594594         341.3434730286596        349.361211857591         356.61011099435007       363.18595239419363
2.107370059878801         333.75974841507036       344.98023785974055       354.2447458260168        362.62015666045284       370.21741526525943
2.221080927944            335.88526623554674       348.61700269082155       359.1282797944426        368.63020232655555       377.24887813632523
2.3347917960091995        337.60137233828857       351.5531378372674        363.0706584094384        373.4815276544114        382.9243033800704
2.4485026640743985        339.3174784410304        354.48927298371336       367.01303702443425       378.3328529822673        388.5997286238155
2.562213532139598         341.0335845437722        357.42540813015927       370.95541563943004       383.1841783101232        394.2751538675607
2.6759244002047975        342.749690646514         360.3615432766052        374.8977942544259        388.03550363797905       399.9505791113058
2.7901578374117184        345.3237250511142        364.74945627898956       380.77613790977773       395.2565838874293        408.3861819943595
2.9043912746186393        347.8977594557144        369.13736928137394       386.65448156512963       402.4776641368796        416.8217848774132
3.0186247118255602        350.47179386031456       373.52528228375826       392.5328252204815        409.69874438632985       425.25738776046694
3.132858149032481         353.04582826491475       377.91319528614264       398.41116887583337       416.9198246357801        433.69299064352066
3.2470915862394025        354.71225830563964       380.7531602037162        402.2151189795081        421.5920616640352        439.15053721253105
3.361325023446324         356.3786883463645        383.59312512128975       406.01906908318284       426.2642986922903        444.6080837815414
3.475558460653245         358.0451183870894        386.43309003886327       409.82301918685755       430.9365357205454        450.06563035055177
3.589791897860166         359.7115484278143        389.2730549564368        413.6269692905323        435.6087727488005        455.52317691956216
3.704025335067087         361.63538133883026       392.545297352945         418.0048409130747        440.9811623836265        461.7939466141872
3.8182587722740085        363.5592142498462        395.8175397494531        422.3827125356171        446.3535520184525        468.0647163088121
3.9324922094809294        365.48304716086216       399.0897821459613        426.7605841581595        451.7259416532785        474.3354860034371
4.04672564668785          367.4068800718781        402.36202454246944       431.13845578070186       457.0983312881045        480.60625569806206
4.160959083894771         369.75172703852          406.3365267690041        436.445661074531         463.6019900519236        488.18851160604254
4.275192521101692         372.09657400516187       410.3110289955387        441.7528663683602        470.1056488157427        495.7707675140231
4.389425958308613         374.4414209718037        414.28553122207336       447.06007166218933       476.6093075795618        503.3530234220036
4.503659395515534         376.78626793844563       418.260033448608         452.3672769560185        483.1129663433809        510.9352793299841
4.617892832722456         379.2798344400759        422.477583358741         457.9926306229827        490.00015462023117       518.9587545439442
4.732126269929378         381.7734009417061        426.69513326887403       463.61798428994695       496.88734289708134       526.9822297579043
4.846359707136298         384.26696744333634       430.91268317900705       469.2433379569112        503.7745311739316        535.0057049718644
4.960593144343219         386.7605339449666        435.13023308914006       474.8686916238754        510.66171945078185       543.0291801858244
5.07482658155014          388.912057810131         438.7591436292242        479.7017224322285        516.5720860620099        549.9081716484259
5.18906001875706          391.06358167529527       442.3880541693083        484.53475324058155       522.4824526732382        556.7871631110274
5.303293455963981         393.21510554045966       446.0169647093924        489.3677840489346        528.3928192844663        563.6661545736289
5.417526893170902         395.366629405624         449.64587524947655       494.2008148572877        534.3031858956945        570.5451460362303
5.531760330377823         397.0479041214796        452.47493708128025       497.9638562730735        538.9005818097467        575.8916697757963
5.645993767584745         398.7291788373352        455.30399891308394       501.7268976888592        543.4979777237988        581.2381935153625
5.760227204791666         400.4104535531908        458.13306074488764       505.4899391046449        548.095373637851         586.5847172549286
5.874460641998588         402.0917282690464        460.96212257669134       509.2529805204307        552.6927695519032        591.9312409944946
5.988694079205509         403.46612774474784       463.2710581356307        512.3215085845742        556.4391200885809        596.285574887881
6.1029275164124295        404.84052722044925       465.57999369457013       515.3900366487177        560.1854706252586        600.6399087812675
