equivalent_strength,exponent,irradiance_kW_m2,model_slope_K_per_lpm,model_correlation,observed_slope_K_per_lpm,observed_correlation
2.0,0.5,456.0,3.9244288663276348,0.9994289883813731,17.33862389158247,0.9606473585973468
2.0,0.5,304.0,3.698115743581348,0.9882638205674624,10.476819976890445,0.8895277435028278
2.0,0.5,256.0,3.751893056571979,0.9704284334503727,6.898088829268151,0.8889864490590046
2.0,0.8,456.0,6.370207531224002,0.9982888203572425,17.33862389158247,0.9606473585973468
2.0,0.8,304.0,5.495748761585826,0.9767898003064127,10.476819976890445,0.8895277435028278
2.0,0.8,256.0,5.499096892769678,0.9619029620384713,6.898088829268151,0.8889864490590046
2.0,1.0,456.0,8.00647864273869,0.9973030054121546,17.33862389158247,0.9606473585973468
2.0,1.0,304.0,6.637942033132432,0.9738252575314134,10.476819976890445,0.8895277435028278
2.0,1.0,256.0,6.58119323708508,0.9606420470217789,6.898088829268151,0.8889864490590046
2.0,1.25,456.0,10.057777969992287,0.9967769221006793,17.33862389158247,0.9606473585973468
2.0,1.25,304.0,8.005302231280707,0.9730206350348437,10.476819976890445,0.8895277435028278
2.0,1.25,256.0,7.8388927761484855,0.9615701663520942,6.898088829268151,0.8889864490590046
2.0,1.5,456.0,12.113013896269337,0.9967785527690523,17.33862389158247,0.9606473585973468
2.0,1.5,304.0,9.308692732122013,0.9739131589347572,10.476819976890445,0.8895277435028278
2.0,1.5,256.0,8.993653063563697,0.9640730215232364,6.898088829268151,0.8889864490590046
4.0,0.5,456.0,1.833210338361938,0.895586477285989,17.33862389158247,0.9606473585973468
4.0,0.5,304.0,1.1050656539363886,0.6689495201152341,10.476819976890445,0.8895277435028278
4.0,0.5,256.0,0.922418326328317,0.7510508874064439,6.898088829268151,0.8889864490590046
4.0,0.8,456.0,5.1285222423748245,0.9552061224257077,17.33862389158247,0.9606473585973468
4.0,0.8,304.0,3.5248121912691817,0.8541353335639154,10.476819976890445,0.8895277435028278
4.0,0.8,256.0,3.103717197318057,0.8858326665171756,6.898088829268151,0.8889864490590046
4.0,1.0,456.0,7.310482646087787,0.964325765647879,17.33862389158247,0.9606473585973468
4.0,1.0,304.0,5.080929037198715,0.883302956772382,10.476819976890445,0.8895277435028278
4.0,1.0,256.0,4.520446194209608,0.9044737495620748,6.898088829268151,0.8889864490590046
4.0,1.25,456.0,10.011344160998352,0.9703745916553836,17.33862389158247,0.9606473585973468
4.0,1.25,304.0,6.9431174445334625,0.9030234698320557,10.476819976890445,0.8895277435028278
4.0,1.25,256.0,6.22429690262375,0.9174327979300086,6.898088829268151,0.8889864490590046
4.0,1.5,456.0,12.67285577985957,0.9741212889738279,17.33862389158247,0.9606473585973468
4.0,1.5,304.0,8.700425855342953,0.9157189791441246,10.476819976890445,0.8895277435028278
4.0,1.5,256.0,7.835213526643508,0.9265836882435038,6.898088829268151,0.8889864490590046
