equivalent_strength,exponent,raw_coefficient,reference_reynolds,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_T3_K,observed_T3_K,front_to_gas_W,mean_front_h_W_m2K,mean_gas_preheat_K,mass_flow_kg_s,dp1_model_mbar,dp1_observed_mbar
2.0,0.5,2.0,73.41104097978786,E67,456.0,15.2805125,-29.238885626311117,59.47500000000002,-1.2496369976379356,24.437000000000012,-0.7868488293768223,53.059999999999945,651.4805749606996,763.414,22.326040240010233,314.62333811799004,68.48950344179994,0.0003060287040836849,2.7430053154131855,2.712
2.0,0.5,2.0,73.41104097978786,E68,456.0,12.499871559633025,-39.76787657874365,35.0680000000001,-1.589712907581088,26.7890000000001,-0.9671062638948342,48.652000000000044,699.5531446669364,773.207,23.75398459406742,285.4829721489599,89.15925582717304,0.00025000514269536727,2.275187479518732,2.004
2.0,0.5,2.0,73.41104097978786,E69,456.0,10.499733944954128,-48.48054327012176,12.30099999999993,-1.9220491944739706,26.35200000000009,-1.1403324804575732,43.918000000000006,734.8770241354821,769.76,24.46205008202851,260.97522869481037,109.19072854145892,0.00021028843935400635,1.8897896269009915,1.542
2.0,0.5,2.0,73.41104097978786,E70,456.0,9.107139705882352,-53.861033096401115,-32.19699999999989,-2.2158574073766886,26.552000000000135,-1.291790544085643,40.690000000000055,762.812506538792,779.518,24.690415448528043,243.80951712967553,127.16922591120797,0.00018217661658593987,1.6094691126869622,1.314
2.0,0.5,2.0,73.41104097978786,E71,456.0,7.126846153846151,-60.83604018405231,-82.95000000000005,-2.7256621964888836,25.041999999999916,-1.552649964529337,35.34699999999998,800.891499341694,753.56,24.324322868134576,216.58293422868184,159.6123635289705,0.00014296012361411756,1.1800129819281153,0.825
2.0,0.5,2.0,73.41104097978786,E72,304.0,18.707575757575754,-12.180305258216094,60.24300000000005,-0.5528153918436374,26.787000000000035,-0.3712243331464151,49.79000000000008,510.3983291195829,652.9549999999999,13.864671345990963,344.3422864706635,35.5093484129142,0.0003664741251387232,2.2187406147187105,2.485
2.0,0.5,2.0,73.41104097978786,E73,304.0,13.170870967741934,-25.45848581664518,56.78800000000001,-0.8122542132946364,26.93100000000004,-0.5167638881898711,44.360000000000014,570.6221767385059,694.626,16.102580089501977,292.3544785285236,57.305901357854964,0.000263690898405942,1.6168685047785827,1.827
2.0,0.5,2.0,73.41104097978786,E74,304.0,9.023245901639344,-42.525697036513066,13.971000000000004,-1.2499838619174852,27.01800000000003,-0.7513767948983059,36.19900000000007,639.0163030041672,697.672,17.81240259539968,241.64068223913964,92.66680518415173,0.00018039586767038267,1.0568206459878282,1.071
2.0,0.5,2.0,73.41104097978786,E75,304.0,6.944410852713178,-52.64216067993107,-29.036000000000058,-1.6062566131286076,25.510999999999967,-0.9402606461098912,31.284999999999968,680.1953958912111,681.066,18.129022815205285,212.10543837406962,122.475263810152,0.0001389184238282461,0.738354144387067,0.651
2.0,0.5,2.0,73.41104097978786,E76,304.0,4.526673611111114,-64.49866849217483,-97.221,-2.1628955820717692,23.119000000000028,-1.237535718030017,24.84999999999991,729.7876029720086,647.019,17.11108643233333,171.4301446618652,176.85331635086862,9.081819469341913e-5,0.320428086223181,0.174
2.0,0.5,2.0,73.41104097978786,E77,256.0,13.84748387096774,-11.65402802945323,57.805999999999926,-0.2899388711368829,20.920999999999935,-0.19931283667972366,30.572000000000003,432.92624791055437,525.356,7.877908731221996,299.7802850814802,26.667221530761203,0.00027711654472435665,0.8515310071742846,0.978
2.0,0.5,2.0,73.41104097978786,E78,256.0,10.009137614678897,-20.2450350984941,54.129999999999995,-0.4038633018897144,22.18399999999997,-0.264404152883003,28.388000000000034,470.3878431903325,554.4549999999999,9.018833861156269,255.3031122092695,42.2244533744077,0.0002003242487927985,0.5332389377744778,0.637
2.0,0.5,2.0,73.41104097978786,E79,256.0,8.033490566037736,-27.45807455558554,39.89499999999998,-0.5069839813431827,22.04499999999996,-0.32267854994768186,26.559000000000083,495.0434033853036,560.0329999999999,9.62613547402936,228.24520912309603,56.136580414374386,0.00016086765484359764,0.35150764704888793,0.403
2.0,0.5,2.0,73.41104097978786,E80,256.0,6.605050847457628,-34.42342414841903,25.01699999999994,-0.6157345162143883,22.118000000000052,-0.38288626633197964,24.714999999999918,517.6453120118656,561.2539999999999,9.997079413538268,206.81487705078422,70.98205318029484,0.00013213557121730338,0.21513347536253669,0.238
2.0,0.5,2.0,73.41104097978786,E81,256.0,4.527140495867768,-47.622201967945784,-10.158999999999878,-0.8500009441663678,21.39800000000014,-0.5104674842494887,21.208999999999946,559.2422625916051,550.499,10.163977834490588,171.45267647259578,105.4341743684181,9.043803481256982e-5,0.0031874436441331477,-0.023
2.0,0.8,0.551190318769519,73.41104097978786,E67,456.0,15.2805125,-18.956249566491238,59.47500000000002,-1.2557492152751593,24.437000000000012,-0.7919185345247115,53.059999999999945,652.8622941838655,763.414,24.512373866935622,358.5815864938501,75.53473467234244,0.0003060287040836849,2.760066475872151,2.712
2.0,0.8,0.551190318769519,73.41104097978786,E68,456.0,12.499871559633025,-33.902611361303,35.0680000000001,-1.595787433274154,26.7890000000001,-0.9722288130737979,48.652000000000044,700.7232838776317,773.207,24.908002137389406,305.6452862453333,93.90818539667106,0.00025000514269536727,2.2863878924751693,2.004
2.0,0.8,0.551190318769519,73.41104097978786,E69,456.0,10.499733944954128,-47.28305614867463,12.30099999999993,-1.9270060451746076,26.35200000000009,-1.143794713425109,43.918000000000006,735.2285850636275,769.76,24.703446136803965,265.69094621298456,110.75734493346424,0.00021028843935400635,1.8926117069469517,1.542
2.0,0.8,0.551190318769519,73.41104097978786,E70,456.0,9.107139705882352,-56.97915321141977,-32.19699999999989,-2.218988138994291,26.552000000000135,-1.2920320628007858,40.690000000000055,761.6495788784669,779.518,24.083917356646374,237.33172615563154,124.5919631798027,0.00018217661658593987,1.602020662124883,1.314
2.0,0.8,0.551190318769519,73.41104097978786,E71,456.0,7.126846153846151,-70.57320694700365,-82.95000000000005,-2.7244020296370763,25.041999999999916,-1.543823933617773,35.34699999999998,795.2603401892762,753.56,22.359122447435865,195.77785175069477,147.35540903169363,0.00014296012361411756,1.1523875481294819,0.825
2.0,0.8,0.551190318769519,73.41104097978786,E72,304.0,18.707575757575754,-4.0580149178118745,60.24300000000005,-0.5552396408825189,26.787000000000035,-0.37297939099573796,49.79000000000008,510.95385885926146,652.9549999999999,15.841764287229777,414.23180322067356,40.75697685131307,0.0003664741251387232,2.2279672809094864,2.485
2.0,0.8,0.551190318769519,73.41104097978786,E73,304.0,13.170870967741934,-20.222114189330682,56.78800000000001,-0.8152517878522758,26.93100000000004,-0.519196987680516,44.360000000000014,571.2578070053238,694.626,17.08299133974006,318.485068313623,61.06717973132976,0.000263690898405942,1.623492959374099,1.827
2.0,0.8,0.551190318769519,73.41104097978786,E74,304.0,9.023245901639344,-45.22029390199657,13.971000000000004,-1.2528468712519043,27.01800000000003,-0.7521513405313272,36.19900000000007,638.3332010971835,697.672,17.377872540686454,234.98262154517593,90.80445873632607,0.00018039586767038267,1.0526126399831894,1.071
2.0,0.8,0.551190318769519,73.41104097978786,E75,304.0,6.944410852713178,-62.038545239901055,-29.036000000000058,-1.608118602730542,25.510999999999967,-0.9362913824140833,31.284999999999968,676.360564445398,681.066,16.65010566450197,190.68744007146896,112.97271101429487,0.0001389184238282461,0.7209099517385512,0.651
2.0,0.8,0.551190318769519,73.41104097978786,E76,304.0,4.526673611111114,-82.42602817824923,-97.221,-2.161828981793178,23.119000000000028,-1.21882283324328,24.84999999999991,714.7269040618492,647.019,14.170531949711775,135.6949581346559,147.07892676666316,9.081819469341913e-5,0.2782227616996944,0.174
2.0,0.8,0.551190318769519,73.41104097978786,E77,256.0,13.84748387096774,-8.859767537057905,57.805999999999926,-0.29090543531140156,20.920999999999935,-0.20002723703811398,30.572000000000003,433.12921347637837,525.356,8.452661217090991,331.43612209132203,28.741682985344863,0.00027711654472435665,0.8540454151377271,0.978
2.0,0.8,0.551190318769519,73.41104097978786,E78,256.0,10.009137614678897,-20.362965442522523,54.129999999999995,-0.40518512195569656,22.18399999999997,-0.26514289206033936,28.388000000000034,470.371009044047,554.4549999999999,8.999735988983877,255.8757623861748,42.32201028807425,0.0002003242487927985,0.5331473655048934,0.637
2.0,0.8,0.551190318769519,73.41104097978786,E79,256.0,8.033490566037736,-30.752982610213166,39.89499999999998,-0.5089457230504877,22.04499999999996,-0.32312718532625695,26.559000000000083,494.4507753778547,560.0329999999999,9.165837877952804,214.43062981430307,53.68685440345983,0.00016086765484359764,0.3482434862240177,0.403
2.0,0.8,0.551190318769519,73.41104097978786,E80,256.0,6.605050847457628,-41.277204321689965,25.01699999999994,-0.6186743801064267,22.118000000000052,-0.3826446697415804,24.714999999999918,515.9004629825347,561.2539999999999,9.118279267191962,183.18003206761995,65.02323521710868,0.00013213557121730338,0.20773626837128278,0.238
2.0,0.8,0.551190318769519,73.41104097978786,E81,256.0,4.527140495867768,-61.849207924721554,-10.158999999999878,-0.8555639881847128,21.39800000000014,-0.5068409114406904,21.208999999999946,552.358202044616,550.499,8.501611828338628,135.39688609743297,88.56221876500612,9.043803481256982e-5,-0.014949134134509934,-0.023
2.0,1.0,0.23342604107408982,73.41104097978786,E67,456.0,15.2805125,-11.741483033920872,59.47500000000002,-1.2602486515411329,24.437000000000012,-0.7955885722119547,53.059999999999945,653.8153457853293,763.414,26.041289235094492,391.2669561877654,80.48185197574277,0.0003060287040836849,2.7719028844072953,2.712
2.0,1.0,0.23342604107408982,73.41104097978786,E68,456.0,12.499871559633025,-29.875551101033125,35.0680000000001,-1.6000565404004874,26.7890000000001,-0.9758025944845485,48.652000000000044,701.5182099370529,773.207,25.697203387033944,319.88694659757243,97.16890302544503,0.00025000514269536727,2.29402155800962,2.004
2.0,1.0,0.23342604107408982,73.41104097978786,E69,456.0,10.499733944954128,-46.47826667503841,12.30099999999993,-1.9303771221868828,26.35200000000009,-1.1461415460869375,43.918000000000006,735.4660742359066,769.76,24.866049763877356,268.894687575347,111.81519080929702,0.00021028843935400635,1.8945185916576852,1.542
2.0,1.0,0.23342604107408982,73.41104097978786,E70,456.0,9.107139705882352,-59.01504288246156,-32.19699999999989,-2.220967024279389,26.552000000000135,-1.2921530890174608,40.690000000000055,760.8849260386398,779.518,23.68577589881595,233.12009671324,122.89399949466087,0.00018217661658593987,1.5971276615717005,1.314
2.0,1.0,0.23342604107408982,73.41104097978786,E71,456.0,7.126846153846151,-76.67925209236819,-82.95000000000005,-2.723344729157816,25.041999999999916,-1.5381018931373092,35.34699999999998,791.6878751382992,753.56,21.11512339005904,183.0389840956083,139.5681524182588,0.00014296012361411756,1.1349458562752015,0.825
2.0,1.0,0.23342604107408982,73.41104097978786,E72,304.0,18.707575757575754,1.731497578948506,60.24300000000005,-0.5571709989393412,26.787000000000035,-0.37433931883629157,49.79000000000008,511.34371927927356,652.9549999999999,17.253357573851243,468.5608303519437,44.51928266328022,0.0003664741251387232,2.2344975290835163,2.485
2.0,1.0,0.23342604107408982,73.41104097978786,E73,304.0,13.170870967741934,-16.620898241745408,56.78800000000001,-0.817411807376061,26.93100000000004,-0.5209251089755753,44.360000000000014,571.6911356764175,694.626,17.757036058686293,337.20637773756914,63.66369412018396,0.000263690898405942,1.6280296130848235,1.827
2.0,1.0,0.23342604107408982,73.41104097978786,E74,304.0,9.023245901639344,-46.98712768353096,13.971000000000004,-1.2546852950421226,27.01800000000003,-0.7526366165013769,36.19900000000007,637.8840065908336,697.672,17.092472601023363,230.65702867691363,89.5767990728584,0.00018039586767038267,1.0498475955668578,1.071
2.0,1.0,0.23342604107408982,73.41104097978786,E75,304.0,6.944410852713178,-67.95496094183204,-29.036000000000058,-1.6090901354934886,25.510999999999967,-0.9336590647203593,31.284999999999968,673.914643305435,681.066,15.711069185433258,177.63263811479322,106.91606109789309,0.0001389184238282461,0.7098357867461883,0.651
2.0,1.0,0.23342604107408982,73.41104097978786,E76,304.0,4.526673611111114,-92.84098912479294,-97.221,-2.1606379595134513,23.119000000000028,-1.2075196737374654,24.84999999999991,705.7873177376135,647.019,12.42862507624087,116.11862345526376,129.37966161123853,9.081819469341913e-5,0.2535033003973811,0.174
2.0,1.0,0.23342604107408982,73.41104097978786,E77,256.0,13.84748387096774,-6.928642651688222,57.805999999999926,-0.291624330553077,20.920999999999935,-0.20054938793947485,30.572000000000003,433.26850860126416,525.356,8.850421197322827,354.3927594561432,30.183240722294464,0.00027711654472435665,0.8557805319853847,0.978
