front_coefficient,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_T3_K,observed_T3_K,front_to_gas_W,mean_front_h_W_m2K,mean_gas_preheat_K,front_radiation_W,remaining_front_convection_W,mass_flow_kg_s,dp1_model_mbar
0.0,E67,456.0,15.2805125,-131.48411195387246,59.47500000000002,-1.2296804217563704,24.437000000000012,-0.7584727492468346,53.059999999999945,636.0906153487007,763.414,0.0,0.0,0.0,17.05308880476815,11.828019148217479,0.0003060287040836849,2.56014538567153
0.0,E68,456.0,12.499871559633025,-154.5614233474521,35.0680000000001,-1.5542498579977746,26.7890000000001,-0.9141657696400216,48.652000000000044,673.7599359505773,773.207,0.0,0.0,0.0,22.574173947648593,13.08751846492189,0.00025000514269536727,2.0379740869204066
0.0,E69,456.0,10.499733944954128,-167.64358322388534,12.30099999999993,-1.872515062924208,26.35200000000009,-1.0610426807019167,43.918000000000006,697.4662045982964,769.76,0.0,0.0,0.0,27.950692433785974,14.396673523757022,0.00021028843935400635,1.6113849657889028
0.0,E70,456.0,9.107139705882352,-172.8081600088849,-32.19699999999989,-2.1556804738333994,26.552000000000135,-1.1889949507248048,40.690000000000055,714.0863290077702,779.518,0.0,0.0,0.0,32.90687839701923,15.28123524660808,0.00018217661658593987,1.3031573464462762
0.0,E71,456.0,7.126846153846151,-173.8863191333337,-82.95000000000005,-2.65194738674586,25.041999999999916,-1.4113727741049615,35.34699999999998,730.2971774448304,753.56,0.0,0.0,0.0,41.24284203055293,16.753873900097844,0.00014296012361411756,0.8448215328270702
0.0,E72,304.0,18.707575757575754,-69.53923582293135,60.24300000000005,-0.5533357305098434,26.787000000000035,-0.36805978535392114,49.79000000000008,506.16113457721826,652.9549999999999,0.0,0.0,0.0,6.957922812734163,7.414282815193325,0.0003664741251387232,2.1513062036557478
0.0,E73,304.0,13.170870967741934,-110.61666644519892,56.78800000000001,-0.8084265682848581,26.93100000000004,-0.5020539298210451,44.360000000000014,559.2725690424425,694.626,0.0,0.0,0.0,10.277635935967604,8.743490022754026,0.000263690898405942,1.5039881999531342
0.0,E74,304.0,9.023245901639344,-149.07384554062673,13.971000000000004,-1.2366899337946506,27.01800000000003,-0.7069228476989338,36.19900000000007,609.7293487079577,697.672,0.0,0.0,0.0,16.417130640013113,10.565464178819818,0.00018039586767038267,0.8794524940045579
0.0,E75,304.0,6.944410852713178,-161.59172131627508,-29.036000000000058,-1.585730256063357,25.510999999999967,-0.8673203071292619,31.284999999999968,631.8615038102566,681.066,0.0,0.0,0.0,21.62266303307752,11.803513821558942,0.0001389184238282461,0.5252175313035298
0.0,E76,304.0,4.526673611111114,-163.23504858698084,-97.221,-2.135106291946613,23.119000000000028,-1.1190923184794883,24.84999999999991,641.7825932170222,647.019,0.0,0.0,0.0,29.807693605697324,13.674927605517443,9.081819469341913e-5,0.08377252142255498
