front_coefficient,irradiance_kW_m2,model_slope_K_per_lpm,model_correlation,observed_slope_K_per_lpm,observed_correlation
0.0,456.0,5.387091150733323,0.9528806341463576,17.33862389158247,0.9606473585973468
0.0,304.0,7.0954733832657855,0.9843866874523833,10.476819976890445,0.8895277435028278
0.0,256.0,8.780990201195742,0.9950292769183928,6.898088829268151,0.8889864490590046
0.05,456.0,5.373368028234144,0.955137629032164,17.33862389158247,0.9606473585973468
0.05,304.0,7.005595709594287,0.9852930445671011,10.476819976890445,0.8895277435028278
0.05,256.0,8.616981222454298,0.9947405582257598,6.898088829268151,0.8889864490590046
0.1,456.0,5.358032610690208,0.9573233168647651,17.33862389158247,0.9606473585973468
0.1,304.0,6.915640348150953,0.9861703189993816,10.476819976890445,0.8895277435028278
0.1,256.0,8.45518562935996,0.994440006769368,6.898088829268151,0.8889864490590046
0.25,456.0,5.301848137844266,0.963452303917624,17.33862389158247,0.9606473585973468
0.25,304.0,6.645799409484152,0.9885963012923529,10.476819976890445,0.8895277435028278
0.25,256.0,7.983140634029085,0.9934771458897795,6.898088829268151,0.8889864490590046
0.5,456.0,5.178415074788486,0.9723788710568121,17.33862389158247,0.9606473585973468
0.5,304.0,6.198049928446289,0.9919871686934476,10.476819976890445,0.8895277435028278
0.5,256.0,7.239147810750275,0.991645005172546,6.898088829268151,0.8889864490590046
1.0,456.0,4.839531347718442,0.986163866560272,17.33862389158247,0.9606473585973468
1.0,304.0,5.321200932473883,0.9960985482648815,10.476819976890445,0.8895277435028278
1.0,256.0,5.902636078432356,0.9869633917541426,6.898088829268151,0.8889864490590046
2.0,456.0,3.9244288663276348,0.9994289883813731,17.33862389158247,0.9606473585973468
2.0,304.0,3.698115743581348,0.9882638205674624,10.476819976890445,0.8895277435028278
2.0,256.0,3.751893056571979,0.9704284334503727,6.898088829268151,0.8889864490590046
4.0,456.0,1.833210338361938,0.895586477285989,17.33862389158247,0.9606473585973468
4.0,304.0,1.1050656539363886,0.6689495201152341,10.476819976890445,0.8895277435028278
4.0,256.0,0.922418326328317,0.7510508874064439,6.898088829268151,0.8889864490590046
8.0,456.0,-1.4502861530895854,-0.6258140492397534,17.33862389158247,0.9606473585973468
8.0,304.0,-1.9678098112511222,-0.7313977292087442,10.476819976890445,0.8895277435028278
8.0,256.0,-1.779399946524341,-0.9322058087115516,6.898088829268151,0.8889864490590046
