equivalent_strength,exponent,raw_coefficient,reference_reynolds,axial_mean_K,axial_rmse_K,mid_radial_mean_K,mid_radial_rmse_K,deep_radial_mean_K,deep_radial_rmse_K,T3_mae_K,slope_456_K_per_lpm,slope_304_K_per_lpm,slope_256_K_per_lpm,slope_rmse_K_per_lpm,mean_front_h_W_m2K,mean_front_to_gas_W,mean_gas_preheat_K,mean_dp1_model_mbar,dp1_rmse_mbar,dp1_bias_mbar
2.0,0.5,2.0,73.41104097978786,-38.05949732260053,60.433019200241176,-1.250243065371016,25.864345263994455,-0.7490425835207059,38.05467512272022,65.81340689012494,3.9244288663276348,3.698115743581348,3.751893056571979,8.865476243992488,249.66287870210695,16.617367455042434,89.32507968232053,1.173551668236512,0.1972715547054788,0.05101833490317842
2.0,0.8,0.551190318769519,73.41104097978786,-40.31742676655912,58.96570512091663,-1.2529662263649621,25.86708712733831,-0.7480681925276068,38.05458408671225,64.22418746694453,6.370207531224002,5.495748761585826,5.499096892769678,7.001771355509577,251.82858137339625,16.395216927109303,85.54425946485966,1.1683268853571378,0.19127960243702105,0.04579355202380455
2.0,1.0,0.23342604107408982,73.41104097978786,-41.51235508371965,58.43862585054606,-1.2547262241880692,25.868868502909294,-0.7475584927680795,38.05465453142825,63.56903517789754,8.00647864273869,6.637942033132432,6.58119323708508,5.828846130208343,255.1586715838205,16.29421050675385,83.34865478935926,1.1653606552377511,0.18814357341000812,0.04282732190441781
2.0,1.25,0.07974600925792995,73.41104097978786,-42.6674884107856,58.18949068034986,-1.2568875600758398,25.87106576496987,-0.747088369903679,38.054896376443544,63.10335180154745,10.057777969992287,8.005302231280707,7.8388927761484855,4.472293571433858,261.4497651860839,16.220260254895155,80.97109982325888,1.1622208754227186,0.1850756351325042,0.039687542089385165
2.0,1.5,0.027243858325761337,73.41104097978786,-43.466141096883305,58.31154973564267,-1.2590257815462715,25.873249287682377,-0.7468070634459726,38.05531091438717,62.68180432498026,12.113013896269337,9.308692732122013,8.993653063563697,3.3197846588368485,270.15872511928313,16.202211437040884,78.99024157332484,1.1596837289051642,0.18284745367178276,0.03715039557183093
4.0,0.5,4.0,73.41104097978786,18.95725458726761,48.31120262428872,-1.2548394088540324,25.869919816387505,-0.7757240527491566,38.08072658013549,69.1001774843831,1.833210338361938,1.1050656539363886,0.922418326328317,11.014479356827056,499.3257574042139,26.55425569886505,142.65475224346437,1.2726176658972146,0.288888964834162,0.1500843325638813
4.0,0.8,1.102380637539038,73.41104097978786,15.762338535857433,40.913802002897576,-1.2592776258020042,25.87439132246058,-0.7748982378082739,38.080969651236664,66.2968732134497,5.1285222423748245,3.5248121912691817,3.103717197318057,8.402663280505562,503.6571627467925,26.263536400192443,137.88425226680192,1.2654804918073062,0.27923511639679044,0.14294715847397285
4.0,1.0,0.46685208214817964,73.41104097978786,13.816271214717172,37.17361974621621,-1.262111091460224,25.87725429684308,-0.7743740745700242,38.08117125158935,64.47813462943554,7.310482646087787,5.080929037198715,4.520446194209608,6.716458401387025,510.317343167641,26.09036391935766,134.84955052517932,1.2609714755692505,0.27369978112154036,0.13843814223591713
4.0,1.25,0.1594920185158599,73.41104097978786,11.620450559854358,34.17596743932897,-1.2655029091800278,25.88069191298782,-0.7737768911441322,38.08148341331093,62.29334264452643,10.011344160998352,6.9431174445334625,6.22429690262375,4.712751404357691,522.8995303721678,25.901587524743643,131.27712643596206,1.2556906389273859,0.2678163848860135,0.13315730559405228
4.0,1.5,0.054487716651522675,73.41104097978786,9.702054695235002,33.19529610462862,-1.2687280461786865,25.883972355068966,-0.7732664073164415,38.081871700261736,60.23194791546919,12.67285577985957,8.700425855342953,7.835213526643508,2.9327558624309664,540.3174502385663,25.74605988304726,127.99091193033358,1.2508513010522035,0.263042526082828,0.12831796771886997
