simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s
E67,heating,T8,28.999328577640846,31.912481805806692,300.0
E67,heating,T9,178.64817297678897,-167.7506503723032,300.0
E67,heating,T10,98.34741433114388,-127.12353957346875,-500.0
E67,heating,T3,109.2102674515997,-147.80054287180508,-600.0
E68,heating,T8,44.75561985117825,-19.957954791240127,300.0
E68,heating,T9,181.212603658806,-181.25853411989715,200.0
E68,heating,T10,76.28303848877663,-106.62302332538206,-950.0
E68,heating,T3,66.14764551904419,-98.91584475573018,-1050.0
E69,heating,T8,57.72895619060092,-41.85364904158848,250.0
E69,heating,T9,167.140272636636,-170.06681750776147,150.0
E69,heating,T10,48.94053737489816,-70.23306405630024,-900.0
E69,heating,T3,31.044660340293127,-45.997686430393514,-1000.0
E70,heating,T8,128.0790931594977,-112.33620766218905,350.0
E70,heating,T9,177.5722622469004,-184.46690251530435,100.0
E70,heating,T10,38.92429510594617,-49.0521619515697,-1350.0
E70,heating,T3,46.81900294551601,-6.20248984980401,-1550.0
E71,heating,T8,134.77313225929018,-121.17776979992504,350.0
E71,heating,T9,112.51607727940412,-121.78809631961872,-100.0
E71,heating,T10,89.93830302644099,48.54877091093033,-1600.0
E71,heating,T3,140.03520273347246,108.90893895688987,-1800.0
E72,heating,T8,22.12916351277789,24.618649087671884,150.0
E72,heating,T9,127.91299663640942,-129.3331723681806,250.0
E72,heating,T10,94.41871521042681,-115.62768687098367,-400.0
E72,heating,T3,137.0003124070776,-166.27732972714722,-250.0
E73,heating,T8,51.969884728325205,-39.972072721663494,300.0
E73,heating,T9,176.92073360955519,-182.3657590023355,250.0
E73,heating,T10,103.08139907311423,-131.98813160480972,-700.0
E73,heating,T3,113.1397807884418,-146.6562442119722,-750.0
E74,heating,T8,118.03278968039326,-105.0954374272867,400.0
E74,heating,T9,182.68940997911167,-191.14661148294022,50.0
E74,heating,T10,59.574381905368,-87.26491645514818,-1100.0
E74,heating,T3,40.08736095426143,-65.23178590759107,-1300.0
E75,heating,T8,137.82306992330766,-128.79043259717992,400.0
E75,heating,T9,147.68917268543385,-160.49955820134448,-100.0
E75,heating,T10,30.669923192325868,-22.01149748386615,-1400.0
E75,heating,T3,56.4286544369201,20.336259512227457,-1550.0
E76,heating,T8,130.29360685095116,-121.99044539871181,450.0
E76,heating,T9,54.57023743411012,-61.45167393286033,-200.0
E76,heating,T10,131.9346453369962,111.04572895702074,-1550.0
E76,heating,T3,186.49906073168307,175.426206945589,-1750.0
E77,heating,T8,90.21541975091453,98.13786657415562,-50.0
E77,heating,T9,21.881839873446072,-19.382057827720473,0.0
E77,heating,T10,10.644860511113752,-11.603357859309995,-400.0
E77,heating,T3,45.33661908753648,-55.778067006502624,-250.0
E78,heating,T8,61.686198695670086,63.697736401126804,0.0
E78,heating,T9,34.562726278457866,-42.73357031319347,-200.0
E78,heating,T10,15.995458569354732,-10.68817085701346,-1150.0
E78,heating,T3,17.96492248892575,-30.86214323570323,-1100.0
E79,heating,T8,39.74874807348882,41.231919288807035,0.0
E79,heating,T9,37.279766445631395,-45.85518048250094,-250.0
E79,heating,T10,29.39570858086506,7.024889484040159,-1100.0
E79,heating,T3,23.965520749000472,2.505210145153569,-1150.0
E80,heating,T8,28.621729463481845,29.43980671954364,50.0
E80,heating,T9,28.046234523653123,-36.93709177853839,-350.0
E80,heating,T10,52.66691057671588,31.681299339084262,-1300.0
E80,heating,T3,57.51649147476513,40.56682600249451,-1350.0
E81,heating,T8,27.00241789295516,29.86435532422354,100.0
E81,heating,T9,18.062454454937065,12.368379242273363,-350.0
E81,heating,T10,113.66616171587191,105.89734999577695,-1250.0
E81,heating,T3,137.18124161069062,137.1754522423397,-1350.0
C69,cooling,T8,66.63420146581726,-5.871824127445052,450.0
C69,cooling,T9,31.337415464559957,-25.674432546471735,100.0
C69,cooling,T10,47.5943201210626,-45.98324362629421,-250.0
C69,cooling,T3,54.94206057337956,-52.326716795068194,-300.0
C80,cooling,T8,19.304032398644235,-7.566775432408633,150.0
C80,cooling,T9,22.275259852896095,-15.692844497977035,-300.0
C80,cooling,T10,35.32560185434061,-23.33004989979878,-650.0
C80,cooling,T3,38.3489825373432,-25.615958121229937,-700.0
C81,cooling,T8,12.99253529566492,-6.035780726477128,50.0
C81,cooling,T9,24.445983318393466,-9.528109544463746,-700.0
C81,cooling,T10,35.44045236839786,-13.073693691819074,-1300.0
C81,cooling,T3,35.9297945434859,-13.926984690110771,-1350.0
