RunID,Case,Type,Ts_avg_SS_sim,Ts_avg_SS_exp,dT_Ts_avg,T3_SS_sim,T3_SS_exp,dT_T03,R_leak_sim,R_leak_exp,t90_sim_Ts_s,t90_exp_Ts_s,dt90_Ts_s,t90_sim_T3_s,t90_exp_T3_s,dt90_T3_s,Gap_ss_sim,Gap_ss_exp,dGap_ss,epsilon_eff,NTU_eff,h_eff_sim
1.0,E67,heating,800.6383972870169,903.149899,-102.51150171298309,615.6134571281949,763.414,-147.80054287180508,0.633643286452447,0.7700017081174493,900.0,800.0,100.0,1400.0,2000.0,-600.0,-185.024940158822,-139.73589900000002,-45.28904115882199,0.6333902882176369,1.1616656067294266,4.468624211439694
1.0,E68,heating,840.391937231087,952.763985,-112.37204776891303,674.2911552442698,773.207,-98.91584475573018,0.6951126460198442,0.7267707259681129,1000.0,1100.0,-100.0,1500.0,2550.0,-1050.0,-166.1007819868172,-179.55698500000005,13.456203013182858,0.6942313468989005,1.410025825430874,4.413909475800574
1.0,E69,heating,874.1019918575649,973.736281,-99.63428914243502,723.7623135696065,769.76,-45.997686430393514,0.7401233519491875,0.699211375150196,1050.0,1150.0,-100.0,1600.0,2600.0,-1000.0,-150.33967828795846,-203.97628099999997,53.63660271204151,0.739334718607751,1.6365405784736224,4.352605521294465
1.0,E70,heating,908.1141124064335,1022.2870979999999,-114.17298559356641,773.315510150196,779.518,-6.20248984980401,0.779926438626006,0.665924397836501,1150.0,1400.0,-250.0,1650.0,3200.0,-1550.0,-134.79860225623747,-242.76909799999987,107.9704957437624,0.7795012838047697,1.886706449212253,4.330128592307578
1.0,E71,heating,970.4614382754878,1026.1778060000001,-55.71636772451234,862.4689389568898,753.56,108.90893895688987,0.839978737632377,0.6268473289829748,1300.0,1700.0,-400.0,1800.0,3600.0,-1800.0,-107.992499318598,-272.6178060000002,164.6253066814022,0.838924659359406,2.382014348370423,4.294479907568155
1.0,E72,heating,643.3258392402859,729.1749369999999,-85.84909775971403,486.6776702728527,652.9549999999999,-166.27732972714722,0.5495092676224104,0.8242066620808294,950.0,1000.0,-50.0,1500.0,1750.0,-250.0,-156.64816896743315,-76.21993699999996,-80.42823196743319,0.5503852462148187,0.8848814902049638,4.016375908061996
1.0,E73,heating,686.0920439981137,813.648027,-127.55598300188626,547.9697557880278,694.626,-146.6562442119722,0.6462883612873924,0.7702499357267673,1050.0,1100.0,-50.0,1550.0,2300.0,-750.0,-138.1222882100859,-119.02202699999998,-19.100261210085932,0.6455924594723518,1.1845632002095512,3.8758730099794105
1.0,E74,heating,744.2269216586174,873.8306259999999,-129.60370434138258,632.440214092409,697.672,-65.23178590759107,0.7508259004949482,0.6953499023073113,1200.0,1450.0,-250.0,1700.0,3000.0,-1300.0,-111.7867075662084,-176.1586259999999,64.3719184337915,0.750761699019468,1.6619383963091996,3.745389926397794
1.0,E75,heating,792.5090454461524,891.549861,-99.04081555384755,701.4022595122275,681.066,20.336259512227457,0.8166537315504336,0.6468106322433316,1350.0,1750.0,-400.0,1850.0,3400.0,-1550.0,-91.10678593392493,-210.48386099999993,119.37707506607501,0.8162254969399898,2.111882113805545,3.6802872477061634
1.0,E76,heating,881.9441106619925,891.652905,-9.708794338007579,822.445206945589,647.019,175.426206945589,0.8985259684775116,0.5895782369243316,1600.0,2050.0,-450.0,2150.0,3900.0,-1750.0,-59.49890371640345,-244.63390500000003,185.13500128359658,0.8981950581406061,3.119232819466997,3.5889446926707733
1.0,E77,heating,583.3370863117196,570.563846,12.773240311719633,469.57793299349737,525.356,-55.778067006502624,0.6046447676733697,0.8355874132818663,1100.0,1250.0,-150.0,1600.0,1850.0,-250.0,-113.75915331822227,-45.20784600000002,-68.55130731822226,0.6045443957169548,1.02975716441501,3.5090898729665185
1.0,E78,heating,620.8420583414995,624.779095,-3.9370366585004604,523.5928567642967,554.4549999999999,-30.86214323570323,0.7009962239645492,0.786366543923186,1250.0,1850.0,-600.0,1750.0,2850.0,-1100.0,-97.24920157720283,-70.32409500000006,-26.92510657720277,0.6990742250226589,1.3743732737051981,3.384233294140265
1.0,E79,heating,647.8022683378348,651.5952609999999,-3.7929926621651475,562.5382101451535,560.0329999999999,2.505210145153569,0.7579130468944348,0.7428006587949562,1350.0,1800.0,-450.0,1800.0,2950.0,-1150.0,-85.26405819268132,-91.56226100000003,6.298202807318717,0.7569080125567831,1.6584316424413788,3.302428502556414
1.0,E80,heating,675.4575634115059,669.377867,6.079696411505893,601.8208260024944,561.2539999999999,40.56682600249451,0.8061474700079091,0.7107284887551204,1450.0,2100.0,-650.0,1950.0,3300.0,-1350.0,-73.63673740901152,-108.12386700000013,34.487129590988616,0.8059794641418351,1.97729983050269,3.2433064066046775
1.0,E81,heating,738.6376229922028,685.73453,52.9030929922028,687.6744522423397,550.499,137.1754522423397,0.8849692711327539,0.6533635801805078,1750.0,2300.0,-550.0,2250.0,3600.0,-1350.0,-50.963170749863025,-135.23552999999993,84.2723592501369,0.8846633164927721,2.8065451559732373,3.155772866308797
1.0,C69,cooling,307.67246845355555,336.29536399999995,-28.622895546444397,308.18928320493177,360.51599999999996,-52.326716795068194,1.0428022776625028,1.5951401668176843,1300.0,1300.0,0.0,1550.0,1850.0,-300.0,0.5168147513762165,24.220636000000013,-23.703821248623797,0.5808010109719923,0.8420799517523564,2.1502929518313785
1.0,C80,cooling,298.6089611397789,315.24213899999995,-16.633177860221053,298.86604187877003,324.48199999999997,-25.615958121229937,1.0853816197076558,1.4703622286525269,1700.0,2050.0,-350.0,2000.0,2700.0,-700.0,0.25708073899113515,9.239861000000019,-8.982780261008884,0.7003099397349595,1.1487412048028314,1.8446285324524887
1.0,C81,cooling,292.27418593737036,302.308339,-10.034153062629628,292.3930153098892,306.32,-13.926984690110771,0.9642490914714857,1.5978328367612997,2050.0,2800.0,-750.0,2550.0,3900.0,-1350.0,0.11882937251886005,4.011661000000004,-3.8928316274811436,0.7872142894749007,1.4505938795276099,1.6255901003483857
