% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 12:07
% Table:              Table 11 - Surface Integration 1 - Avg. T_solid(z)
% P_to_m (kJ/kg)         z_cpl (mm)               T_s_domain_avg(z) (K)    T_s_surface_avg(z) (K)
500                      14                       909.9804379566161        0
500                      15                       905.3214600212369        0
500                      16                       900.9841501390478        0
500                      17                       896.9905881576648        0
500                      18.000000000000004       893.2734080932747        0
500                      19                       889.8141279394168        0
500                      20                       886.6018070562287        0
500                      21                       883.6452194538793        0
500                      22                       880.9050092665535        0
500                      23                       878.3593503580676        0
500                      24                       875.9907654674855        0
500                      25                       873.8099187499239        0
500                      26.000000000000004       871.7720765101792        0
500                      27                       869.8735872462503        0
500                      28                       868.1100717402842        0
500                      29                       866.4735677217269        0
500                      30                       864.9597415173778        0
500                      31                       863.5595634503919        0
500                      32                       862.2709830321623        0
500                      33                       861.0793436685           0
500                      34                       859.9725550240869        0
500                      35                       858.9497032741727        0
500                      36.00000000000001        858.0098154454856        0
500                      37                       857.1411010816599        0
500                      38                       856.3259933411114        0
500                      39                       855.566601568563         0
500                      40                       854.8656520276901        0
500                      41                       854.2176538584341        0
500                      42                       853.6187754206263        0
500                      43                       853.0662200069513        0
500                      44                       852.5591135370369        0
500                      45                       852.0928900795236        0
500                      46                       851.6632336961313        0
500                      47                       851.263087414939         0
500                      48                       850.8897441602671        0
500                      49                       850.5445098842041        0
500                      50                       850.2248394051151        0
600                      0                        1003.5989166767998       0
600                      1                        996.4971294996549        0
600                      2                        990.1641726997449        0
600                      3                        983.51097652595          0
600                      4                        976.2183136963946        0
600                      5                        968.6260321236037        0
600                      6                        960.9117460128923        0
600                      7                        953.2657444003933        0
600                      8                        945.8921958335613        0
600                      9.000000000000002        938.9352410988756        0
600                      10                       932.364853496257         0
600                      11                       926.190603675415         0
600                      12                       920.3960909360952        0
600                      13.000000000000002       914.994927782602         0
600                      14                       909.980437956616         0
600                      15                       905.3214600212369        0
600                      16                       900.9841501390478        0
600                      17                       896.9905881576648        0
600                      18.000000000000004       893.2734080932747        0
600                      19                       889.8141279394168        0
600                      20                       886.6018070562287        0
600                      21                       883.6452194538793        0
600                      22                       880.9050092665535        0
600                      23                       878.3593503580676        0
600                      24                       875.9907654674855        0
600                      25                       873.8099187499239        0
600                      26.000000000000004       871.7720765101792        0
600                      27                       869.8735872462503        0
600                      28                       868.1100717402842        0
600                      29                       866.4735677217269        0
600                      30                       864.9597415173778        0
600                      31                       863.5595634503919        0
600                      32                       862.2709830321623        0
600                      33                       861.0793436685           0
600                      34                       859.9725550240869        0
600                      35                       858.9497032741727        0
600                      36.00000000000001        858.0098154454856        0
600                      37                       857.1411010816603        0
600                      38                       856.3259933411114        0
600                      39                       855.566601568563         0
600                      40                       854.8656520276901        0
600                      41                       854.2176538584341        0
600                      42                       853.6187754206263        0
600                      43                       853.0662200069513        0
600                      44                       852.5591135370369        0
600                      45                       852.0928900795236        0
600                      46                       851.6632336961313        0
600                      47                       851.263087414939         0
600                      48                       850.8897441602671        0
600                      49                       850.5445098842041        0
600                      50                       850.2248394051151        0
700                      0                        1003.5989166768          0
700                      1                        996.497129499655         0
700                      2                        990.1641726997449        0
700                      3                        983.51097652595          0
700                      4                        976.2183136963946        0
700                      5                        968.6260321236037        0
700                      6                        960.9117460128923        0
700                      7                        953.2657444003933        0
700                      8                        945.8921958335615        0
700                      9.000000000000002        938.9352410988756        0
700                      10                       932.3648534962568        0
700                      11                       926.1906036754148        0
700                      12                       920.3960909360952        0
700                      13.000000000000002       914.994927782602         0
700                      14                       909.980437956616         0
700                      15                       905.3214600212369        0
700                      16                       900.9841501390478        0
700                      17                       896.9905881576648        0
700                      18.000000000000004       893.2734080932747        0
700                      19                       889.8141279394168        0
700                      20                       886.6018070562287        0
700                      21                       883.6452194538793        0
700                      22                       880.9050092665535        0
700                      23                       878.3593503580676        0
700                      24                       875.9907654674855        0
700                      25                       873.8099187499239        0
700                      26.000000000000004       871.7720765101792        0
700                      27                       869.8735872462503        0
700                      28                       868.1100717402842        0
700                      29                       866.4735677217269        0
700                      30                       864.9597415173778        0
700                      31                       863.5595634503919        0
700                      32                       862.2709830321623        0
700                      33                       861.0793436685           0
700                      34                       859.9725550240869        0
700                      35                       858.9497032741727        0
700                      36.00000000000001        858.0098154454856        0
700                      37                       857.1411010816603        0
700                      38                       856.3259933411114        0
700                      39                       855.566601568563         0
700                      40                       854.8656520276901        0
700                      41                       854.2176538584341        0
700                      42                       853.6187754206263        0
700                      43                       853.0662200069514        0
700                      44                       852.5591135370365        0
700                      45                       852.0928900795236        0
700                      46                       851.6632336961313        0
700                      47                       851.263087414939         0
700                      48                       850.8897441602671        0
700                      49                       850.5445098842041        0
700                      50                       850.2248394051151        0
