% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 12:07
% Table:              Table 11 - Surface Integration 1 - Avg. T_solid(z)
% P_to_m (kJ/kg)         z_cpl (mm)               T_s_domain_avg(z) (K)    T_s_surface_avg(z) (K)
100                      0                        1003.5989166768          0
100                      1                        996.4971294996549        0
100                      2                        990.1641726997448        0
100                      3                        983.5109765259499        0
100                      4                        976.2183136963946        0
100                      5                        968.6260321236035        0
100                      6                        960.9117460128926        0
100                      7                        953.2657444003935        0
100                      8                        945.8921958335613        0
100                      9.000000000000002        938.9352410988756        0
100                      10                       932.364853496257         0
100                      11                       926.1906036754148        0
100                      12                       920.3960909360952        0
100                      13.000000000000002       914.994927782602         0
100                      14                       909.980437956616         0
100                      15                       905.3214600212369        0
100                      16                       900.9841501390478        0
100                      17                       896.9905881576648        0
100                      18.000000000000004       893.2734080932747        0
100                      19                       889.8141279394168        0
100                      20                       886.6018070562287        0
100                      21                       883.6452194538793        0
100                      22                       880.9050092665535        0
100                      23                       878.3593503580676        0
100                      24                       875.9907654674855        0
100                      25                       873.8099187499239        0
100                      26.000000000000004       871.7720765101792        0
100                      27                       869.8735872462503        0
100                      28                       868.1100717402842        0
100                      29                       866.4735677217269        0
100                      30                       864.9597415173778        0
100                      31                       863.5595634503919        0
100                      32                       862.2709830321623        0
100                      33                       861.0793436685           0
100                      34                       859.9725550240869        0
100                      35                       858.9497032741727        0
100                      36.00000000000001        858.0098154454856        0
100                      37                       857.1411010816603        0
100                      38                       856.3259933411114        0
100                      39                       855.566601568563         0
100                      40                       854.8656520276901        0
100                      41                       854.2176538584341        0
100                      42                       853.6187754206263        0
100                      43                       853.0662200069513        0
100                      44                       852.5591135370369        0
100                      45                       852.0928900795236        0
100                      46                       851.6632336961313        0
100                      47                       851.263087414939         0
100                      48                       850.8897441602671        0
100                      49                       850.5445098842041        0
100                      50                       850.2248394051151        0
200                      0                        1003.5989166768          0
200                      1                        996.4971294996549        0
200                      2                        990.1641726997448        0
200                      3                        983.5109765259499        0
200                      4                        976.2183136963946        0
200                      5                        968.6260321236037        0
200                      6                        960.9117460128924        0
200                      7                        953.2657444003933        0
200                      8                        945.8921958335615        0
200                      9.000000000000002        938.9352410988756        0
200                      10                       932.3648534962568        0
200                      11                       926.1906036754148        0
200                      12                       920.3960909360952        0
200                      13.000000000000002       914.994927782602         0
200                      14                       909.980437956616         0
200                      15                       905.3214600212369        0
200                      16                       900.9841501390478        0
200                      17                       896.9905881576648        0
200                      18.000000000000004       893.2734080932747        0
200                      19                       889.8141279394168        0
200                      20                       886.6018070562287        0
200                      21                       883.6452194538793        0
200                      22                       880.9050092665535        0
200                      23                       878.3593503580676        0
200                      24                       875.9907654674855        0
200                      25                       873.8099187499241        0
200                      26.000000000000004       871.7720765101792        0
200                      27                       869.8735872462503        0
200                      28                       868.1100717402842        0
200                      29                       866.4735677217269        0
200                      30                       864.9597415173778        0
200                      31                       863.5595634503919        0
200                      32                       862.2709830321622        0
200                      33                       861.0793436685           0
200                      34                       859.972555024087         0
200                      35                       858.9497032741727        0
200                      36.00000000000001        858.0098154454856        0
200                      37                       857.1411010816599        0
200                      38                       856.3259933411114        0
200                      39                       855.566601568563         0
200                      40                       854.8656520276901        0
200                      41                       854.2176538584341        0
200                      42                       853.6187754206263        0
200                      43                       853.0662200069514        0
200                      44                       852.5591135370365        0
200                      45                       852.0928900795236        0
200                      46                       851.6632336961313        0
200                      47                       851.263087414939         0
200                      48                       850.8897441602671        0
200                      49                       850.5445098842041        0
200                      50                       850.2248394051151        0
300                      0                        1003.5989166768          0
300                      1                        996.497129499655         0
300                      2                        990.1641726997449        0
300                      3                        983.5109765259501        0
300                      4                        976.2183136963946        0
300                      5                        968.6260321236037        0
300                      6                        960.9117460128923        0
300                      7                        953.2657444003933        0
300                      8                        945.8921958335615        0
300                      9.000000000000002        938.9352410988756        0
300                      10                       932.3648534962568        0
300                      11                       926.1906036754148        0
300                      12                       920.3960909360952        0
300                      13.000000000000002       914.994927782602         0
300                      14                       909.980437956616         0
300                      15                       905.3214600212369        0
300                      16                       900.9841501390478        0
300                      17                       896.9905881576648        0
300                      18.000000000000004       893.2734080932747        0
300                      19                       889.8141279394168        0
300                      20                       886.6018070562287        0
300                      21                       883.6452194538793        0
300                      22                       880.9050092665535        0
300                      23                       878.3593503580676        0
300                      24                       875.9907654674855        0
300                      25                       873.8099187499241        0
300                      26.000000000000004       871.7720765101792        0
300                      27                       869.8735872462503        0
300                      28                       868.1100717402842        0
300                      29                       866.4735677217269        0
300                      30                       864.9597415173778        0
300                      31                       863.5595634503919        0
300                      32                       862.2709830321623        0
300                      33                       861.0793436685           0
300                      34                       859.9725550240869        0
300                      35                       858.9497032741727        0
300                      36.00000000000001        858.0098154454856        0
300                      37                       857.1411010816603        0
300                      38                       856.3259933411114        0
300                      39                       855.566601568563         0
300                      40                       854.8656520276901        0
300                      41                       854.2176538584341        0
300                      42                       853.6187754206263        0
300                      43                       853.0662200069513        0
300                      44                       852.5591135370369        0
300                      45                       852.0928900795236        0
300                      46                       851.6632336961313        0
300                      47                       851.263087414939         0
300                      48                       850.8897441602671        0
300                      49                       850.5445098842041        0
300                      50                       850.2248394051151        0
400                      0                        1003.5989166768          0
400                      1                        996.4971294996549        0
400                      2                        990.1641726997448        0
400                      3                        983.5109765259501        0
400                      4                        976.2183136963946        0
400                      5                        968.6260321236035        0
400                      6                        960.9117460128926        0
400                      7                        953.2657444003935        0
400                      8                        945.8921958335613        0
400                      9.000000000000002        938.9352410988756        0
400                      10                       932.364853496257         0
400                      11                       926.1906036754148        0
400                      12                       920.3960909360952        0
400                      13.000000000000002       914.994927782602         0
400                      14                       909.980437956616         0
400                      15                       905.3214600212369        0
400                      16                       900.9841501390478        0
400                      17                       896.9905881576648        0
400                      18.000000000000004       893.2734080932747        0
400                      19                       889.8141279394168        0
400                      20                       886.6018070562287        0
400                      21                       883.6452194538793        0
400                      22                       880.9050092665535        0
400                      23                       878.3593503580676        0
400                      24                       875.9907654674855        0
400                      25                       873.8099187499239        0
400                      26.000000000000004       871.7720765101792        0
400                      27                       869.8735872462503        0
400                      28                       868.1100717402842        0
400                      29                       866.4735677217269        0
400                      30                       864.9597415173778        0
400                      31                       863.5595634503919        0
400                      32                       862.2709830321623        0
400                      33                       861.0793436685           0
400                      34                       859.9725550240869        0
400                      35                       858.9497032741727        0
400                      36.00000000000001        858.0098154454856        0
400                      37                       857.1411010816603        0
400                      38                       856.3259933411114        0
400                      39                       855.566601568563         0
400                      40                       854.8656520276901        0
400                      41                       854.2176538584341        0
400                      42                       853.6187754206263        0
400                      43                       853.0662200069513        0
400                      44                       852.5591135370369        0
400                      45                       852.0928900795236        0
400                      46                       851.6632336961313        0
400                      47                       851.263087414939         0
400                      48                       850.8897441602671        0
400                      49                       850.5445098842041        0
400                      50                       850.2248394051151        0
500                      0                        1003.5989166768          0
500                      1                        996.497129499655         0
500                      2                        990.1641726997449        0
500                      3                        983.5109765259501        0
500                      4                        976.2183136963946        0
500                      5                        968.6260321236037        0
500                      6                        960.9117460128923        0
500                      7                        953.2657444003933        0
500                      8                        945.8921958335613        0
500                      9.000000000000002        938.9352410988756        0
500                      10                       932.3648534962568        0
500                      11                       926.190603675415         0
500                      12                       920.3960909360952        0
500                      13.000000000000002       914.994927782602         0
