% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 26 2021, 10:05
% Table:              Table 10 - Surface Integration 1 - Avg. T_solid(z)
% R_channel (mm)                                  emis                                              z_cpl (mm)                                        T_s_domain_avg(z) (K)                             T_s_surface_avg(z) (K)
0.5                                               0.1                                               0                                                 319.4782600118916                                 0
0.5                                               0.1                                               1                                                 319.4174455888575                                 0
0.5                                               0.1                                               2                                                 319.3799191824325                                 0
0.5                                               0.1                                               3                                                 319.3495644713556                                 0
0.5                                               0.1                                               4                                                 319.32437113569324                                0
0.5                                               0.1                                               5                                                 319.25999969154907                                0
0.5                                               0.1                                               6                                                 319.03091043064666                                0
0.5                                               0.1                                               7                                                 318.8400519326607                                 0
0.5                                               0.1                                               8                                                 318.68455516937155                                0
0.5                                               0.1                                               9.000000000000002                                 318.54000425663855                                0
0.5                                               0.1                                               10                                                318.38566475451586                                0
0.5                                               0.1                                               11                                                318.1524731622537                                 0
0.5                                               0.1                                               12                                                317.75781898134284                                0
0.5                                               0.1                                               13.000000000000002                                317.35433221249406                                0
0.5                                               0.1                                               14                                                317.02838320664233                                0
0.5                                               0.1                                               15                                                317.26156856392106                                0
0.5                                               0.1                                               16                                                317.56664694613113                                0
0.5                                               0.1                                               17                                                317.64598716614864                                0
0.5                                               0.1                                               18.000000000000004                                317.46507798133524                                0
0.5                                               0.1                                               19                                                317.1690156710621                                 0
0.5                                               0.1                                               20                                                317.2686948699107                                 0
0.5                                               0.1                                               21                                                318.0905876080308                                 0
0.5                                               0.1                                               22                                                318.4364090039532                                 0
0.5                                               0.1                                               23                                                318.8260285943301                                 0
0.5                                               0.1                                               24                                                319.2015008613185                                 0
0.5                                               0.1                                               25                                                319.59629362692607                                0
0.5                                               0.3                                               0                                                 319.4782600118916                                 0
0.5                                               0.3                                               1                                                 319.4174455888575                                 0
0.5                                               0.3                                               2                                                 319.3799191824325                                 0
0.5                                               0.3                                               3                                                 319.3495644713557                                 0
0.5                                               0.3                                               4                                                 319.3243711356932                                 0
0.5                                               0.3                                               5                                                 319.2599996915491                                 0
0.5                                               0.3                                               6                                                 319.03091043064666                                0
0.5                                               0.3                                               7                                                 318.8400519326607                                 0
0.5                                               0.3                                               8                                                 318.68455516937155                                0
0.5                                               0.3                                               9.000000000000002                                 318.54000425663855                                0
0.5                                               0.3                                               10                                                318.38566475451586                                0
0.5                                               0.3                                               11                                                318.15247316225384                                0
0.5                                               0.3                                               12                                                317.75781898134284                                0
0.5                                               0.3                                               13.000000000000002                                317.35433221249406                                0
0.5                                               0.3                                               14                                                317.02838320664233                                0
0.5                                               0.3                                               15                                                317.26156856392106                                0
0.5                                               0.3                                               16                                                317.5666469461311                                 0
0.5                                               0.3                                               17                                                317.64598716614876                                0
0.5                                               0.3                                               18.000000000000004                                317.4650779813351                                 0
0.5                                               0.3                                               19                                                317.1690156710621                                 0
0.5                                               0.3                                               20                                                317.2686948699107                                 0
0.5                                               0.3                                               21                                                318.0905876080308                                 0
0.5                                               0.3                                               22                                                318.4364090039532                                 0
0.5                                               0.3                                               23                                                318.8260285943301                                 0
0.5                                               0.3                                               24                                                319.2015008613185                                 0
0.5                                               0.3                                               25                                                319.59629362692607                                0
0.5                                               0.5                                               0                                                 319.47826001189156                                0
0.5                                               0.5                                               1                                                 319.4174455888575                                 0
0.5                                               0.5                                               2                                                 319.3799191824325                                 0
0.5                                               0.5                                               3                                                 319.3495644713557                                 0
0.5                                               0.5                                               4                                                 319.32437113569324                                0
0.5                                               0.5                                               5                                                 319.2599996915491                                 0
0.5                                               0.5                                               6                                                 319.03091043064654                                0
0.5                                               0.5                                               7                                                 318.8400519326607                                 0
0.5                                               0.5                                               8                                                 318.6845551693716                                 0
0.5                                               0.5                                               9.000000000000002                                 318.54000425663855                                0
0.5                                               0.5                                               10                                                318.3856647545157                                 0
0.5                                               0.5                                               11                                                318.15247316225384                                0
0.5                                               0.5                                               12                                                317.7578189813429                                 0
0.5                                               0.5                                               13.000000000000002                                317.3543322124942                                 0
