time,hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
38,0.010555556,326.766,293.458,295.538,293.56,291.479,298.506,298.292,344.977,300.09,295.178,299.194,314.77,293.488,293.293,293.497,293.381
39,0.010833333,326.766,293.458,295.538,293.56,291.479,298.506,298.292,344.977,300.09,295.178,299.194,314.77,293.488,293.293,293.497,293.381
40,0.011111111,334.809,293.458,296.124,293.561,291.486,298.509,298.287,357.797,304.089,295.995,300.832,323.277,293.496,293.282,293.494,293.374
41,0.011388889,334.809,293.458,296.124,293.561,291.486,298.509,298.287,357.797,304.089,295.995,300.832,323.277,293.496,293.282,293.494,293.374
42,0.011666667,334.809,293.458,296.124,293.561,291.486,298.509,298.287,357.797,304.089,295.995,300.832,323.277,293.496,293.282,293.494,293.374
43,0.011944444,342.447,293.459,296.711,293.57,291.477,298.503,298.285,369.937,308.621,296.971,302.694,331.835,293.496,293.284,293.49,293.369
44,0.012222222,342.447,293.459,296.711,293.57,291.477,298.503,298.285,369.937,308.621,296.971,302.694,331.835,293.496,293.284,293.49,293.369
45,0.0125,342.447,293.459,296.711,293.57,291.477,298.503,298.285,369.937,308.621,296.971,302.694,331.835,293.496,293.284,293.49,293.369
46,0.012777778,342.447,293.459,296.711,293.57,291.477,298.503,298.285,369.937,308.621,296.971,302.694,331.835,293.496,293.284,293.49,293.369
47,0.013055556,350.227,293.458,297.439,293.585,291.483,298.489,298.266,382.326,313.855,298.242,304.527,340.808,293.495,293.284,293.48,293.371
48,0.013333333,350.227,293.458,297.439,293.585,291.483,298.489,298.266,382.326,313.855,298.242,304.527,340.808,293.495,293.284,293.48,293.371
49,0.013611111,350.227,293.458,297.439,293.585,291.483,298.489,298.266,382.326,313.855,298.242,304.527,340.808,293.495,293.284,293.48,293.371
50,0.013888889,358.246,293.458,298.014,293.594,291.478,298.465,298.262,395.045,319.7,299.807,307.617,350.197,293.494,293.294,293.486,293.377
51,0.014166667,358.246,293.458,298.014,293.594,291.478,298.465,298.262,395.045,319.7,299.807,307.617,350.197,293.494,293.294,293.486,293.377
52,0.014444444,358.246,293.458,298.014,293.594,291.478,298.465,298.262,395.045,319.7,299.807,307.617,350.197,293.494,293.294,293.486,293.377
53,0.014722222,358.246,293.458,298.014,293.594,291.478,298.465,298.262,395.045,319.7,299.807,307.617,350.197,293.494,293.294,293.486,293.377
54,0.015,366.019,293.46,298.528,293.608,291.498,298.46,298.261,407.135,325.721,301.65,311.425,359.271,293.492,293.292,293.482,293.37
55,0.015277778,366.019,293.46,298.528,293.608,291.498,298.46,298.261,407.135,325.721,301.65,311.425,359.271,293.492,293.292,293.482,293.37
56,0.015555556,366.019,293.46,298.528,293.608,291.498,298.46,298.261,407.135,325.721,301.65,311.425,359.271,293.492,293.292,293.482,293.37
57,0.015833333,373.862,293.457,299.244,293.613,291.495,298.466,298.256,419.303,332.156,303.897,315.45,368.582,293.512,293.303,293.492,293.367
58,0.016111111,373.862,293.457,299.244,293.613,291.495,298.466,298.256,419.303,332.156,303.897,315.45,368.582,293.512,293.303,293.492,293.367
59,0.016388889,373.862,293.457,299.244,293.613,291.495,298.466,298.256,419.303,332.156,303.897,315.45,368.582,293.512,293.303,293.492,293.367
60,0.016666667,381.465,293.463,300.452,293.622,291.494,298.438,298.233,431.207,338.699,306.414,319.485,377.642,293.506,293.291,293.484,293.377
61,0.016944444,381.465,293.463,300.452,293.622,291.494,298.438,298.233,431.207,338.699,306.414,319.485,377.642,293.506,293.291,293.484,293.377
62,0.017222222,381.465,293.463,300.452,293.622,291.494,298.438,298.233,431.207,338.699,306.414,319.485,377.642,293.506,293.291,293.484,293.377
63,0.0175,381.465,293.463,300.452,293.622,291.494,298.438,298.233,431.207,338.699,306.414,319.485,377.642,293.506,293.291,293.484,293.377
64,0.017777778,389.231,293.455,302.073,293.615,291.485,298.412,298.206,443.234,345.479,309.198,323.751,386.797,293.502,293.298,293.482,293.365
65,0.018055556,389.231,293.455,302.073,293.615,291.485,298.412,298.206,443.234,345.479,309.198,323.751,386.797,293.502,293.298,293.482,293.365
66,0.018333333,389.231,293.455,302.073,293.615,291.485,298.412,298.206,443.234,345.479,309.198,323.751,386.797,293.502,293.298,293.482,293.365
67,0.018611111,397.012,293.447,303.909,293.616,291.495,298.389,298.205,455.27,352.458,312.209,328.131,395.929,293.508,293.305,293.485,293.371
68,0.018888889,397.012,293.447,303.909,293.616,291.495,298.389,298.205,455.27,352.458,312.209,328.131,395.929,293.508,293.305,293.485,293.371
69,0.019166667,397.012,293.447,303.909,293.616,291.495,298.389,298.205,455.27,352.458,312.209,328.131,395.929,293.508,293.305,293.485,293.371
70,0.019444444,397.012,293.447,303.909,293.616,291.495,298.389,298.205,455.27,352.458,312.209,328.131,395.929,293.508,293.305,293.485,293.371
71,0.019722222,404.578,293.457,305.838,293.652,291.507,298.383,298.191,466.899,359.453,315.342,332.568,404.91,293.516,293.308,293.49,293.378
72,0.02,404.578,293.457,305.838,293.652,291.507,298.383,298.191,466.899,359.453,315.342,332.568,404.91,293.516,293.308,293.49,293.378
73,0.020277778,404.578,293.457,305.838,293.652,291.507,298.383,298.191,466.899,359.453,315.342,332.568,404.91,293.516,293.308,293.49,293.378
74,0.020555556,411.819,293.459,307.811,293.659,291.527,298.382,298.176,478.067,366.395,318.565,336.995,413.669,293.53,293.309,293.5,293.38
75,0.020833333,411.819,293.459,307.811,293.659,291.527,298.382,298.176,478.067,366.395,318.565,336.995,413.669,293.53,293.309,293.5,293.38
76,0.021111111,411.819,293.459,307.811,293.659,291.527,298.382,298.176,478.067,366.395,318.565,336.995,413.669,293.53,293.309,293.5,293.38
77,0.021388889,411.819,293.459,307.811,293.659,291.527,298.382,298.176,478.067,366.395,318.565,336.995,413.669,293.53,293.309,293.5,293.38
78,0.021666667,419.153,293.46,309.861,293.695,291.549,298.377,298.169,489.332,373.438,321.878,341.447,422.393,293.525,293.318,293.492,293.383
79,0.021944444,419.153,293.46,309.861,293.695,291.549,298.377,298.169,489.332,373.438,321.878,341.447,422.393,293.525,293.318,293.492,293.383
80,0.022222222,419.153,293.46,309.861,293.695,291.549,298.377,298.169,489.332,373.438,321.878,341.447,422.393,293.525,293.318,293.492,293.383
81,0.0225,426.418,293.462,311.917,293.707,291.547,298.353,298.145,500.405,380.506,325.248,346.146,431.011,293.523,293.324,293.493,293.381
82,0.022777778,426.418,293.462,311.917,293.707,291.547,298.353,298.145,500.405,380.506,325.248,346.146,431.011,293.523,293.324,293.493,293.381
83,0.023055556,426.418,293.462,311.917,293.707,291.547,298.353,298.145,500.405,380.506,325.248,346.146,431.011,293.523,293.324,293.493,293.381
84,0.023333333,426.418,293.462,311.917,293.707,291.547,298.353,298.145,500.405,380.506,325.248,346.146,431.011,293.523,293.324,293.493,293.381
85,0.023611111,433.706,293.464,313.991,293.719,291.548,298.336,298.143,511.489,387.689,328.724,350.721,439.677,293.54,293.328,293.487,293.386
86,0.023888889,433.706,293.464,313.991,293.719,291.548,298.336,298.143,511.489,387.689,328.724,350.721,439.677,293.54,293.328,293.487,293.386
87,0.024166667,433.706,293.464,313.991,293.719,291.548,298.336,298.143,511.489,387.689,328.724,350.721,439.677,293.54,293.328,293.487,293.386
88,0.024444444,440.564,293.473,315.958,293.749,291.556,298.356,298.133,521.939,394.677,332.124,355.149,448.019,293.541,293.324,293.493,293.378
89,0.024722222,440.564,293.473,315.958,293.749,291.556,298.356,298.133,521.939,394.677,332.124,355.149,448.019,293.541,293.324,293.493,293.378
90,0.025,440.564,293.473,315.958,293.749,291.556,298.356,298.133,521.939,394.677,332.124,355.149,448.019,293.541,293.324,293.493,293.378
91,0.025277778,440.564,293.473,315.958,293.749,291.556,298.356,298.133,521.939,394.677,332.124,355.149,448.019,293.541,293.324,293.493,293.378
92,0.025555556,447.542,293.458,317.995,293.773,291.555,298.331,298.124,532.592,402.009,335.728,359.802,456.62,293.541,293.335,293.499,293.374
93,0.025833333,447.542,293.458,317.995,293.773,291.555,298.331,298.124,532.592,402.009,335.728,359.802,456.62,293.541,293.335,293.499,293.374
94,0.026111111,447.542,293.458,317.995,293.773,291.555,298.331,298.124,532.592,402.009,335.728,359.802,456.62,293.541,293.335,293.499,293.374
95,0.026388889,447.542,293.458,317.995,293.773,291.555,298.331,298.124,532.592,402.009,335.728,359.802,456.62,293.541,293.335,293.499,293.374
96,0.026666667,454.514,293.457,319.97,293.792,291.557,298.326,298.109,542.992,409.147,339.261,364.288,464.873,293.543,293.337,293.503,293.382
97,0.026944444,454.514,293.457,319.97,293.792,291.557,298.326,298.109,542.992,409.147,339.261,364.288,464.873,293.543,293.337,293.503,293.382
98,0.027222222,454.514,293.457,319.97,293.792,291.557,298.326,298.109,542.992,409.147,339.261,364.288,464.873,293.543,293.337,293.503,293.382
99,0.0275,461.189,293.453,321.92,293.821,291.581,298.311,298.107,552.832,416.088,342.689,368.618,472.906,293.545,293.333,293.494,293.388
100,0.027777778,461.189,293.453,321.92,293.821,291.581,298.311,298.107,552.832,416.088,342.689,368.618,472.906,293.545,293.333,293.494,293.388
101,0.028055556,461.189,293.453,321.92,293.821,291.581,298.311,298.107,552.832,416.088,342.689,368.618,472.906,293.545,293.333,293.494,293.388
102,0.028333333,468.084,293.467,323.83,293.863,291.606,298.316,298.09,562.77,423.212,346.235,373.046,480.996,293.554,293.341,293.502,293.384
