% Model:              Cav_Hex_validation_v7.0 - full receiver.mph
% Version:            COMSOL 6.0.0.354
% Date:               Apr 14 2025, 10:47
% Table:              T03 (gas) - exp. 67 - 
% Time (hr)                                       T03 (K)
0.071666724                                       412.71
0.071944502                                       413.931
0.07222228                                        413.931
0.072500058                                       413.931
0.072777836                                       415.109
0.073055614                                       415.109
0.073333392                                       415.109
0.07361117                                        415.109
0.073888948                                       416.391
0.074166726                                       416.391
0.074444504                                       416.391
0.074722282                                       417.783
0.07500006                                        417.783
0.075277838                                       417.783
0.075555616                                       417.783
0.075833394                                       420.993
0.076111172                                       420.993
0.07638895                                        420.993
0.076666728                                       423.066
0.076944506                                       423.066
0.077222284                                       423.066
0.077500062                                       423.066
0.07777784                                        424.725
0.078055618                                       424.725
0.078333396                                       424.725
0.078611174                                       426.096
0.078888952                                       426.096
0.07916673                                        426.096
0.079444508                                       426.096
0.079722286                                       427.533
0.080000064                                       427.533
0.080277842                                       427.533
0.08055562                                        429.315
0.080833398                                       429.315
0.081111176                                       429.315
0.081388954                                       429.315
0.081666732                                       430.623
0.08194451                                        430.623
0.082222288                                       430.623
0.082500066                                       432.002
0.082777844                                       432.002
0.083055622                                       432.002
0.0833334                                         433.739
0.083611178                                       433.739
0.083888956                                       433.739
0.084166734                                       433.739
0.084444512                                       435.044
0.08472229                                        435.044
0.085000068                                       435.044
0.085277846                                       436.801
0.085555624                                       436.801
0.085833402                                       436.801
0.08611118                                        436.801
0.086388958                                       438.276
0.086666736                                       438.276
0.086944514                                       438.276
0.087222292                                       439.749
0.08750007                                        439.749
0.087777848                                       439.749
0.088055626                                       439.749
0.088333404                                       441.131
0.088611182                                       441.131
0.08888896                                        441.131
0.089166738                                       442.348
0.089444516                                       442.348
0.089722294                                       442.348
0.090000072                                       442.348
0.09027785                                        443.527
0.090555628                                       443.527
0.090833406                                       443.527
0.091111184                                       444.944
0.091388962                                       444.944
0.09166674                                        444.944
0.091944518                                       446.265
0.092222296                                       446.265
0.092500074                                       446.265
0.092777852                                       446.265
0.09305563                                        447.471
0.093333408                                       447.471
0.093611186                                       447.471
0.093888964                                       448.869
0.094166742                                       448.869
0.09444452                                        448.869
0.094722298                                       448.869
0.095000076                                       449.918
0.095277854                                       449.918
0.095555632                                       449.918
0.09583341                                        449.918
0.096111188                                       451.485
0.096388966                                       451.485
0.096666744                                       451.485
0.096944522                                       452.733
0.0972223                                         452.733
0.097500078                                       452.733
0.097777856                                       453.734
0.098055634                                       453.734
0.098333412                                       453.734
0.09861119                                        453.734
0.098888968                                       455.16
0.099166746                                       455.16
0.099444524                                       455.16
0.099722302                                       456.606
0.10000008                                        456.606
0.100277858                                       456.606
0.100555636                                       456.606
0.100833414                                       457.213
0.101111192                                       457.213
0.10138897                                        457.213
0.101666748                                       458.563
0.101944526                                       458.563
0.102222304                                       458.563
0.102500082                                       458.563
0.10277786                                        459.978
0.103055638                                       459.978
0.103333416                                       459.978
0.103611194                                       461.296
0.103888972                                       461.296
0.10416675                                        461.296
0.104444528                                       461.296
0.104722306                                       462.589
0.105000084                                       462.589
0.105277862                                       462.589
0.10555564                                        464.176
0.105833418                                       464.176
0.106111196                                       464.176
0.106388974                                       464.176
0.106666752                                       465.382
0.10694453                                        465.382
0.107222308                                       465.382
0.107500086                                       465.38
0.107777864                                       465.38
0.108055642                                       465.38
0.10833342                                        465.38
0.108611198                                       467.641
0.108888976                                       467.641
0.109166754                                       467.641
0.109444532                                       468.088
0.10972231                                        468.088
0.110000088                                       468.088
0.110277866                                       468.088
0.110555644                                       469.718
0.110833422                                       469.718
0.1111112                                         469.718
0.111388978                                       471.31
0.111666756                                       471.31
0.111944534                                       471.31
0.112222312                                       471.31
0.11250009                                        472.686
0.112777868                                       472.686
0.113055646                                       472.686
0.113333424                                       473.792
0.113611202                                       473.792
0.11388898                                        473.792
0.114166758                                       473.792
0.114444536                                       475.001
0.114722314                                       475.001
0.115000092                                       475.001
0.11527787                                        476.3
0.115555648                                       476.3
0.115833426                                       476.3
0.116111204                                       477.316
0.116388982                                       477.316
0.11666676                                        477.316
0.116944538                                       477.316
0.117222316                                       478.523
0.117500094                                       478.523
0.117777872                                       478.523
0.11805565                                        478.523
0.118333428                                       479.718
0.118611206                                       479.718
0.118888984                                       479.718
0.119166762                                       480.969
0.11944454                                        480.969
0.119722318                                       480.969
0.120000096                                       480.969
0.120277874                                       481.88
0.120555652                                       481.88
0.12083343                                        481.88
0.121111208                                       483.043
0.121388986                                       483.043
0.121666764                                       483.043
0.121944542                                       483.804
0.12222232                                        483.804
0.122500098                                       483.804
0.122777876                                       483.804
0.123055654                                       484.899
0.123333432                                       484.899
0.12361121                                        484.899
0.123888988                                       485.968
0.124166766                                       485.968
0.124444544                                       485.968
0.124722322                                       485.968
0.1250001                                         487.565
0.125277878                                       487.565
0.125555656                                       487.565
0.125833434                                       488.737
0.126111212                                       488.737
0.12638899                                        488.737
0.126666768                                       488.737
0.126944546                                       489.858
0.127222324                                       489.858
0.127500102                                       489.858
0.12777788                                        490.948
0.128055658                                       490.948
0.128333436                                       490.948
0.128611214                                       490.948
0.128888992                                       492.259
0.12916677                                        492.259
0.129444548                                       492.259
0.129722326                                       493.398
0.130000104                                       493.398
0.130277882                                       493.398
0.13055566                                        493.398
0.130833438                                       494.013
0.131111216                                       494.013
0.131388994                                       494.013
0.131666772                                       494.93
0.13194455                                        494.93
0.132222328                                       494.93
0.132500106                                       494.93
0.132777884                                       495.737
0.133055662                                       495.737
0.13333344                                        495.737
0.133611218                                       496.921
0.133888996                                       496.921
0.134166774                                       496.921
0.134444552                                       496.921
0.13472233                                        497.761
0.135000108                                       497.761
0.135277886                                       497.761
0.135555664                                       499.129
0.135833442                                       499.129
0.13611122                                        499.129
0.136388998                                       500.203
0.136666776                                       500.203
0.136944554                                       500.203
0.137222332                                       500.203
0.13750011                                        501.385
0.137777888                                       501.385
0.138055666                                       501.385
0.138333444                                       502.529
0.138611222                                       502.529
0.138889                                          502.529
0.139166778                                       502.529
0.139444556                                       503.584
0.139722334                                       503.584
0.140000112                                       503.584
0.14027789                                        504.586
0.140555668                                       504.586
0.140833446                                       504.586
0.141111224                                       504.586
0.141389002                                       505.555
0.14166678                                        505.555
0.141944558                                       505.555
0.142222336                                       506.705
0.142500114                                       506.705
0.142777892                                       506.705
0.14305567                                        506.705
0.143333448                                       507.856
0.143611226                                       507.856
0.143889004                                       507.856
0.144166782                                       509.219
0.14444456                                        509.219
0.144722338                                       509.219
0.145000116                                       509.219
0.145277894                                       510.158
0.145555672                                       510.158
0.14583345                                        510.158
0.146111228                                       511.052
0.146389006                                       511.052
0.146666784                                       511.052
0.146944562                                       511.052
0.14722234                                        512.446
0.147500118                                       512.446
0.147777896                                       512.446
0.148055674                                       513.183
0.148333452                                       513.183
0.14861123                                        513.183
0.148889008                                       513.183
0.149166786                                       514.179
0.149444564                                       514.179
0.149722342                                       514.179
0.15000012                                        515.046
0.150277898                                       515.046
0.150555676                                       515.046
0.150833454                                       515.046
0.151111232                                       515.932
0.15138901                                        515.932
0.151666788                                       515.932
0.151944566                                       516.115
0.152222344                                       516.115
0.152500122                                       516.115
0.1527779                                         516.115
0.153055678                                       516.81
0.153333456                                       516.81
0.153611234                                       516.81
0.153889012                                       517
0.15416679                                        517
0.154444568                                       517
0.154722346                                       517
0.155000124                                       518.141
0.155277902                                       518.141
0.15555568                                        518.141
0.155833458                                       518.875
0.156111236                                       518.875
0.156389014                                       518.875
0.156666792                                       518.875
0.15694457                                        520.237
0.157222348                                       520.237
0.157500126                                       520.237
0.157777904                                       521.521
0.158055682                                       521.521
0.15833346                                        521.521
0.158611238                                       521.521
0.158889016                                       522.261
0.159166794                                       522.261
0.159444572                                       522.261
0.15972235                                        523.676
0.160000128                                       523.676
0.160277906                                       523.676
0.160555684                                       524.765
0.160833462                                       524.765
0.16111124                                        524.765
0.161389018                                       524.765
0.161666796                                       525.363
0.161944574                                       525.363
0.162222352                                       525.363
0.16250013                                        527.021
0.162777908                                       527.021
0.163055686                                       527.021
0.163333464                                       527.021
0.163611242                                       527.866
0.16388902                                        527.866
0.164166798                                       527.866
0.164444576                                       528.872
0.164722354                                       528.872
0.165000132                                       528.872
0.16527791                                        528.872
0.165555688                                       529.731
0.165833466                                       529.731
0.166111244                                       529.731
0.166389022                                       530.937
0.1666668                                         530.937
0.166944578                                       530.937
0.167222356                                       530.937
0.167500134                                       531.821
0.167777912                                       531.821
0.16805569                                        531.821
0.168333468                                       532.948
0.168611246                                       532.948
0.168889024                                       532.948
0.169166802                                       532.948
0.16944458                                        533.954
0.169722358                                       533.954
0.170000136                                       533.954
0.170277914                                       535.074
0.170555692                                       535.074
0.17083347                                        535.074
0.171111248                                       535.074
0.171389026                                       535.89
0.171666804                                       535.89
0.171944582                                       535.89
0.17222236                                        536.413
0.172500138                                       536.413
0.172777916                                       536.413
0.173055694                                       536.413
0.173333472                                       537.446
0.17361125                                        537.446
0.173889028                                       537.446
0.174166806                                       538.354
0.174444584                                       538.354
0.174722362                                       538.354
0.17500014                                        538.354
0.175277918                                       539.607
0.175555696                                       539.607
0.175833474                                       539.607
0.176111252                                       540.546
0.17638903                                        540.546
0.176666808                                       540.546
0.176944586                                       540.546
0.177222364                                       541.425
0.177500142                                       541.425
0.17777792                                        541.425
0.178055698                                       542.427
0.178333476                                       542.427
0.178611254                                       542.427
0.178889032                                       542.427
0.17916681                                        543.277
0.179444588                                       543.277
0.179722366                                       543.277
0.180000144                                       544.192
0.180277922                                       544.192
0.1805557                                         544.192
0.180833478                                       544.192
0.181111256                                       545.135
0.181389034                                       545.135
0.181666812                                       545.135
0.18194459                                        546.02
0.182222368                                       546.02
0.182500146                                       546.02
0.182777924                                       546.02
0.183055702                                       546.887
0.18333348                                        546.887
0.183611258                                       546.887
0.183889036                                       547.639
0.184166814                                       547.639
0.184444592                                       547.639
0.18472237                                        547.639
0.185000148                                       548.693
0.185277926                                       548.693
0.185555704                                       548.693
0.185833482                                       549.601
0.18611126                                        549.601
0.186389038                                       549.601
0.186666816                                       549.601
