time,hour,T2,T3,T8,T9,T10,T11,T12,T13
25,0.006944444,293.406,296.578,296.559,296.123,296.324,296.248,296.247,293.435
26,0.007222222,293.406,296.578,296.559,296.123,296.324,296.248,296.247,293.435
27,0.0075,293.406,296.578,296.559,296.123,296.324,296.248,296.247,293.435
28,0.007777778,293.401,296.939,302.083,296.19,296.408,297.841,298.49,293.426
29,0.008055556,293.401,296.939,302.083,296.19,296.408,297.841,298.49,293.426
30,0.008333333,293.401,296.939,302.083,296.19,296.408,297.841,298.49,293.426
31,0.008611111,293.401,296.939,302.083,296.19,296.408,297.841,298.49,293.426
32,0.008888889,293.41,297.235,315.162,296.774,296.547,298.449,301.359,293.433
33,0.009166667,293.41,297.235,315.162,296.774,296.547,298.449,301.359,293.433
34,0.009444444,293.41,297.235,315.162,296.774,296.547,298.449,301.359,293.433
35,0.009722222,293.407,297.551,329.313,298.366,296.759,299.465,306.7,293.434
36,0.01,293.407,297.551,329.313,298.366,296.759,299.465,306.7,293.434
37,0.010277778,293.407,297.551,329.313,298.366,296.759,299.465,306.7,293.434
38,0.010555556,293.404,297.921,343.488,301.262,297.136,300.907,314.07,293.435
39,0.010833333,293.404,297.921,343.488,301.262,297.136,300.907,314.07,293.435
40,0.011111111,293.404,297.921,343.488,301.262,297.136,300.907,314.07,293.435
41,0.011388889,293.404,297.921,343.488,301.262,297.136,300.907,314.07,293.435
42,0.011666667,293.406,298.344,357.053,305.288,297.774,303.023,322.525,293.431
43,0.011944444,293.406,298.344,357.053,305.288,297.774,303.023,322.525,293.431
44,0.012222222,293.406,298.344,357.053,305.288,297.774,303.023,322.525,293.431
45,0.0125,293.406,298.344,357.053,305.288,297.774,303.023,322.525,293.431
46,0.012777778,293.412,299.051,370.585,310.399,298.816,305.809,331.917,293.426
47,0.013055556,293.412,299.051,370.585,310.399,298.816,305.809,331.917,293.426
48,0.013333333,293.412,299.051,370.585,310.399,298.816,305.809,331.917,293.426
49,0.013611111,293.414,299.786,383.56,316.138,300.254,308.999,341.48,293.454
50,0.013888889,293.414,299.786,383.56,316.138,300.254,308.999,341.48,293.454
51,0.014166667,293.414,299.786,383.56,316.138,300.254,308.999,341.48,293.454
52,0.014444444,293.408,300.82,396.529,322.474,302.08,312.726,351.269,293.438
53,0.014722222,293.408,300.82,396.529,322.474,302.08,312.726,351.269,293.438
54,0.015,293.408,300.82,396.529,322.474,302.08,312.726,351.269,293.438
55,0.015277778,293.408,300.82,396.529,322.474,302.08,312.726,351.269,293.438
56,0.015555556,293.419,302.249,409.418,329.412,304.375,316.941,361.362,293.455
57,0.015833333,293.419,302.249,409.418,329.412,304.375,316.941,361.362,293.455
58,0.016111111,293.419,302.249,409.418,329.412,304.375,316.941,361.362,293.455
59,0.016388889,293.415,303.903,421.521,336.423,306.901,321.323,371.128,293.471
60,0.016666667,293.415,303.903,421.521,336.423,306.901,321.323,371.128,293.471
61,0.016944444,293.415,303.903,421.521,336.423,306.901,321.323,371.128,293.471
62,0.017222222,293.415,303.903,421.521,336.423,306.901,321.323,371.128,293.471
63,0.0175,293.417,305.731,433.592,343.764,309.76,325.936,380.93,293.468
64,0.017777778,293.417,305.731,433.592,343.764,309.76,325.936,380.93,293.468
65,0.018055556,293.417,305.731,433.592,343.764,309.76,325.936,380.93,293.468
66,0.018333333,293.41,307.677,445.483,351.28,312.881,330.793,390.687,293.466
67,0.018611111,293.41,307.677,445.483,351.28,312.881,330.793,390.687,293.466
68,0.018888889,293.41,307.677,445.483,351.28,312.881,330.793,390.687,293.466
69,0.019166667,293.41,307.677,445.483,351.28,312.881,330.793,390.687,293.466
70,0.019444444,293.417,309.644,456.739,358.717,316.131,335.556,400.066,293.469
71,0.019722222,293.417,309.644,456.739,358.717,316.131,335.556,400.066,293.469
72,0.02,293.417,309.644,456.739,358.717,316.131,335.556,400.066,293.469
73,0.020277778,293.414,311.821,468.337,366.517,319.678,340.675,409.714,293.48
74,0.020555556,293.414,311.821,468.337,366.517,319.678,340.675,409.714,293.48
75,0.020833333,293.414,311.821,468.337,366.517,319.678,340.675,409.714,293.48
76,0.021111111,293.414,311.821,468.337,366.517,319.678,340.675,409.714,293.48
77,0.021388889,293.43,314.104,479.606,374.458,323.407,345.931,419.41,293.5
78,0.021666667,293.43,314.104,479.606,374.458,323.407,345.931,419.41,293.5
79,0.021944444,293.43,314.104,479.606,374.458,323.407,345.931,419.41,293.5
80,0.022222222,293.419,316.394,490.628,382.319,327.186,351.039,428.789,293.492
81,0.0225,293.419,316.394,490.628,382.319,327.186,351.039,428.789,293.492
82,0.022777778,293.419,316.394,490.628,382.319,327.186,351.039,428.789,293.492
83,0.023055556,293.419,316.394,490.628,382.319,327.186,351.039,428.789,293.492
84,0.023333333,293.428,318.675,500.875,389.952,330.955,356.099,437.798,293.49
85,0.023611111,293.428,318.675,500.875,389.952,330.955,356.099,437.798,293.49
86,0.023888889,293.428,318.675,500.875,389.952,330.955,356.099,437.798,293.49
87,0.024166667,293.436,321.123,511.274,397.792,334.889,361.308,446.919,293.514
88,0.024444444,293.436,321.123,511.274,397.792,334.889,361.308,446.919,293.514
89,0.024722222,293.436,321.123,511.274,397.792,334.889,361.308,446.919,293.514
90,0.025,293.436,321.123,511.274,397.792,334.889,361.308,446.919,293.514
91,0.025277778,293.436,323.408,521.243,405.554,338.867,366.39,455.895,293.523
92,0.025555556,293.436,323.408,521.243,405.554,338.867,366.39,455.895,293.523
93,0.025833333,293.436,323.408,521.243,405.554,338.867,366.39,455.895,293.523
94,0.026111111,293.437,325.822,531.255,413.255,342.838,371.55,464.719,293.533
95,0.026388889,293.437,325.822,531.255,413.255,342.838,371.55,464.719,293.533
96,0.026666667,293.437,325.822,531.255,413.255,342.838,371.55,464.719,293.533
97,0.026944444,293.437,325.822,531.255,413.255,342.838,371.55,464.719,293.533
98,0.027222222,293.438,327.391,540.75,420.83,346.761,376.486,473.256,293.539
99,0.0275,293.438,327.391,540.75,420.83,346.761,376.486,473.256,293.539
100,0.027777778,293.438,327.391,540.75,420.83,346.761,376.486,473.256,293.539
101,0.028055556,293.435,329.238,550.133,428.502,350.747,381.461,481.835,293.54
102,0.028333333,293.435,329.238,550.133,428.502,350.747,381.461,481.835,293.54
103,0.028611111,293.435,329.238,550.133,428.502,350.747,381.461,481.835,293.54
104,0.028888889,293.437,332.061,559.578,436.051,354.65,386.406,490.147,293.558
105,0.029166667,293.437,332.061,559.578,436.051,354.65,386.406,490.147,293.558
106,0.029444444,293.437,332.061,559.578,436.051,354.65,386.406,490.147,293.558
107,0.029722222,293.437,332.061,559.578,436.051,354.65,386.406,490.147,293.558
108,0.03,293.44,333.925,568.58,443.668,358.57,391.316,498.489,293.558
109,0.030277778,293.44,333.925,568.58,443.668,358.57,391.316,498.489,293.558
110,0.030555556,293.44,333.925,568.58,443.668,358.57,391.316,498.489,293.558
111,0.030833333,293.446,336.106,577.044,451.277,362.474,396.092,506.704,293.57
112,0.031111111,293.446,336.106,577.044,451.277,362.474,396.092,506.704,293.57
113,0.031388889,293.446,336.106,577.044,451.277,362.474,396.092,506.704,293.57
114,0.031666667,293.446,336.106,577.044,451.277,362.474,396.092,506.704,293.57
115,0.031944444,293.433,339,585.905,458.894,366.407,400.965,514.834,293.559
116,0.032222222,293.433,339,585.905,458.894,366.407,400.965,514.834,293.559
