time,hour,T2,T3,T4,T8,T9,T10,T11,T12
0,0,294.179,294.347,294.395,295.871,294.422,294.365,294.279,294.484
1,0.000277778,294.179,294.347,294.395,295.871,294.422,294.365,294.279,294.484
2,0.000555556,294.179,294.347,294.395,295.871,294.422,294.365,294.279,294.484
3,0.000833333,294.189,294.355,294.392,295.853,294.435,294.373,294.287,294.485
4,0.001111111,294.189,294.355,294.392,295.853,294.435,294.373,294.287,294.485
5,0.001388889,294.189,294.355,294.392,295.853,294.435,294.373,294.287,294.485
6,0.001666667,294.189,294.355,294.392,295.853,294.435,294.373,294.287,294.485
7,0.001944444,294.173,294.345,294.394,295.835,294.427,294.379,294.297,294.466
8,0.002222222,294.173,294.345,294.394,295.835,294.427,294.379,294.297,294.466
9,0.0025,294.173,294.345,294.394,295.835,294.427,294.379,294.297,294.466
10,0.002777778,294.193,294.372,294.405,295.967,294.452,294.414,294.716,295.01
11,0.003055556,294.193,294.372,294.405,295.967,294.452,294.414,294.716,295.01
12,0.003333333,294.193,294.372,294.405,295.967,294.452,294.414,294.716,295.01
13,0.003611111,294.193,294.372,294.405,295.967,294.452,294.414,294.716,295.01
14,0.003888889,294.178,294.607,294.391,298.369,294.489,294.449,295.148,295.413
15,0.004166667,294.178,294.607,294.391,298.369,294.489,294.449,295.148,295.413
16,0.004444444,294.178,294.607,294.391,298.369,294.489,294.449,295.148,295.413
17,0.004722222,294.18,294.843,294.393,302.276,294.699,294.53,295.284,296.411
18,0.005,294.18,294.843,294.393,302.276,294.699,294.53,295.284,296.411
19,0.005277778,294.18,294.843,294.393,302.276,294.699,294.53,295.284,296.411
20,0.005555556,294.18,294.843,294.393,302.276,294.699,294.53,295.284,296.411
21,0.005833333,294.186,294.937,294.409,306.306,295.19,294.597,295.449,297.991
22,0.006111111,294.186,294.937,294.409,306.306,295.19,294.597,295.449,297.991
23,0.006388889,294.186,294.937,294.409,306.306,295.19,294.597,295.449,297.991
24,0.006666667,294.183,294.974,294.385,310.324,296.017,294.691,295.644,300.339
25,0.006944444,294.183,294.974,294.385,310.324,296.017,294.691,295.644,300.339
26,0.007222222,294.183,294.974,294.385,310.324,296.017,294.691,295.644,300.339
27,0.0075,294.183,294.974,294.385,310.324,296.017,294.691,295.644,300.339
28,0.007777778,294.194,294.858,294.385,314.25,297.237,294.842,296.081,303.285
29,0.008055556,294.194,294.858,294.385,314.25,297.237,294.842,296.081,303.285
30,0.008333333,294.194,294.858,294.385,314.25,297.237,294.842,296.081,303.285
31,0.008611111,294.183,295.083,294.378,317.872,298.704,295.059,296.793,306.388
32,0.008888889,294.183,295.083,294.378,317.872,298.704,295.059,296.793,306.388
33,0.009166667,294.183,295.083,294.378,317.872,298.704,295.059,296.793,306.388
34,0.009444444,294.183,295.083,294.378,317.872,298.704,295.059,296.793,306.388
35,0.009722222,294.183,295.384,294.397,321.426,300.454,295.459,297.539,309.655
36,0.01,294.183,295.384,294.397,321.426,300.454,295.459,297.539,309.655
37,0.010277778,294.183,295.384,294.397,321.426,300.454,295.459,297.539,309.655
38,0.010555556,294.188,295.525,294.399,325.091,302.439,295.957,298.744,313.138
39,0.010833333,294.188,295.525,294.399,325.091,302.439,295.957,298.744,313.138
40,0.011111111,294.188,295.525,294.399,325.091,302.439,295.957,298.744,313.138
41,0.011388889,294.188,295.525,294.399,325.091,302.439,295.957,298.744,313.138
42,0.011666667,294.195,295.865,294.392,328.643,304.564,296.573,299.884,316.641
43,0.011944444,294.195,295.865,294.392,328.643,304.564,296.573,299.884,316.641
44,0.012222222,294.195,295.865,294.392,328.643,304.564,296.573,299.884,316.641
45,0.0125,294.192,295.999,294.399,332.316,306.935,297.35,301.355,320.373
46,0.012777778,294.192,295.999,294.399,332.316,306.935,297.35,301.355,320.373
47,0.013055556,294.192,295.999,294.399,332.316,306.935,297.35,301.355,320.373
48,0.013333333,294.192,295.999,294.399,332.316,306.935,297.35,301.355,320.373
49,0.013611111,294.194,296.461,294.402,335.716,309.332,298.218,302.858,323.963
50,0.013888889,294.194,296.461,294.402,335.716,309.332,298.218,302.858,323.963
51,0.014166667,294.194,296.461,294.402,335.716,309.332,298.218,302.858,323.963
52,0.014444444,294.192,297.14,294.409,339.015,311.795,299.198,304.524,327.566
53,0.014722222,294.192,297.14,294.409,339.015,311.795,299.198,304.524,327.566
54,0.015,294.192,297.14,294.409,339.015,311.795,299.198,304.524,327.566
55,0.015277778,294.188,297.729,294.401,342.354,314.42,300.305,306.303,331.275
56,0.015555556,294.188,297.729,294.401,342.354,314.42,300.305,306.303,331.275
57,0.015833333,294.188,297.729,294.401,342.354,314.42,300.305,306.303,331.275
58,0.016111111,294.188,297.729,294.401,342.354,314.42,300.305,306.303,331.275
59,0.016388889,294.178,298.511,294.408,345.579,317.083,301.478,308.137,334.894
60,0.016666667,294.178,298.511,294.408,345.579,317.083,301.478,308.137,334.894
61,0.016944444,294.178,298.511,294.408,345.579,317.083,301.478,308.137,334.894
62,0.017222222,294.178,298.511,294.408,345.579,317.083,301.478,308.137,334.894
63,0.0175,294.197,299.281,294.413,348.777,319.746,302.701,310.011,338.432
64,0.017777778,294.197,299.281,294.413,348.777,319.746,302.701,310.011,338.432
65,0.018055556,294.197,299.281,294.413,348.777,319.746,302.701,310.011,338.432
66,0.018333333,294.186,300.14,294.409,351.979,322.478,304.044,311.975,342.041
67,0.018611111,294.186,300.14,294.409,351.979,322.478,304.044,311.975,342.041
68,0.018888889,294.186,300.14,294.409,351.979,322.478,304.044,311.975,342.041
69,0.019166667,294.195,301.063,294.428,355.067,325.225,305.41,313.981,345.576
70,0.019444444,294.195,301.063,294.428,355.067,325.225,305.41,313.981,345.576
71,0.019722222,294.195,301.063,294.428,355.067,325.225,305.41,313.981,345.576
72,0.02,294.195,301.063,294.428,355.067,325.225,305.41,313.981,345.576
73,0.020277778,294.201,301.973,294.435,358.125,327.984,306.823,315.98,349.046
74,0.020555556,294.201,301.973,294.435,358.125,327.984,306.823,315.98,349.046
75,0.020833333,294.201,301.973,294.435,358.125,327.984,306.823,315.98,349.046
76,0.021111111,294.187,302.913,294.436,361.112,330.652,308.204,317.944,352.391
77,0.021388889,294.187,302.913,294.436,361.112,330.652,308.204,317.944,352.391
78,0.021666667,294.187,302.913,294.436,361.112,330.652,308.204,317.944,352.391
79,0.021944444,294.187,302.913,294.436,361.112,330.652,308.204,317.944,352.391
80,0.022222222,294.191,303.901,294.441,364.205,333.422,309.681,319.979,355.831
81,0.0225,294.191,303.901,294.441,364.205,333.422,309.681,319.979,355.831
82,0.022777778,294.191,303.901,294.441,364.205,333.422,309.681,319.979,355.831
83,0.023055556,294.212,304.91,294.47,367.225,336.19,311.184,322.023,359.221
84,0.023333333,294.212,304.91,294.47,367.225,336.19,311.184,322.023,359.221
85,0.023611111,294.212,304.91,294.47,367.225,336.19,311.184,322.023,359.221
86,0.023888889,294.212,304.91,294.47,367.225,336.19,311.184,322.023,359.221
87,0.024166667,294.197,305.905,294.465,370.074,338.91,312.654,324.013,362.527
88,0.024444444,294.197,305.905,294.465,370.074,338.91,312.654,324.013,362.527
89,0.024722222,294.197,305.905,294.465,370.074,338.91,312.654,324.013,362.527
90,0.025,294.185,306.916,294.473,372.875,341.62,314.128,325.992,365.754
91,0.025277778,294.185,306.916,294.473,372.875,341.62,314.128,325.992,365.754
92,0.025555556,294.185,306.916,294.473,372.875,341.62,314.128,325.992,365.754
93,0.025833333,294.185,306.916,294.473,372.875,341.62,314.128,325.992,365.754
94,0.026111111,294.204,307.987,294.494,375.957,344.48,315.719,328.114,369.169
95,0.026388889,294.204,307.987,294.494,375.957,344.48,315.719,328.114,369.169
96,0.026666667,294.204,307.987,294.494,375.957,344.48,315.719,328.114,369.169
97,0.026944444,294.204,309.018,294.498,378.948,347.22,317.249,330.118,372.396
98,0.027222222,294.204,309.018,294.498,378.948,347.22,317.249,330.118,372.396
99,0.0275,294.204,309.018,294.498,378.948,347.22,317.249,330.118,372.396
100,0.027777778,294.204,309.018,294.498,378.948,347.22,317.249,330.118,372.396
101,0.028055556,294.208,310.054,294.513,381.854,349.977,318.784,332.105,375.634
102,0.028333333,294.208,310.054,294.513,381.854,349.977,318.784,332.105,375.634
103,0.028611111,294.208,310.054,294.513,381.854,349.977,318.784,332.105,375.634
104,0.028888889,294.202,311.088,294.53,384.795,352.687,320.298,334.074,378.789
105,0.029166667,294.202,311.088,294.53,384.795,352.687,320.298,334.074,378.789
106,0.029444444,294.202,311.088,294.53,384.795,352.687,320.298,334.074,378.789
107,0.029722222,294.202,311.088,294.53,384.795,352.687,320.298,334.074,378.789
108,0.03,294.207,312.147,294.538,387.783,355.482,321.882,336.111,382.026
109,0.030277778,294.207,312.147,294.538,387.783,355.482,321.882,336.111,382.026
110,0.030555556,294.207,312.147,294.538,387.783,355.482,321.882,336.111,382.026
111,0.030833333,294.208,313.186,294.547,390.641,358.232,323.403,338.054,385.159
112,0.031111111,294.208,313.186,294.547,390.641,358.232,323.403,338.054,385.159
113,0.031388889,294.208,313.186,294.547,390.641,358.232,323.403,338.054,385.159
114,0.031666667,294.208,313.186,294.547,390.641,358.232,323.403,338.054,385.159
115,0.031944444,294.201,314.203,294.571,393.355,360.954,324.924,340.018,388.256
116,0.032222222,294.201,314.203,294.571,393.355,360.954,324.924,340.018,388.256
117,0.0325,294.201,314.203,294.571,393.355,360.954,324.924,340.018,388.256
118,0.032777778,294.205,315.216,294.577,396.02,363.671,326.459,341.944,391.334
119,0.033055556,294.205,315.216,294.577,396.02,363.671,326.459,341.944,391.334
120,0.033333333,294.205,315.216,294.577,396.02,363.671,326.459,341.944,391.334
121,0.033611111,294.205,315.216,294.577,396.02,363.671,326.459,341.944,391.334
122,0.033888889,294.207,316.248,294.59,398.751,366.358,327.972,343.874,394.333
123,0.034166667,294.207,316.248,294.59,398.751,366.358,327.972,343.874,394.333
124,0.034444444,294.207,316.248,294.59,398.751,366.358,327.972,343.874,394.333
