time,T2
0,294.179
1,294.179
2,294.179
3,294.189
4,294.189
5,294.189
6,294.189
7,294.173
8,294.173
9,294.173
10,294.193
11,294.193
12,294.193
13,294.193
14,294.178
15,294.178
16,294.178
17,294.18
18,294.18
19,294.18
20,294.18
21,294.186
22,294.186
23,294.186
24,294.183
25,294.183
26,294.183
27,294.183
28,294.194
29,294.194
30,294.194
31,294.183
32,294.183
33,294.183
34,294.183
35,294.183
36,294.183
37,294.183
38,294.188
39,294.188
40,294.188
41,294.188
42,294.195
43,294.195
44,294.195
45,294.192
46,294.192
47,294.192
48,294.192
49,294.194
50,294.194
51,294.194
52,294.192
53,294.192
54,294.192
55,294.188
56,294.188
57,294.188
58,294.188
59,294.178
60,294.178
61,294.178
62,294.178
63,294.197
64,294.197
65,294.197
66,294.186
67,294.186
68,294.186
69,294.195
70,294.195
71,294.195
72,294.195
73,294.201
74,294.201
75,294.201
76,294.187
77,294.187
78,294.187
79,294.187
80,294.191
81,294.191
82,294.191
83,294.212
84,294.212
85,294.212
86,294.212
87,294.197
88,294.197
89,294.197
90,294.185
91,294.185
92,294.185
93,294.185
94,294.204
95,294.204
96,294.204
97,294.204
98,294.204
99,294.204
100,294.204
101,294.208
102,294.208
103,294.208
104,294.202
105,294.202
106,294.202
107,294.202
108,294.207
109,294.207
110,294.207
111,294.208
112,294.208
113,294.208
114,294.208
115,294.201
116,294.201
117,294.201
118,294.205
119,294.205
120,294.205
121,294.205
122,294.207
123,294.207
124,294.207
125,294.205
126,294.205
127,294.205
128,294.205
129,294.212
130,294.212
131,294.212
132,294.204
133,294.204
134,294.204
135,294.204
136,294.22
137,294.22
138,294.22
139,294.216
140,294.216
141,294.216
142,294.216
143,294.215
144,294.215
145,294.215
146,294.207
147,294.207
148,294.207
149,294.207
150,294.215
151,294.215
152,294.215
153,294.224
154,294.224
155,294.224
156,294.224
157,294.206
158,294.206
159,294.206
160,294.23
161,294.23
162,294.23
163,294.23
164,294.211
165,294.211
166,294.211
167,294.213
168,294.213
169,294.213
170,294.213
171,294.223
172,294.223
173,294.223
174,294.218
175,294.218
176,294.218
177,294.218
178,294.225
179,294.225
180,294.225
181,294.234
182,294.234
183,294.234
184,294.234
185,294.225
186,294.225
187,294.225
188,294.234
189,294.234
190,294.234
191,294.234
192,294.23
193,294.23
194,294.23
195,294.222
196,294.222
197,294.222
198,294.222
199,294.229
200,294.229
201,294.229
202,294.22
203,294.22
204,294.22
205,294.227
206,294.227
207,294.227
208,294.227
209,294.244
210,294.244
211,294.244
212,294.227
213,294.227
214,294.227
215,294.227
216,294.251
217,294.251
218,294.251
219,294.235
220,294.235
221,294.235
222,294.235
223,294.235
224,294.235
225,294.235
226,294.243
227,294.243
228,294.243
229,294.243
230,294.24
231,294.24
232,294.24
233,294.24
234,294.24
235,294.24
236,294.24
237,294.238
238,294.238
239,294.238
240,294.24
241,294.24
242,294.24
243,294.24
244,294.243
245,294.243
246,294.243
247,294.243
248,294.243
249,294.243
250,294.243
251,294.248
252,294.248
253,294.248
254,294.243
255,294.243
256,294.243
257,294.243
258,294.235
259,294.235
260,294.235
261,294.261
262,294.261
263,294.261
264,294.261
265,294.249
266,294.249
267,294.249
268,294.252
269,294.252
270,294.252
271,294.252
272,294.252
273,294.252
274,294.252
275,294.245
276,294.245
277,294.245
278,294.245
279,294.248
280,294.248
281,294.248
282,294.254
283,294.254
284,294.254
285,294.254
286,294.253
287,294.253
288,294.253
289,294.255
290,294.255
291,294.255
292,294.255
293,294.259
294,294.259
295,294.259
296,294.258
297,294.258
298,294.258
299,294.255
300,294.255
301,294.255
302,294.255
303,294.259
304,294.259
305,294.259
306,294.27
307,294.27
308,294.27
309,294.27
310,294.268
311,294.268
312,294.268
313,294.271
314,294.271
315,294.271
316,294.271
317,294.266
318,294.266
319,294.266
320,294.272
321,294.272
322,294.272
323,294.272
324,294.268
325,294.268
326,294.268
327,294.254
328,294.254
