variant,simulation_id,z_mm,Tside_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_side_W_m_K,UA_over_mcp,effectiveness,Qgas_W,Qcore_side_W
fitted_side_topology,E76,2.74,1076.6526212558178,1203.6671999752073,296.4675,1107.658601747165,1.8428352148420928,67.44918369951412,0.025478807016050386,2.2459248499256907,0.8941703814158382,80.10072824873035,22.71532119430394
fitted_side_topology,E76,8.220000000000002,1104.017361257269,1164.6429874266196,1107.658601747165,1151.720005634168,0.9593319587664368,47.90456977578423,0.027471349359358462,1.4837700342429803,0.7732188978021944,4.677356664792596,10.8423031822596
fitted_side_topology,E76,13.700000000000001,1104.531290916078,1138.2953323717263,1151.720005634168,1141.3761082312224,0.94713090938393,47.58465068203056,0.027509731675422696,1.471912834408445,0.7705139038195401,-1.0995141087467213,6.03837019510395
fitted_side_topology,E76,19.180000000000003,1093.714158543404,1115.9906369346838,1141.3761082312224,1121.689520682907,0.9697951350594038,48.17755336629462,0.026709378703737924,1.493906692155465,0.7755060884372798,-2.0874857514188756,3.983931347391438
fitted_side_topology,E76,24.66,1078.1057491622619,1095.2514468947654,1121.689520682907,1101.022214777242,0.998951685317516,48.93162038182935,0.025582110414352748,1.5220000065909238,0.7817251011280191,-2.184694020459207,3.0663411635188322
fitted_side_topology,E76,30.14,1060.5226292992159,1075.2551692169006,1101.022214777242,1080.7173164729295,1.0295636350502368,49.712941711040415,0.02435073658462006,1.5512543888356944,0.788018100746648,-2.1395333831021714,2.63477137516205
fitted_side_topology,E76,35.620000000000005,1042.1894024798835,1055.6924290298894,1080.7173164729295,1060.8420579938472,1.0608988049322758,50.50189317322442,0.02310959004091564,1.5809461611637732,0.7942196952662017,-2.087541763634331,2.414884875981358
fitted_side_topology,E76,41.1,1023.6380599794284,1036.43274011085,1060.8420579938472,1041.3064601575682,1.0930080445238688,51.29921722625233,0.021897349910190256,1.6111074243951238,0.8003336238202339,-2.0452422438378948,2.2882040132236927
fitted_side_topology,E76,46.580000000000005,1005.0965511493225,1017.4143561424814,1041.3064601575682,1022.0403854663679,1.126029253998189,52.10775151227241,0.0207288701671248,1.6418491256951786,0.8063783197593112,-2.0104539777834227,2.2029195360838707
fitted_side_topology,E76,52.06,986.658767164679,998.6037463368011,1022.0403854663679,1003.0012689533326,1.160080575555072,52.92971745439855,0.01960889950827546,1.6732592319249278,0.8123654764567485,-1.980226856797741,2.136243266636946
fitted_side_topology,E76,57.54,968.3593495460698,979.9793781422304,1003.0012689533326,984.1624298916619,1.1952615355550205,53.76678205850044,0.01853795967899491,1.7054044739235115,0.818301121147955,-1.9528666625931728,2.0781290188107504
fitted_side_topology,E76,63.02,950.20669803766,961.524883195456,984.1624298916619,965.5048272102131,1.2316653536603313,54.62037836591349,0.017514854966087026,1.7383421334350053,0.8241883686351905,-1.9275564117564268,2.024147257646211
fitted_side_topology,E76,68.50000000000001,932.1975414222773,943.2261038406492,965.5048272102131,947.0128386711011,1.269387635689544,55.49191824014215,0.016537739345932886,1.7721279885637087,0.8300290924378043,-1.9039260560996076,1.9723510495453527
fitted_side_topology,E76,73.98000000000002,914.3233480292074,925.0698132398792,947.0128386711011,928.6723153920324,1.3085315451713295,56.38290828533944,0.015604566670224227,1.8068206947236565,0.8358247287528873,-1.8818107650952594,1.92190070954869
fitted_side_topology,E76,79.46000000000002,896.5730875566926,907.0431821064697,928.6723153920324,910.4697426089094,1.3492110314199146,57.29501251855312,0.014713275891944691,1.842484180045851,0.8415766153363615,-1.861133970425353,1.8724745067127542
fitted_side_topology,E76,84.94000000000001,878.9342827637267,889.1336037130895,910.4697426089094,892.3919286278308,1.3915531517991682,58.23008927044765,0.01386185961880903,1.879189063297495,0.847286103139328,-1.8418518803219313,1.824049283668582
fitted_side_topology,E76,90.42000000000002,861.3930864888738,871.3287383469058,892.3919286278308,874.4259846220624,1.4356999766861638,59.19021509692603,0.013048374970624731,1.9170135621734055,0.8529545508611058,-1.8239233510444934,1.7768946329270945
fitted_side_topology,E76,95.90000000000002,843.9334416202041,853.61678639292,874.4259846220624,856.5595558386125,1.4818101614468184,60.17769855232508,0.012270912878376665,1.956043985221807,0.8585832374083813,-1.80728448142995,1.7317719663770064
fitted_side_topology,E76,101.38000000000001,826.5347630329017,835.9871486383857,856.5595558386125,838.7814334196842,1.53005983990059,61.19507742553918,0.01152751392833446,1.996374539962274,0.864173173605683,-1.7918108714339345,1.6904671672009348
fitted_side_topology,E76,106.86000000000001,809.1666152891644,818.4318806035487,838.7814334196842,821.0829240795595,1.580641745133636,62.24507848344825,0.0108159868838703,2.0381056099845094,0.8697247305646603,-1.7772430833040496,1.657002524345307
fitted_side_topology,E76,112.34,791.776943454458,800.9488500344353,821.0829240795595,803.4608397635957,1.6337598394567792,63.33048859990346,0.010133531828745879,2.081338446029106,0.8752368882954079,-1.763028025106586,1.6403062233400898
fitted_side_topology,E76,117.82000000000002,774.2663852475977,783.5485697744697,803.4608397635957,785.923990565342,1.689613027539892,64.45381898113921,0.009475966080032372,2.1261615271926657,0.8807056758385862,-1.7479772500403288,1.660028360827126
fitted_side_topology,E76,123.30000000000003,756.4326899903574,766.2689381513173,785.923990565342,768.5072380833037,1.748353017443336,65.61649304024434,0.008836151434507812,2.1726178067949573,0.8861208871471007,-1.7295322689071302,1.7591172491837601
fitted_side_topology,E76,128.78,737.8515574446965,749.2069030498395,768.5072380833037,751.3017780924977,1.8099819868836298,66.81694976229147,0.008200857735709683,2.220628548921037,0.8914591358633993,-1.7021930929635853,2.030793041978385
fitted_side_topology,E76,134.26000000000002,717.6243469265012,732.5861366560044,751.3017780924977,734.5200392016851,1.8741120381393204,68.0463040171076,0.007544731295102244,2.269819608962569,0.8966691816445173,-1.6541769543915121,2.6757704727593046
