variant,simulation_id,z_mm,Tside_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_side_W_m_K,UA_over_mcp,effectiveness,Qgas_W,Qcore_side_W
initial_side_topology,E80,2.74,660.5495785267157,698.6979524620364,296.5685,526.8835347641475,1.313858587795185,35.24513486380701,0.3953563613403125,0.8503591303942942,0.572738538184767,31.38707865321436,6.612456981206609
initial_side_topology,E80,8.220000000000002,658.1638114327737,674.7649051492097,526.8835347641475,603.7527519597968,1.0001307895798521,31.03082937230195,0.39108798125461774,0.7335593668227166,0.5198032517246274,10.691592153465196,2.8775543153432963
initial_side_topology,E80,13.700000000000001,651.435428085133,660.5351244770137,603.7527519597968,632.4873188743601,0.9316862441011368,30.03588788997714,0.37921594779207846,0.7053155372800051,0.5060473108243357,4.023402564675023,1.5772979219342491
initial_side_topology,E80,19.180000000000003,643.6394182737904,650.2672506181501,632.4873188743601,641.4156834543069,0.9131874692257849,29.76126123496302,0.3657635068337063,0.6974758671432782,0.5021596656615478,1.2526388333466807,1.1488368109748095
initial_side_topology,E80,24.66,635.8041265093086,641.7085240940563,641.4156834543069,641.5627136403873,0.9128243314858464,29.755844477025306,0.35256768047345766,0.6973210537199922,0.5020825873289128,0.020628983007896076,1.023440084111573
initial_side_topology,E80,30.14,628.1814080283314,633.9167151693748,641.5627136403873,637.7115575374789,0.9203910503711306,29.868507396249516,0.3400381992837071,0.7005395620485355,0.5036825625206303,-0.5398881377578915,0.9941307539990185
initial_side_topology,E80,35.620000000000005,620.7813414724155,626.4866914686093,637.7115575374789,632.0310304470157,0.9317777678891478,30.037240307820603,0.3281621110874593,0.7053540987436816,0.5060663579957716,-0.7953774590282182,0.9889381255547633
initial_side_topology,E80,41.1,613.5564166555957,619.2411012353546,632.0310304470157,625.5231077736773,0.945159461106213,30.23432198162909,0.3168370629856058,0.7109686389938599,0.508831797708842,-0.9099635208017786,0.9853560809463576
initial_side_topology,E80,46.580000000000005,606.4580196870503,612.1004307904778,625.5231077736773,618.6534853191437,0.9596931028254212,30.446920354499685,0.3059670801552845,0.7170143075905194,0.5117922798210865,-0.9591360787147529,0.9780285984130118
initial_side_topology,E80,52.06,599.4491506566573,605.0272668781579,618.6534853191437,611.6378813317559,0.9749877877606957,30.669065092888307,0.2954809721879851,0.7233191556847909,0.5148606722967118,-0.9780643868305553,0.9668840305849232
initial_side_topology,E80,57.54,592.5039399080845,598.0022069391943,611.6378813317559,604.5746441040076,0.9908685505286745,30.898047615882106,0.2853291872985795,0.7298047582162837,0.5179969119533558,-0.9832409307427514,0.9530433531988061
initial_side_topology,E80,63.02,585.6043672527941,591.0134392406426,604.5746441040076,597.5067673053809,1.0072660971610015,31.132740494125194,0.27547703017958947,0.7364379346347174,0.5211835430434509,-0.9824308232863892,0.9375827103021522
