simulation_id,flow_lpm,irradiance,power_scale,delivered_power_W,core_solar_W,perim_solar_W,suction_gas_heat_W,core_gas_heat_W,rear_tube_gas_heat_W,gas_heat_W,front_rad_loss_W,cavity_amb_loss_W,flange_loss_W,dE_stored_dt_W,instantaneous_residual_W,steady_flux_gap_W,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T9_minus_T10_model,T9_minus_T10_experiment,mean_htc,weighted_mean_htc
E67,15.2805125,456000.0,1.34,220.58544,175.55767343368206,45.027766566317965,32.232141411523564,108.20953781296781,-24.75064814339074,115.69103108110062,10.86024244930347,9.198561755309758,54.751399062611334,30.0842056516748,0.0,30.084205651674807,892.5504898181297,931.6279999999999,853.0082948484487,991.103,780.8951603011159,878.055,866.7055953836879,966.6659999999999,785.9165479444471,824.995,711.600430163327,763.414,322.9279911551468,326.43699999999995,-39.54219496968096,59.47500000000002,80.78904743924079,141.67099999999994,115.56339054249443,570.1375576756651
E68,12.499871559633025,456000.0,1.34,220.58544,175.55767343368206,45.027766566317965,37.01467231485118,90.6418050757501,-25.829260208034313,101.82721718256697,16.06226500923585,13.866606708174892,58.808484755352275,30.02086634467002,0.0,30.020866344670026,986.3198186898733,1012.649,936.6564843024246,1047.717,847.8990330239867,898.751,952.1489628965933,1020.928,851.627222989473,850.0989999999999,761.6540391203049,773.207,337.48830820767057,338.52,-49.663334387448685,35.0680000000001,100.52173990712026,170.82900000000006,92.47538466196376,419.5161668726319
E69,10.499733944954128,456000.0,1.34,220.58544,175.55767343368206,45.027766566317965,41.40037229183381,75.51328771771531,-26.332065452752616,90.5815945567965,21.93860287436041,23.522633639198677,61.78698598017988,22.75562294946453,0.0,22.755622949464538,1067.745120285234,1058.429,1006.8017150618601,1070.73,902.6679009092171,896.755,1023.2618495158017,1044.378,904.6543324047835,852.837,802.9364131335301,769.76,359.6712425900708,344.308,-60.943405223373816,12.30099999999993,118.60751711101818,191.54099999999994,79.79254193987141,323.1187294169792
E70,9.107139705882352,456000.0,1.34,220.58544,175.55767343368206,45.027766566317965,44.67493545138022,60.857889847034826,-26.09577806588353,79.43704723253151,27.63871762185845,20.415487865680426,62.88077432988115,30.213412950048458,2.842170943040401e-14,30.21341295004848,1131.9009102618552,1152.474,1057.7478987479503,1120.277,938.4078062127014,912.173,1074.9316107903817,1093.725,938.7561340664334,871.483,827.9238440914272,779.518,354.078520944467,352.421,-74.15301151390486,-32.19699999999989,136.17547672394824,222.24199999999996,72.55584548713834,259.6630411884046
E71,7.126846153846151,456000.0,1.34,220.58544,175.55767343368206,45.027766566317965,49.992491000455225,37.742266673207396,-25.186159123089908,62.548598550572706,38.91215535653816,23.27965082113669,64.25059702916838,31.59443824258404,2.842170943040401e-14,31.59443824258406,1233.8077775216216,1203.298,1134.9962226173102,1120.348,990.8023163989816,882.823,1152.246524902469,1095.306,987.7161835693715,847.476,864.5734428697383,753.56,362.2432362474605,356.00399999999996,-98.81155490431138,-82.95000000000005,164.53034133309745,247.83000000000004,65.11885945813881,182.8302196147255
E72,18.707575757575754,304000.0,1.58,173.39552,138.00055921652617,35.39496078347382,22.478250716380632,94.76429042473782,-17.568860484401117,99.67368065671734,4.325490770108729,4.915001312323749,41.13562462000711,23.345722640843018,8.526512829121202e-14,23.345722640843093,709.2368380445108,737.656,680.0437356877629,797.899,628.8107102418228,733.977,689.6610232242174,771.112,633.2028282556532,684.1869999999999,588.2098871598531,652.9549999999999,310.96708590837227,309.928,-29.193102356747886,60.24300000000005,56.45819496856416,86.92500000000007,149.92957087582846,734.5257178494722
E73,13.170870967741934,304000.0,1.58,173.39552,138.00055921652617,35.39496078347382,28.897189294021494,74.3314942352698,-19.176627156816508,84.05205637247478,8.147353475521465,11.906196998958794,47.84211011185147,21.44780304119348,2.842170943040401e-14,21.44780304119351,832.1982903704413,837.694,791.2737622368376,894.482,718.2576909262119,791.76,803.528879770976,867.5509999999999,721.4366465624685,747.4,652.7699442409407,694.626,330.8115268707189,325.12,-40.92452813360376,56.78800000000001,82.09223320850754,120.15099999999995,97.31234220680778,443.90745745936084
E74,9.023245901639344,304000.0,1.58,173.39552,138.00055921652617,35.39496078347382,37.02876456562497,45.84603663978246,-19.488856234078913,63.38594497132853,15.93817336173765,15.094691813293458,52.69689679796466,26.279813055675685,2.842170943040401e-14,26.279813055675703,984.9527013605423,948.538,917.1035768364125,962.509,810.1115688779555,804.0,931.6069587372531,935.491,810.0914560811312,767.8009999999999,715.9199044062555,697.672,338.7750489475494,333.964,-67.84912452412982,13.971000000000004,121.51550265612184,167.69000000000005,69.04658959745305,249.35237864596257
E75,6.944410852713178,304000.0,1.58,173.39552,138.00055921652617,35.39496078347382,42.4189422404075,25.938188133029076,-18.80400119054953,49.55312918288705,23.543210372191503,17.5830786896958,54.455959925193106,28.260141830032545,0.0,28.260141830032552,1085.519251159376,1008.725,992.0838578845758,979.689,859.6806957787851,788.678,1006.8118437433061,954.178,856.3953157571972,757.393,748.5682140118671,681.066,345.226433904833,336.517,-93.43539327480016,-29.036000000000058,150.41652798610892,196.78499999999997,60.282520832972935,171.23056974072722
E76,4.526673611111114,304000.0,1.58,173.39552,138.00055921652617,35.39496078347382,49.62009036331956,-2.693615796916182,-16.47808853081894,30.448386035584438,37.511057731273176,21.705069037886012,54.92567033974499,28.805336855511335,5.684341886080802e-14,28.8053368555114,1217.8661416292457,1067.693,1079.0500734564607,970.472,908.8915448169719,751.1579999999999,1092.1956231120782,947.353,899.7204013819834,726.308,777.5284199736934,647.019,355.13718526835754,338.123,-138.81606817278498,-97.221,192.47522173009486,221.04499999999996,54.3763899878737,102.08259201862973
