metric,value,target,status
Nu_app_prefactor,2.94427408194087e-6,3.1e-4,diagnostic
Nu_app_Re_exponent,2.223023843316731,1.44,diagnostic
Nu_app_log_r2,0.8966411533315137,0.97,diagnostic
Lambda107_intercept,-0.14820706744202888,0.038,diagnostic
Lambda107_slope,0.0005426098817732624,8.3e-4,diagnostic
Lambda107_r2,0.7254372604740759,linear trend,diagnostic
K_loss_min,0.19943463879244328,0.10-0.16,diagnostic
K_loss_max,0.33308646053985885,0.10-0.16,diagnostic
epsilon_mean_min,0.8950433755142926,epsilon*=0.66,diagnostic
epsilon_mean_max,0.9989005665867846,epsilon*=0.66,diagnostic
C_receiver_participating,226.58081658147933,301 +/- 23,below assembly target
C_total_with_rear,280.6229510849584,301 +/- 23,pass
