simulation_id,flow_lpm,irradiance,power_scale,nominal_absorbed_W,scaled_absorbed_W,core_absorbed_W,perim_absorbed_W,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_W_m_K,G_rear_perim_W_m_K,rear_sink_shape,k_core_axial_scale
E67,15.2805125,456000.0,2.357465399862348,131.6928,310.4612194109922,163.1253551514629,147.3358642595293,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,842.4268503321023,931.6279999999999,864.9069065012034,991.103,806.1624117975418,878.055,835.2036252848312,966.6659999999999,774.8560008900008,824.995,660.1654106996897,763.414,322.11898752533756,326.43699999999995,22.48005616910109,59.47500000000002,-36.26443853456044,-53.57299999999998,29.703281216372147,24.437000000000012,31.30641090754102,53.059999999999945,11.242309281151677,0.9720390806838651,114.39178270851372,-18.194150094953883,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E68,12.499871559633025,456000.0,2.357465399862348,131.6928,310.4612194109922,163.1253551514629,147.3358642595293,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,927.8390650841816,1012.649,932.7931520289727,1047.717,841.5892909265579,898.751,905.2640853550107,1020.928,810.0837905446812,850.0989999999999,676.0865994607514,773.207,332.0243121533719,338.52,4.954086944791129,35.0680000000001,-86.24977415762373,-113.89800000000002,27.529066673962006,26.7890000000001,31.505500381876686,48.652000000000044,9.899870525995045,0.9811749082476473,97.02428940515465,-18.495302225084558,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E69,10.499733944954128,456000.0,2.357465399862348,131.6928,310.4612194109922,163.1253551514629,147.3358642595293,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,1002.839007142607,1058.429,986.6234727181861,1070.73,863.7802614983593,896.755,960.5328286732333,1044.378,831.6507015058478,852.837,677.5772586114813,769.76,341.25664525254354,344.308,-16.215534424420866,12.30099999999993,-139.05874564424767,-161.6740000000001,26.090644044952796,26.35200000000009,32.12955999251153,43.918000000000006,8.90091345313783,0.9868362018920345,82.37879113675393,-18.086867753048214,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E70,9.107139705882352,456000.0,2.357465399862348,131.6928,310.4612194109922,163.1253551514629,147.3358642595293,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,1065.039309307761,1152.474,1026.0450415984833,1120.277,875.0794998262166,912.173,1000.9041307634129,1093.725,842.2419423843513,871.483,673.9357403796492,779.518,340.6052363212483,352.421,-38.994267709277665,-32.19699999999989,-189.9598094815443,-240.30099999999993,25.140910835070372,26.552000000000135,32.83755744186533,40.690000000000055,8.16218066579355,0.9903347128632858,70.32910351740696,-17.40896087475725,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E71,7.126846153846151,456000.0,2.357465399862348,131.6928,310.4612194109922,163.1253551514629,147.3358642595293,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,1165.5266097921603,1203.298,1080.8754611814736,1120.348,882.4278516304115,882.823,1055.8597539510934,1095.306,847.7936736511095,847.476,656.3617367003894,753.56,345.2152041234561,356.00399999999996,-84.65114861068673,-82.95000000000005,-283.09875816174883,-320.475,25.015707230380258,25.041999999999916,34.63417797930197,35.34699999999998,7.077808636729579,0.9944115397079156,52.561895225448154,-15.670675694164766,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E72,18.707575757575754,304000.0,2.497415833537226,87.7952,219.2611225885675,115.20617151805901,104.0549510705085,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,640.5524833084178,737.656,660.9004402977359,797.899,633.7793799426503,733.977,638.6970519227301,771.112,611.5373691934547,684.1869999999999,541.8224093981433,652.9549999999999,310.29975471705245,309.928,20.347956989318163,60.24300000000005,-6.773103365767497,-3.6789999999999736,22.20338837500583,26.787000000000035,22.24201074919563,49.79000000000008,13.340031952850714,0.9545357404060282,91.61512252789568,-11.413256840398859,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E73,13.170870967741934,304000.0,2.497415833537226,87.7952,219.2611225885675,115.20617151805901,104.0549510705085,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,742.8748945687585,837.694,745.4618545316135,894.482,681.3460987349233,791.76,725.7869557516439,867.5509999999999,659.4378903215307,747.4,563.077996912243,694.626,322.0266011269953,325.12,2.586959962855076,56.78800000000001,-61.52879583383515,-45.93399999999997,19.67489877996968,26.93100000000004,21.908208413392572,44.360000000000014,10.850931488026445,0.97474772472228,71.46884368397504,-12.01145378453249,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E74,9.023245901639344,304000.0,2.497415833537226,87.7952,219.2611225885675,115.20617151805901,104.0549510705085,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,877.95529595421,948.538,836.5491612322537,962.509,713.4622282202575,804.0,819.3371212208855,935.491,690.8546079773124,767.8009999999999,561.3831265799913,697.672,326.5275477468313,333.964,-41.40613472195628,13.971000000000004,-164.49306773395244,-144.538,17.21204001136823,27.01800000000003,22.60762024294513,36.19900000000007,8.615934584644295,0.9881672707092999,48.524824994109984,-11.262934540881,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E75,6.944410852713178,304000.0,2.497415833537226,87.7952,219.2611225885675,115.20617151805901,104.0549510705085,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,973.7507859182924,1008.725,887.0554607022864,979.689,719.3669065282044,788.678,870.1997736487291,954.178,695.4235892258671,757.393,547.0881292025808,681.066,329.5946762062635,336.517,-86.69532521600604,-29.036000000000058,-254.38387939008805,-220.04700000000003,16.85568705355729,25.510999999999967,23.943317302337277,31.284999999999968,7.393029066524252,0.9932947729191837,35.27788317007776,-10.068492679034053,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
E76,4.526673611111114,304000.0,2.497415833537226,87.7952,219.2611225885675,115.20617151805901,104.0549510705085,0.47457091271835905,0.4055758688620832,1.0,0.04107590485235265,0.0,0.9589240951476473,1108.2715278328965,1067.693,934.5661167580744,970.472,704.9872366717111,751.1579999999999,915.3569948655958,947.353,678.2359515442566,726.308,515.580065758177,647.019,332.9935710148383,338.123,-173.7054110748221,-97.221,-403.28429116118537,-316.5350000000001,19.209121892478606,23.119000000000028,26.75128512745448,24.84999999999991,5.830410846895287,0.9975542049273188,20.342716871893202,-7.7999247805774905,1.0,22.611222926197144,206.08518702533175,278.6121195911526,0.9994357110367085,0.1013880304808569,3.2529030795954363,0.0,0.7367028166003418,0.0
