simulation_id,flow_lpm,irradiance,power_scale,nominal_incident_flux_W_m2,scaled_incident_flux_W_m2,nominal_receiver_absorbed_W,scaled_receiver_absorbed_W,participating_absorbed_W,core_absorbed_W,perim_absorbed_W,spill_capture,flux_receiver_fraction,flux_spillover_fraction,f_perim_source,beta_perim_1_m,core_front_cell_source_fraction,perim_front_cell_source_fraction,core_downstream_source_fraction,perim_downstream_source_fraction,T8_model,T8_experiment,T12_perim_model,T12_perim_experiment,T11_perim_model,T11_perim_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T8_model,T12_minus_T8_experiment,T11_minus_T8_model,T11_minus_T8_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,rear_tube_gas_heat,active_flow_fraction,G_core_perim_W_m_K,C_perim_eff_J_K,C_participating_eff_J_K,f_core_tube,flange_scale,G_rear_core_W_m_K,G_rear_perim_W_m_K,rear_sink_shape,k_core_axial_scale
E67,15.2805125,456000.0,1.8937298162595957,456000.0,863540.7962143756,164.61599999999999,311.7382274333896,311.7382274333896,154.36087199823965,157.37735543514998,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,847.2715049147613,931.6279999999999,845.0244487554999,991.103,737.0510206865345,878.055,798.4829033502423,966.6659999999999,676.3933415372226,824.995,557.537121421527,763.414,319.72994532128394,326.43699999999995,-2.247056159261433,59.47500000000002,-110.22048422822684,-53.57299999999998,46.54154540525758,24.437000000000012,60.65767914931189,53.059999999999945,11.350974883508966,0.9684446726631565,81.08853521198324,-11.959520875568503,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E68,12.499871559633025,456000.0,1.8937298162595957,456000.0,863540.7962143756,164.61599999999999,311.7382274333896,311.7382274333896,154.36087199823965,157.37735543514998,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,922.2290068495655,1012.649,897.8647052684728,1047.717,755.4712142663325,898.751,854.2220343529884,1020.928,690.8678114536066,850.0989999999999,557.9858419870899,773.207,328.15743522748915,338.52,-24.364301581092718,35.0680000000001,-166.75779258323303,-113.89800000000002,43.64267091548436,26.7890000000001,64.6034028127259,48.652000000000044,10.033729686090105,0.9780468559432228,65.6453622018187,-11.567108030775191,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E69,10.499733944954128,456000.0,1.8937298162595957,456000.0,863540.7962143756,164.61599999999999,311.7382274333896,311.7382274333896,154.36087199823965,157.37735543514998,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,985.6410207683975,1058.429,938.0903821891541,1070.73,765.293093826989,896.755,895.2163614804276,1044.378,696.4973456629347,852.837,552.246846239862,769.76,336.75728991433476,344.308,-47.55063857924347,12.30099999999993,-220.34792694140856,-161.6740000000001,42.87402070872645,26.35200000000009,68.79574816405432,43.918000000000006,9.051695332207913,0.9841502417962434,54.34400784658824,-10.958609862415914,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E70,9.107139705882352,456000.0,1.8937298162595957,456000.0,863540.7962143756,164.61599999999999,311.7382274333896,311.7382274333896,154.36087199823965,157.37735543514998,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,1036.4726732751528,1152.474,966.8078623046874,1120.277,768.6910545555993,912.173,923.453085495713,1093.725,696.5973904771804,871.483,543.8274727347051,779.518,334.92640515917265,352.421,-69.6648109704654,-32.19699999999989,-267.78161871955353,-240.30099999999993,43.35477680897441,26.552000000000135,72.0936640784189,40.690000000000055,8.322650175095129,0.9880294695195857,45.11403162372613,-10.295983400758923,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E71,7.126846153846151,456000.0,1.8937298162595957,456000.0,863540.7962143756,164.61599999999999,311.7382274333896,311.7382274333896,154.36087199823965,157.37735543514998,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,1116.3880364972342,1203.298,1006.9174836938074,1120.348,769.1343542023861,882.823,959.3608307115355,1095.306,691.126673048629,847.476,527.6073392901297,753.56,338.79754997854434,356.00399999999996,-109.47055280342681,-82.95000000000005,-347.2536822948481,-320.475,47.556652982271885,25.041999999999916,78.00768115375718,35.34699999999998,7.244223358302028,0.9927449069939585,32.984855388556205,-9.104763389582233,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E72,18.707575757575754,304000.0,1.9469493006462468,304000.0,591872.5873964591,109.744,213.66600405012173,213.66600405012173,105.79925013721176,107.86675391290997,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,639.0035483848136,737.656,645.7906014176958,797.899,585.9529682040219,733.977,611.049170226327,771.112,546.5718432622574,684.1869999999999,473.3780819859872,652.9549999999999,308.8266443274769,309.928,6.787053032882227,60.24300000000005,-53.05058018079171,-3.6789999999999736,34.74143119136886,26.787000000000035,39.38112494176448,49.79000000000008,13.467841350634417,0.9497197022223903,65.59685735749798,-7.658974790085402,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E73,13.170870967741934,304000.0,1.9469493006462468,304000.0,591872.5873964591,109.744,213.66600405012173,213.66600405012173,105.79925013721176,107.86675391290997,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,730.5548373441108,837.694,713.7181401322028,894.482,610.9393859400765,791.76,682.9006793050743,867.5509999999999,568.6681508952606,747.4,475.6197164850627,694.626,319.11456876546595,325.12,-16.836697211907904,56.78800000000001,-119.61545140403427,-45.93399999999997,30.81746082712857,26.93100000000004,42.27123504481585,44.360000000000014,11.01545164964371,0.9707891311727096,47.49640720896342,-7.399458737082037,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E74,9.023245901639344,304000.0,1.9469493006462468,304000.0,591872.5873964591,109.744,213.66600405012173,213.66600405012173,105.79925013721176,107.86675391290997,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,846.2362209637351,948.538,782.1207594567157,962.509,621.5937559397128,804.0,752.8143743293367,935.491,574.2002209258791,767.8009999999999,462.45033168163343,697.672,321.9070271356115,333.964,-64.1154615070194,13.971000000000004,-224.64246502402239,-144.538,29.30638512737903,27.01800000000003,47.393535013833684,36.19900000000007,8.805205417825091,0.985347079265458,29.9672744549987,-6.425893356004329,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E75,6.944410852713178,304000.0,1.9469493006462468,304000.0,591872.5873964591,109.744,213.66600405012173,213.66600405012173,105.79925013721176,107.86675391290997,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,924.8046096765809,1008.725,819.0624528119902,979.689,620.0892190443702,788.678,787.1445894783029,954.178,568.6225431647862,757.393,449.2636909121071,681.066,324.3190216799139,336.517,-105.7421568645907,-29.036000000000058,-304.71539063221064,-220.04700000000003,31.91786333368725,25.510999999999967,51.466675879584045,31.284999999999968,7.585439846287581,0.9912639677022337,21.134417765816554,-5.6016081672138105,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
E76,4.526673611111114,304000.0,1.9469493006462468,304000.0,591872.5873964591,109.744,213.66600405012173,213.66600405012173,105.79925013721176,107.86675391290997,0.542371729433013,0.06920265203911855,0.9307973479608814,0.5048381673652053,1.7960768282999464,1.0,0.04490153550618203,0.0,0.955098464493818,1032.2001354902854,1067.693,856.601960581719,970.472,608.2703858275999,751.1579999999999,815.2835902777827,947.353,551.2318110551992,726.308,428.8014768669486,647.019,327.1816018822684,338.123,-175.59817490856642,-97.221,-423.9297496626856,-316.5350000000001,41.318370303936376,23.119000000000028,57.03857477240069,24.84999999999991,6.003994757303327,0.996568944104014,12.095713615136876,-4.353672113672409,1.0,14.423789332791028,217.20898503211905,289.7359175979399,0.9993094260095691,0.10137854290476639,6.315037744263079,0.0,0.9997677439322213,0.0
