reynolds_exponent,Nu50_ratio,felt_conductivity_scale,felt_heat_capacity_scale,power_scale_456,power_scale_304,power_scale_256,location,global_z_mm,capacity_areal_J_m2_K,stem_conductance_areal_W_m2_K,training_objective,training_T3_rmse_K,training_max_T3_rmse_K,training_final_bias_K,training_t90_mae_s,validation_T3_rmse_K,validation_final_bias_K,validation_t90_error_s
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,30000.0,0.0,1.3302622191413471,41.747210116563025,58.720186837783665,13.194861582345697,925.0,30.21030325272318,48.211976433126054,-1500.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,30000.0,0.0,1.3380786044933586,42.03735782121608,59.14339332779975,12.836797508417913,925.0,30.066761717913423,47.92998686410413,-1500.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,30000.0,0.0,1.57261297444717,29.017212483084503,35.519022470838294,44.73550501705411,800.0,39.37365226196466,61.642972036412026,-1000.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,30000.0,20.0,1.6121695242156133,41.62290006439977,51.39990080087374,29.026951227948654,1000.0,32.447727665916965,46.134034479626315,-1600.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,30000.0,20.0,1.9757118945463361,59.387078738899376,80.14612778450682,2.458299462351107,1125.0,31.843242518996824,35.52666535978158,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,30000.0,20.0,1.9902027334308405,59.693068587294945,80.55119220171372,2.1546249563203417,1125.0,31.901822371222167,35.300064380190584,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,10000.0,0.0,2.180379261184244,46.71565670033695,59.7440977879083,42.856978009354115,1125.0,40.62611647132355,60.32266804104274,-1200.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,10000.0,0.0,2.2263960407500227,65.85431796541306,91.52853424035742,11.906641696879525,1250.0,35.89054965792308,47.18753103852835,-1800.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,10000.0,0.0,2.2376577715692365,66.19479810976934,91.99345259742664,11.551951326135402,1250.0,35.85697899131709,46.908343033667904,-1800.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,10000.0,20.0,2.2725248607027084,61.01694185176369,77.41969862169425,27.75405652518506,1275.0,38.52980537592245,45.29384515921279,-1800.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,6000.0,0.0,2.3127238132915067,50.66960233865723,65.06128138730422,42.54054482165269,1175.0,41.345072030641035,60.072467076495,-1300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,4500.0,0.0,2.358654685925739,52.03808077650612,66.87462187573985,42.42943820712009,1175.0,41.61354860127516,59.98669754028736,-1300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,6000.0,20.0,2.394254680919585,64.62547342510605,82.27156569696902,27.532372296776,1325.0,39.7354475196968,45.139802944324515,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,3000.0,0.0,2.3981942716421347,53.22049496142299,68.39989544676229,42.328633888961534,1175.0,41.836109930013436,59.91336845729207,-1300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,6000.0,0.0,2.4001710527610753,70.48599575687133,97.73999883172594,11.705070053582661,1325.0,37.42128939052922,46.990144847114955,-1800.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,6000.0,0.0,2.411831762623012,70.83272439811402,98.2113114776138,11.351051723217058,1325.0,37.40497600394613,46.71144350823431,-1800.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,1200.0,0.0,2.4238898004664846,54.01249692262529,69.31006353493315,42.24723670889295,1175.0,41.94416366206808,59.86670956960718,-1300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,4500.0,20.0,2.434369035918759,65.81381363658862,83.85298981273142,27.45589017784225,1325.0,40.10841076295535,45.08955323750418,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,4500.0,0.0,2.4602805718586422,72.0735046379258,99.8454899615345,11.634067079057393,1325.0,37.95275517404371,46.9218470294391,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,3000.0,20.0,2.4671355238669865,66.78837640578496,85.11634299048377,27.38851383818755,1325.0,40.37658425784252,45.049804572354155,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,4500.0,0.0,2.472047188932093,72.42206258831678,100.31887012904677,11.280281989567486,1325.0,37.941919848776706,46.6433069165904,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,rear_003,140.0,1200.0,20.0,2.4857280515107023,67.35441177121035,85.7714844430378,27.339788370332062,1325.0,40.47940735130283,45.02966195049241,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,3000.0,0.0,2.512542192166973,73.45524296344638,101.64168004076693,11.568964527581374,1375.0,38.38754175531747,46.86277121182775,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,3000.0,0.0,2.524391171064634,73.8052646457354,102.11689897892954,11.215388887469041,1375.0,38.381115694391745,46.58436362454528,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,1200.0,0.0,2.548283889018342,74.42559732206513,102.79801852400738,11.513753657549476,1375.0,38.61241078655278,46.823846290563,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,1200.0,0.0,2.560206065441836,74.77680066277219,103.27482217474221,11.160340537451056,1375.0,38.608415433931484,46.54551250679626,-1900.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,10000.0,20.0,2.7996520534202034,80.57361182849696,108.80055097609333,1.6269185891070608,1400.0,40.45829798089393,34.87533884673472,-2200.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,10000.0,20.0,2.8161232877396087,80.90495496518244,109.23710409440143,1.3260109825931554,1400.0,40.564505810986184,34.650671158170525,-2200.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,6000.0,20.0,2.947610795148483,84.42371170710679,114.00961964423253,1.4877212686604038,1425.0,42.01525772493803,34.75398313348547,-2200.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,6000.0,20.0,2.964401711367996,84.75909378761179,114.4515071639128,1.1873182901775783,1425.0,42.12782003930557,34.52964683001351,-2300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,4500.0,20.0,2.99664557987461,85.69768358435199,115.72047219274144,1.4394786647437794,1450.0,42.49499459740114,34.714017506641056,-2300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,4500.0,20.0,3.013545298185985,86.03433737622908,116.16408405244994,1.1392483797794792,1450.0,42.60945740425166,34.489786489113584,-2300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_exit,137.0,3000.0,20.0,3.0372583093789625,86.75664903051938,117.11471863047326,1.3964470463366405,1450.0,42.84393949955413,34.682006765773146,-2300.0
0.5,2.0,0.4,0.55,1.05,1.23,0.7,receiver_136,136.0,3000.0,20.0,3.054253117807103,87.09438160935112,117.55979947465379,1.0963676887628377,1450.0,42.95980533514803,34.45785616442697,-2300.0
